scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
warm,XGBoost,8,50,0.015482742279492246,0.682706009060861,0.01495557043267267,0.0,0.0028056112224448897,0.004208416833667336,0.004408817635270542,0.0,0.0013678892723747139,0.004587840288877913,0.010382988488688377,
warm,Global popularity,8,50,0.028704346296699348,0.7705403573375939,0.02542849065698383,0.002004008016032064,0.008817635270541085,0.014028056112224447,0.01723446893787576,8.3500334001336e-05,0.0018107392761944833,0.006426921194092011,0.013536514394052512,
warm,HSTrans,8,50,0.031354591230027706,0.7652677805151189,0.06275939812869386,0.01603206412825651,0.020841683366733456,0.02164328657314627,0.022311289245156973,0.0006188688607234139,0.008216195722143325,0.023744277653363514,0.0440134099126841,
warm,RF,9,20,0.0285947872940894,0.7699279685521861,0.05738681992995806,0.015873015873015872,0.014109347442680782,0.014285714285714273,0.014344503233392113,0.0037276436085959897,0.017904834389723363,0.03769203703675583,0.06005655476826234,
warm,XGBoost,9,20,0.0204389607456255,0.7309263434971629,0.0195514304101452,0.001763668430335097,0.003880070546737213,0.005114638447971783,0.00728982951205174,4.5222267444489665e-05,0.002432435575129461,0.005331353106370756,0.013023517594193477,
warm,Global popularity,9,20,0.05642865765515406,0.8253782449209341,0.11261431868706953,0.02292768959435626,0.0426807760141093,0.04991181657848328,0.05032333921222802,0.001131753891603611,0.023209011325863442,0.06040838216169512,0.10894065892284116,
warm,HSTrans,9,20,0.04935571150336973,0.7765464850432647,0.12062526928941301,0.03350970017636684,0.03985890652557315,0.040564373897707263,0.039035861258083414,0.0032438499672545456,0.027057010748993755,0.06650017006408261,0.1003900947980147,
warm,RF,9,50,0.0249659444144283,0.7353913009686128,0.0519223714904259,0.016,0.012000000000000004,0.012199999999999994,0.0124,0.003580735705735706,0.016062347064978645,0.03542620638237698,0.05546840479261839,
warm,XGBoost,9,50,0.01506070261601289,0.6737616516223737,0.011817710017220115,0.002,0.002,0.0034000000000000002,0.005333333333333335,5.405405405405406e-05,0.0011230195712954333,0.002605093565985527,0.0077713823040891465,
warm,Global popularity,9,50,0.027852580127039617,0.7725832466018409,0.025775023278296734,0.0,0.008800000000000002,0.012999999999999998,0.0148,0.0,0.0016968081497898942,0.006536607647661881,0.01207689585032744,
