scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE,pearson,drugAUC,drugAUPR,P5,P10,R5,R10,seconds,auc_rank
cold,CAFNet,2,0.3438882536742385,0.8077800743065932,0.2560835382630548,0.7556715166353787,0.6266666666666667,0.4853333333333333,0.0223103947840343,0.2323553096392471,0.3971411700282979,1.657872466963149,1.2864254,,,,,,,,,
cold,CAFNet,3,0.366212939443071,0.8029734111811856,0.3200186552138604,0.7432354718061681,0.52,0.5217777777777777,0.0137259238762203,0.1997405181976226,0.3061984084294836,1.8771647354861616,1.4940735,,,,,,,,,
cold,CAFNet,4,0.2927690351507487,0.7905036141044381,0.2081155792899065,0.6659089740891214,0.48,0.3964444444444442,0.0187606479841223,0.2272430998285092,0.3446371892427908,1.820650257651715,1.4290237,,,,,,,,,
cold,CAFNet,5,0.3366032088518912,0.8232088461073562,0.2590232414223175,0.6916236500260016,0.3733333333333333,0.4328888888888886,0.0172287363427507,0.249411021159808,0.3060530196130904,1.7595275650141653,1.3816102,,,,,,,,,
cold,CAFNet,6,0.3477334449679918,0.7810573619775113,0.2636978955681044,0.7489803733525577,0.5466666666666666,0.48,0.0185881870267558,0.2139592230066193,0.4027895907969263,1.7729786686827007,1.4166906,,,,,,,,,
cold,CAFNet,7,0.352613037486965,0.7743930809786921,0.244272994777131,0.7686612760856404,0.6,0.4524444444444443,0.0254198183355257,0.2212318659623762,0.4306034129901854,1.736780577540201,1.395664,,,,,,,,,
cold,CAFNet,8,0.334827855063457,0.7902826996644463,0.2383828811319042,0.7233547660565683,0.5466666666666666,0.4293333333333332,0.02402234162528,0.2189202309101757,0.4546051009595396,1.6366373192097652,1.3248613,,,,,,,,,
cold,CAFNet,9,0.3163439056369321,0.8083063376339873,0.236908743225193,0.6967819436814092,0.4533333333333333,0.4257777777777778,0.0198412308076886,0.2288836280500491,0.3623204254249531,1.7235999604031056,1.3443967,,,,,,,,,
cold,CAFNet,10,0.3711380814233934,0.7921664346162505,0.2681982988320652,0.7463906099342726,0.5333333333333333,0.4764444444444447,0.0234093438779556,0.2602151190462775,0.4035436730019474,1.7249983524922785,1.3804005,,,,,,,,,
Warm start,DSGAT,0,0.1860967083577787,0.8716663839863986,0.0605695305505514,0.4274454787426458,0.2661417322834645,0.1012073490813653,0.0625833720925087,0.3160359367875751,0.4220671868225899,1.2301959022886608,0.93527895,0.4096993015090383,0.8678988660618623,0.1860967083577787,0.1618897637795283,0.1193700787401574,0.1929996115957042,0.2580767293984783,,
Warm start,DSGAT,1,0.1949370714392997,0.8680659309865484,0.0586509038910033,0.4496418503042766,0.2826086956521739,0.1006211180124229,0.0695565273133411,0.3349012875119674,0.4317955197213705,1.3300054365061311,1.0604472,0.4151086699782432,0.8790184780765529,0.1949370714392997,0.1739130434782616,0.1260869565217389,0.2061617246602618,0.2917803688323646,,
Warm start,DSGAT,2,0.183550485052612,0.8716880711392151,0.065413459601835,0.4163660513972632,0.2610687022900763,0.104427480916031,0.0600799634363247,0.3458632090278336,0.4195440321721714,1.2869415405322646,1.0099231,0.4064575740699002,0.8735278061678192,0.183550485052612,0.1676335877862603,0.1265648854961829,0.1895562144963735,0.2806970477652912,,
Warm start,DSGAT,3,0.1910960272692047,0.8703847752400188,0.0670913780327164,0.4351742340599087,0.2699386503067484,0.1059304703476486,0.0592132976205559,0.3464819362376551,0.4562761114123899,1.1178635372447328,0.82949626,0.4397880476926305,0.8753658149033029,0.1910975974394865,0.1757668711656448,0.1303680981595089,0.2011751226287045,0.291475702175093,,
Warm start,DSGAT,4,0.1720069608816979,0.8625196600707954,0.0568412838420793,0.3878261163549108,0.2357473035439137,0.0976887519260406,0.0558251411100731,0.3219141633429206,0.4295028024402282,1.343687322175016,1.0487587,0.4121391238692329,0.8656661978508557,0.1720069608816979,0.1451463790446847,0.1157164869029275,0.1662631692803999,0.2557340235652781,,
Warm start,DSGAT,5,0.1984869295232641,0.8661493792493433,0.0602309933870096,0.4411775077413214,0.2815384615384615,0.1048205128205133,0.0768191448420543,0.3513720486713,0.4210587093666567,1.3669824500949137,1.0760614,0.4095383804412245,0.8679388369650727,0.1984869295232641,0.1667692307692317,0.1270769230769228,0.1966189705816585,0.284212366247095,,
Warm start,DSGAT,6,0.1596802566433832,0.8640560071138338,0.0523601623314463,0.3711734264152914,0.2062015503875969,0.0985012919896646,0.0454690986626984,0.3187072297264455,0.457139602322853,1.1656764062586027,0.89102334,0.4418224348144146,0.8713071657793933,0.1596802566433832,0.1466666666666672,0.117829457364341,0.1610103407832012,0.2572812069208117,,
Warm start,DSGAT,7,0.1379785685276396,0.8603258417641345,0.0490222826761907,0.3257004227600668,0.0464396284829721,0.1002063983488138,0.0069802710394688,0.3290208280317094,0.4451094225577409,1.4399109400918233,1.1616943,0.4250360793009836,0.8698600489525997,0.1379785685276396,0.1359133126934988,0.1164086687306502,0.153442638583247,0.265338422792673,,
Warm start,DSGAT,8,0.2005804464523703,0.8601180495351427,0.0555313456506841,0.4520349797817659,0.2848297213622291,0.102992776057792,0.0667003374136011,0.3420060637743409,0.4662433391795404,1.2882175334953083,1.0067849,0.4475924224968592,0.8744234581062912,0.2005804464523702,0.1808049535603722,0.1294117647058821,0.2056412508579985,0.2908908278911118,,
Warm start,DSGAT,9,0.1891610707424847,0.8655000433697448,0.0581563224344631,0.4349812936054146,0.2647975077881619,0.1004153686396682,0.0700167199862297,0.3379077140248026,0.4644170812126697,1.1917815570978445,0.90286887,0.4518613125974547,0.8795613138327024,0.1891610707424847,0.1666666666666674,0.1221183800623053,0.184002040955804,0.273881679663694,,
