scenario,fold,mode,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15
cold,3,row_percentile,0.8154445903396366,0.26055819509683714,74550,3098,75,0.3767708805401877,0.5686130317961225,0.6133333333333333,0.4728888888888888,0.28369395700364797
cold,4,raw,0.8421866832520114,0.3222238138499415,74550,2835,75,0.4258681650087388,0.6493087112524745,0.7866666666666666,0.5306666666666667,0.2929372700317891
cold,4,row_zscore,0.8471907994620583,0.28079319382516554,74550,2835,75,0.4146329633717261,0.6209730161246337,0.76,0.5191111111111112,0.29289247154579146
cold,4,row_percentile,0.8459968907397386,0.32087673216177554,74550,2835,75,0.4221454063153489,0.6428123845050141,0.7733333333333333,0.5271111111111112,0.2957184332086765
cold,5,raw,0.7754873927691761,0.2930801337696844,74550,4453,75,0.410927125445096,0.632288072300176,0.68,0.5582222222222222,0.2537322599487071
cold,5,row_zscore,0.7738564424445609,0.27012968955434674,74550,4453,75,0.4016130560858387,0.61873901856873,0.6533333333333333,0.5457777777777777,0.24994922802830483
cold,5,row_percentile,0.7743575974623673,0.2820345067960313,74550,4453,75,0.40511163614579876,0.6283079529783653,0.68,0.5413333333333332,0.24234536374144344
cold,6,raw,0.8259435518252619,0.31999625021219535,74550,4083,75,0.425800163143859,0.6562655997270409,0.76,0.5457777777777777,0.27218700738908497
cold,6,row_zscore,0.8098154073130276,0.26823990100987044,74550,4083,75,0.4165977873827209,0.6417430520464211,0.76,0.5404444444444444,0.2719908068621967
cold,6,row_percentile,0.8084822646116191,0.298389831114922,74550,4083,75,0.42136924744255905,0.6410781617834884,0.7466666666666667,0.5511111111111111,0.27648014545339156
cold,7,raw,0.8382017783723428,0.293508602612192,74550,4023,75,0.39123539219581205,0.5756805194509679,0.6533333333333333,0.496888888888889,0.25772678909193547
cold,7,row_zscore,0.8043313314626895,0.2455080448044133,74550,4023,75,0.3829588986698435,0.5738489843287333,0.68,0.4773333333333334,0.24392464541350564
cold,7,row_percentile,0.8003592064869276,0.26725795452037726,74550,4023,75,0.38896284656727415,0.5707806135598078,0.6533333333333333,0.48799999999999993,0.24880524997913023
cold,8,raw,0.8215436574646797,0.2805026287517669,74550,3088,75,0.38489111296845174,0.5882606950542502,0.72,0.4915555555555556,0.2765775196479154
cold,8,row_zscore,0.8215428961629377,0.2450046742586544,74550,3088,75,0.3762051698426021,0.5772539579360586,0.6666666666666666,0.48266666666666663,0.2679666438502365
cold,8,row_percentile,0.8211192951853972,0.27709784086007305,74550,3088,75,0.37925870717530663,0.5806719660231324,0.6533333333333333,0.4897777777777778,0.27335185174416643
cold,9,raw,0.8157384832610581,0.314130385325632,74550,4204,75,0.44858830575533676,0.6680202778859203,0.76,0.544888888888889,0.3051641730690689
cold,9,row_zscore,0.8068031231680363,0.26421914001454266,74550,4204,75,0.4376788029113795,0.6514127942232164,0.7333333333333333,0.5360000000000001,0.29852616963757284
cold,9,row_percentile,0.8065355335647859,0.2931523310340521,74550,4204,75,0.43782051170355873,0.6559905521883125,0.7333333333333333,0.5484444444444445,0.31255831752651625
warm,0,raw,0.9220992238332879,0.12011123280047117,712137,3708,635,0.2585004496974952,0.3277571498590723,0.35748031496062993,0.13133858267716536,0.4138633605450163
warm,0,row_zscore,0.8672584202117196,0.04880505793802739,712137,3708,635,0.2662000446404618,0.33227325694652327,0.3716535433070866,0.13123359580052493,0.41526587304621415
warm,0,row_percentile,0.8641878145547943,0.05997587632219884,712137,3708,635,0.2488965375825675,0.3147937536669686,0.33858267716535434,0.12776902887139108,0.3987279575034017
warm,1,raw,0.9256309065666293,0.12439540364334925,712137,3708,644,0.2552658154722624,0.3263369823750082,0.35093167701863354,0.1324016563146998,0.42993042874152726
warm,1,row_zscore,0.8698494774624635,0.04842620544536539,712137,3708,644,0.25560151706778284,0.32859782204648175,0.34316770186335405,0.1331262939958592,0.4364778572353711
warm,1,row_percentile,0.8662734281721979,0.061291068331643814,712137,3708,644,0.24931590799838457,0.32210337484137175,0.33695652173913043,0.1307453416149068,0.41864759769963106
warm,2,raw,0.9230380389759596,0.12736548269267128,712137,3708,655,0.25878962247911286,0.32492232935298554,0.3297709923664122,0.13129770992366413,0.4294436030073407
warm,2,row_zscore,0.8735553771003124,0.047262669926244456,712137,3708,655,0.25456586693836214,0.3232695915137542,0.3190839694656489,0.12987277353689566,0.4279200366125468
warm,2,row_percentile,0.8710480700080068,0.06233490724942231,712137,3708,655,0.25338820314702937,0.319609766550976,0.32061068702290074,0.13017811704834603,0.42370403255122335
