variant,fold,pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
w/o Cross-Attention,0,0.4280473584844561,1.3011549221046426,0.4425519540169588,0.95392865,0.9085678120780072,0.0841502772662927,0.893267145753813,0.1981183255740077,0.1981183255740077,0.4237679514905654,0.1921259842519685,0.1527559055118117,0.1292913385826769,0.1084514435695543,0.0588891165055447,0.2002315847393647,0.317883665738191,0.3884823450556423
w/o Cross-Attention,1,0.5276762644064569,1.191767403317283,0.5337495180953505,0.8627564,0.910639744695254,0.0889961612348441,0.9069515631970668,0.220844613226422,0.220844613226422,0.4480205142160783,0.25,0.1729813664596281,0.1360248447204967,0.1171842650103523,0.0740389059985707,0.2148446719180983,0.3190222882340628,0.4026951599829244
w/o Cross-Attention,2,0.5015174690368667,1.1993382795078844,0.511404036844337,0.88208383,0.905159648927248,0.0756357919621084,0.8970019767767878,0.1896528031034706,0.1893925214314493,0.4006344472078498,0.2045801526717557,0.1490076335877868,0.121679389312977,0.1052417302798987,0.0575987400107222,0.1823055378062192,0.2904535535780477,0.3776228054494832
w/o Cross-Attention,3,0.5295623810215487,1.1823618303673145,0.5385171581765478,0.84826684,0.9145278847113651,0.0730689871361068,0.910413854525456,0.1708093185891041,0.1708093185891041,0.3677020321365642,0.1441717791411043,0.1340490797546017,0.1197852760736198,0.1060327198364013,0.0363427379565817,0.1588052661377618,0.2809501613657715,0.3621407104525889
w/o Cross-Attention,4,0.48137805531610395,1.2173805857380515,0.4976196680387724,0.89912814,0.9059419011679096,0.070856267605766,0.8904751418576382,0.1676627344452602,0.1674354044837473,0.3645436558225719,0.1664098613251155,0.1275808936825891,0.1152542372881357,0.1030303030303035,0.044172390022037,0.1561839792330833,0.2735467067806362,0.3562874390018959
w/o Cross-Attention,5,0.5250171055667586,1.2111284659150354,0.5437404518341749,0.9016908,0.906829664572407,0.0724347814420011,0.903321423792904,0.1973253294462845,0.1972239133436536,0.4207174619195545,0.203076923076923,0.1584615384615392,0.1278461538461537,0.112615384615385,0.0590148671118185,0.2136978009929266,0.3097311388187075,0.3940182239255747
w/o Cross-Attention,6,0.5081750242384797,1.2348079163677248,0.5180675120891164,0.90803874,0.9103261795825868,0.0806329661118673,0.901116827047329,0.1917037536759536,0.1912072315985695,0.3989091558290131,0.1953488372093023,0.1426356589147292,0.1221705426356587,0.1073901808785533,0.0577169937724157,0.1912911895664325,0.3057104041653143,0.3773711637278232
w/o Cross-Attention,7,0.521475594807709,1.1288868727555466,0.5211652276100225,0.8172343,0.9164892773370156,0.0900425749749283,0.912024115405154,0.2237403111877654,0.2237403111877654,0.4531688371036027,0.2414860681114551,0.1684210526315798,0.1349845201238388,0.116305469556244,0.0775310206951806,0.2324416999681683,0.3528999836236601,0.4259794634365223
w/o Cross-Attention,8,0.49498820337813654,1.233102843080231,0.5173959710250854,0.8936109,0.9116968888023002,0.0807727860710231,0.903284444542445,0.1845907865385936,0.1840076674932329,0.3951104883093663,0.2027863777089783,0.1448916408668736,0.1252321981424148,0.1114551083591335,0.0503295084420262,0.1813038299822591,0.287203189347506,0.3706353695977541
w/o Cross-Attention,9,0.5197078434632088,1.1819507538691445,0.545268249418126,0.85491997,0.9138785078568944,0.084379742905275,0.9052432837414964,0.2235156184195341,0.223515618419534,0.4479939911379779,0.2227414330218068,0.1719626168224308,0.1342679127725853,0.1131879543094502,0.0764502565022725,0.2421652494371834,0.3404682853453067,0.4091128242407182
w/o Gated Fusion,0,0.46102946469617356,1.1899573348915935,0.4849668041655965,0.8474031,0.901459309170508,0.0555271973682266,0.8883439111487784,0.1636647793304979,0.1636647793304979,0.3502797864108614,0.1653543307086614,0.1143307086614178,0.0988976377952761,0.0882939632545936,0.0507843923691125,0.1535211374231987,0.237299129462535,0.3015126828435173
w/o Gated Fusion,1,0.5262497655506255,1.220258805855722,0.5439296563916056,0.8878395,0.9070024017605248,0.0859075070409345,0.9046008418202932,0.2167543676975125,0.2167543676975125,0.4488582624264738,0.2437888198757763,0.1717391304347832,0.1361801242236024,0.1170807453416151,0.0728804738864207,0.2180953150144745,0.3213139071966347,0.4026658179523069
w/o Gated Fusion,2,0.4896624801793899,1.3177906759516096,0.5167503037779876,0.9725834,0.900683266637525,0.0742862568253151,0.8970719626554438,0.1960710483298472,0.1960710483298472,0.4030071088638164,0.2030534351145038,0.1566412213740465,0.1248854961832058,0.1084987277353693,0.0617053859201598,0.1989691830538356,0.2980990731593751,0.3831456522507919
w/o Gated Fusion,3,0.5038602877775644,1.173166656730064,0.5108747701926472,0.8449661,0.917277182155195,0.0938618648921947,0.9067443850425828,0.2187518549077517,0.2187518549077517,0.4421990961392539,0.2285276073619632,0.1769938650306756,0.1417177914110425,0.1200408997955013,0.0696821632007845,0.2193714710591398,0.3396782566992248,0.4134246827533381
w/o Gated Fusion,4,0.4983744464077758,1.230485268133796,0.5109925682749183,0.9110725,0.9081478543290836,0.085764615966696,0.9008924700093968,0.2066986622606022,0.2066986622606022,0.4226725948487206,0.2126348228043143,0.164252696456087,0.1317411402157162,0.1119671289162818,0.0641063813103922,0.2101361062418561,0.3193534606285613,0.3955533976969318
