model,drug_row,pos_hit_rate,neg_hit_rate,hit_enrichment,mean_pos_score,mean_neg_score
A3Net,20,0.18,0.14,1.2857142857142856,1.065942241102457,1.060063000380993
A3Net,21,0.3793103448275862,0.12413793103448276,3.0555555555555554,1.736550381985204,1.5021772183220963
A3Net,22,0.30434782608695654,0.08695652173913043,3.5000000000000004,2.6447216039118557,2.0258928716182707
A3Net,23,0.2857142857142857,0.13714285714285715,2.083333333333333,1.7402239982570922,1.415307228905814
A3Net,24,0.45454545454545453,0.16363636363636364,2.7777777777777777,2.3187749318101187,1.5659246133132414
A3Net,25,0.20689655172413793,0.1103448275862069,1.875,2.0527559436600784,1.831985853458273
A3Net,26,0.24,0.028,8.571428571428571,2.455263924598694,1.635701408445835
A3Net,27,0.21739130434782608,0.0782608695652174,2.7777777777777777,2.56484942332558,2.145092140073362
A3Net,28,0.4,0.184,2.173913043478261,1.5552372062206268,1.1518628417253494
A3Net,29,0.22857142857142856,0.14285714285714285,1.6,1.3136525643723351,1.3287549305813653
A3Net,30,0.16216216216216217,0.0945945945945946,1.7142857142857142,2.4048544935680725,2.469979450428808
A3Net,31,0.2413793103448276,0.15172413793103448,1.590909090909091,2.350065459465158,2.1155010459751917
SIDER-popularity,0,0.4090909090909091,0.10909090909090909,3.7500000000000004,0.4208264462809917,0.3251570247933885
SIDER-popularity,1,0.22641509433962265,0.17735849056603772,1.2765957446808511,0.3582161234991425,0.3179073756432247
SIDER-popularity,2,0.36,0.264,1.3636363636363635,0.4657454545454545,0.40048
SIDER-popularity,3,0.14666666666666667,0.13333333333333333,1.1,0.2784484848484849,0.26051878787878785
SIDER-popularity,4,0.26666666666666666,0.16,1.6666666666666665,0.3551515151515152,0.3097333333333333
SIDER-popularity,5,0.22727272727272727,0.12727272727272726,1.7857142857142858,0.33148760330578514,0.24937190082644628
SIDER-popularity,6,0.34615384615384615,0.2846153846153846,1.2162162162162162,0.4211188811188811,0.36272727272727273
SIDER-popularity,7,0.3,0.23333333333333334,1.2857142857142856,0.3946060606060607,0.36121212121212126
SIDER-popularity,8,0.2653061224489796,0.0653061224489796,4.0625,0.34961038961038965,0.27959925788497214
SIDER-popularity,9,0.2641509433962264,0.07547169811320754,3.5,0.3623670668953688,0.29721440823327616
SIDER-popularity,10,0.391304347826087,0.21739130434782608,1.8,0.44679841897233197,0.3563636363636364
SIDER-popularity,11,0.24324324324324326,0.15135135135135136,1.6071428571428572,0.3273710073710074,0.273995085995086
SIDER-popularity,12,0.3225806451612903,0.15483870967741936,2.083333333333333,0.38897360703812317,0.3046099706744868
SIDER-popularity,13,0.2682926829268293,0.1024390243902439,2.6190476190476195,0.34523281596452327,0.26988026607538806
SIDER-popularity,14,0.3,0.16,1.875,0.39772727272727265,0.32072727272727275
SIDER-popularity,15,0.46153846153846156,0.23076923076923078,2.0,0.48405594405594415,0.379944055944056
SIDER-popularity,16,0.4166666666666667,0.15,2.777777777777778,0.438030303030303,0.307530303030303
SIDER-popularity,17,0.27450980392156865,0.0,,0.37098039215686285,0.1849197860962567
SIDER-popularity,18,0.3225806451612903,0.13548387096774195,2.3809523809523805,0.38897360703812317,0.30239296187683284
SIDER-popularity,19,0.2727272727272727,0.24545454545454545,1.111111111111111,0.3966942148760331,0.35661157024793405
SIDER-popularity,20,0.22,0.128,1.71875,0.32301818181818187,0.27314181818181815
SIDER-popularity,21,0.41379310344827586,0.09655172413793103,4.285714285714286,0.4398119122257053,0.32655799373040756
SIDER-popularity,22,0.4782608695652174,0.13043478260869565,3.666666666666667,0.48924901185770747,0.33677470355731237
SIDER-popularity,23,0.22857142857142856,0.2571428571428571,0.888888888888889,0.37262337662337663,0.32882077922077924
SIDER-popularity,24,0.4090909090909091,0.23636363636363636,1.7307692307692308,0.4602479338842976,0.3467438016528926
SIDER-popularity,25,0.2413793103448276,0.14482758620689656,1.6666666666666665,0.34639498432601884,0.29247648902821316
SIDER-popularity,26,0.26,0.004,65.0,0.37618181818181823,0.18191272727272728
SIDER-popularity,27,0.2608695652173913,0.11304347826086956,2.3076923076923075,0.32521739130434785,0.2534545454545455
SIDER-popularity,28,0.44,0.184,2.391304347826087,0.45898181818181816,0.34610909090909103
SIDER-popularity,29,0.2571428571428571,0.17142857142857143,1.4999999999999998,0.3513766233766234,0.31756883116883117
SIDER-popularity,30,0.1891891891891892,0.062162162162162166,3.0434782608695654,0.30901719901719904,0.2702014742014742
SIDER-popularity,31,0.27586206896551724,0.16551724137931034,1.6666666666666667,0.3664576802507837,0.31315360501567396
