model,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n
CAFNet-D + ATC kNN k=50 beta=0.05,0.6598803361620987,0.11229594751834293,750,0.700282738021045,0.10261838895125072,750,0.7104321966362552,0.1304337467133864,750
CAFNet-D + ATC kNN k=50 beta=0.1,0.6565805690665334,0.11048069054262381,750,0.6968402018623343,0.10198879495197635,750,0.7078643144383653,0.1292312225349953,750
CAFNet-D + ATC kNN k=50 beta=0.2,0.650658310089791,0.10784458994577882,750,0.6904805824412837,0.10116304747450929,750,0.7011792196114885,0.12662571665689185,750
CAFNet-D + ATC kNN k=50 beta=0.3,0.6461267058414694,0.10674400307826944,750,0.6856819969704351,0.10090193449842075,750,0.6954984862277214,0.12533084913808462,750
CAFNet-D + ATC kNN k=50 beta=0.5,0.6402230588149801,0.10586203292510753,750,0.6794609741373357,0.1010714720461359,750,0.6887851798954483,0.12468343993224504,750
CAFNet-D + ATC kNN k=50 beta=0.8,0.6348185178379919,0.10547309214850535,750,0.6742187575240822,0.10125891399324531,750,0.6810355264668309,0.12391017937733925,750
CAFNet-D + ATC kNN k=50 beta=1.0,0.6326283283637615,0.10582533547004076,750,0.6719510737617552,0.10157842910631366,750,0.6774251919579509,0.12425591669917768,750
CAFNet-D + ATC+target kNN k=10 beta=0.05,0.6594804440141202,0.11187525192233834,750,0.6993490193817968,0.10249983725069753,750,0.7092923753358474,0.13001436285571766,750
CAFNet-D + ATC+target kNN k=10 beta=0.1,0.6558981493760349,0.10994757495379386,750,0.6949661541504257,0.10160891327597413,750,0.7058869600903751,0.12849460674675922,750
CAFNet-D + ATC+target kNN k=10 beta=0.2,0.6490313639771836,0.1070203224754877,750,0.6868197767904418,0.10015873199689852,750,0.6979676879739867,0.12535276539314594,750
CAFNet-D + ATC+target kNN k=10 beta=0.3,0.6443962243990881,0.10559991303597628,750,0.6810308250279674,0.09972113609846507,750,0.6911837564403286,0.1237038911318542,750
CAFNet-D + ATC+target kNN k=10 beta=0.5,0.6378845036200972,0.10415035381833783,750,0.6735334734007923,0.09958884441638446,750,0.6829147651174021,0.12138842148415491,750
CAFNet-D + ATC+target kNN k=10 beta=0.8,0.6327366705286237,0.10411664552189621,750,0.6676284083498545,0.09991802682045664,750,0.6759449455454302,0.12096160480208615,750
CAFNet-D + ATC+target kNN k=10 beta=1.0,0.6304714757220475,0.10423366191852182,750,0.66524298049932,0.10011772058860867,750,0.672201124421946,0.12068214187490253,750
CAFNet-D + ATC+target kNN k=20 beta=0.05,0.6596943931444137,0.11230075157843089,750,0.6998162087220307,0.10274231224595089,750,0.7099586111335083,0.13021420799915526,750
CAFNet-D + ATC+target kNN k=20 beta=0.1,0.6564959294613362,0.11054866546870219,750,0.6964355182462904,0.10206528487023966,750,0.7070134502280914,0.1290577185732433,750
CAFNet-D + ATC+target kNN k=20 beta=0.2,0.6504846744364403,0.10789032242425499,750,0.6898334341537159,0.10141250326441603,750,0.7010386594900917,0.12660136579722042,750
CAFNet-D + ATC+target kNN k=20 beta=0.3,0.6457724648528261,0.1065119514174467,750,0.6846310027009558,0.10098235419977165,750,0.6946812909039948,0.1251385655650947,750
CAFNet-D + ATC+target kNN k=20 beta=0.5,0.6397947570237089,0.1054963784507502,750,0.6781682692063314,0.10104078173023445,750,0.6870482577291456,0.12347434967370007,750
CAFNet-D + ATC+target kNN k=20 beta=0.8,0.6341872190808957,0.10525130455276059,750,0.672125115002832,0.10140149096492126,750,0.6795614634328672,0.12341010097623403,750
CAFNet-D + ATC+target kNN k=20 beta=1.0,0.6319162593425981,0.10530215748563654,750,0.6696444312199127,0.10159266320399325,750,0.675744449457336,0.12287735275558297,750
CAFNet-D + ATC+target kNN k=5 beta=0.05,0.6592490945888076,0.1113803486270565,750,0.6988125615814632,0.10198801346163382,750,0.7087170790855495,0.1292477171812717,750
CAFNet-D + ATC+target kNN k=5 beta=0.1,0.6553562155347311,0.10941669805399905,750,0.6934444777485269,0.1009684631116223,750,0.7043178335720057,0.12757509809685075,750
CAFNet-D + ATC+target kNN k=5 beta=0.2,0.648049033465861,0.10628140643947799,750,0.6836702936367913,0.09930941631759485,750,0.6954249665665198,0.12418234937134859,750
