drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
52,CAFNet,rare,0.039148840165539586,0.08274602130532004,0.06666666666666667,0.14285714285714285
52,CAFNet,middle,0.045114512421314173,0.0,0.0,0.0
52,CAFNet,frequent,0.34762974669148955,0.5309999066793253,0.4666666666666667,0.175
53,CAFNet,rare,,,,
53,CAFNet,middle,0.0045662100456621,0.0,0.0,0.0
53,CAFNet,frequent,0.06390005990506019,0.0,0.06666666666666667,0.125
54,CAFNet,rare,0.30809165771571784,0.44149241373678083,0.13333333333333333,0.5
54,CAFNet,middle,0.04597184785864031,0.0,0.06666666666666667,0.3333333333333333
54,CAFNet,frequent,0.44641147552665084,0.6025064803817582,0.4666666666666667,0.3333333333333333
55,CAFNet,rare,0.008869764506713597,0.0,0.0,0.0
55,CAFNet,middle,0.05578415345273047,0.07979453856244818,0.06666666666666667,0.125
55,CAFNet,frequent,0.48002352625904077,0.7123736502858729,0.4666666666666667,0.4117647058823529
56,CAFNet,rare,,,,
56,CAFNet,middle,,,,
56,CAFNet,frequent,0.32781494378962694,0.3070147303424654,0.3333333333333333,0.29411764705882354
57,CAFNet,rare,0.1647232420784838,0.06943122193677728,0.26666666666666666,0.08163265306122448
57,CAFNet,middle,0.49840203157762586,0.8611375561264456,0.8,0.1348314606741573
57,CAFNet,frequent,0.8881158766350052,1.0,1.0,0.10869565217391304
58,CAFNet,rare,,,,
58,CAFNet,middle,,,,
58,CAFNet,frequent,0.40162401574803147,0.5206888446176334,0.26666666666666666,0.5
59,CAFNet,rare,0.2727272727272727,0.38685280723454163,0.06666666666666667,0.5
59,CAFNet,middle,0.01694915254237288,0.0,0.0,0.0
59,CAFNet,frequent,0.4332524009225753,0.4329570418332235,0.6,0.47368421052631576
60,CAFNet,rare,0.002207505518763797,0.0,0.0,0.0
60,CAFNet,middle,0.016258068613579847,0.0,0.0,0.0
60,CAFNet,frequent,0.18625789222398687,0.2200917662980802,0.13333333333333333,0.14285714285714285
61,CAFNet,rare,0.00980392156862745,0.0,0.0,0.0
61,CAFNet,middle,0.17486338797814208,0.3065735963827292,0.06666666666666667,0.5
61,CAFNet,frequent,0.4841250756416157,0.6777277508780453,0.5333333333333333,0.24242424242424243
62,CAFNet,rare,,,,
62,CAFNet,middle,0.02604523919666927,0.0,0.0,0.0
62,CAFNet,frequent,0.6778747021223919,0.92663607790064,0.9333333333333333,0.4827586206896552
63,CAFNet,rare,,,,
63,CAFNet,middle,0.02367315769377625,0.0,0.0,0.0
63,CAFNet,frequent,0.5279971220740456,0.718362797268624,0.5333333333333333,0.4444444444444444
64,CAFNet,rare,,,,
64,CAFNet,middle,0.021656469892272247,0.0,0.0,0.0
64,CAFNet,frequent,0.4243283730834048,0.42696207545852366,0.5333333333333333,0.2962962962962963
65,CAFNet,rare,,,,
65,CAFNet,middle,0.05263157894736842,0.0,0.0,0.0
65,CAFNet,frequent,0.526278365370283,0.8553475075669357,0.6,0.3
66,CAFNet,rare,,,,
66,CAFNet,middle,,,,
66,CAFNet,frequent,0.11332572724807846,0.17441424290825341,0.13333333333333333,0.25
67,CAFNet,rare,0.0019880715705765406,0.0,0.0,0.0
67,CAFNet,middle,0.010185185185185186,0.0,0.0,0.0
67,CAFNet,frequent,0.14272742034890373,0.0,0.06666666666666667,0.14285714285714285
68,CAFNet,rare,0.048138471035886574,0.1012286082123002,0.06666666666666667,0.1111111111111111
68,CAFNet,middle,0.11847827185523066,0.07336392209936006,0.13333333333333333,0.1111111111111111
68,CAFNet,frequent,0.6687001342862074,1.0,1.0,0.2
69,CAFNet,rare,0.04516885466328306,0.0,0.0,0.0
69,CAFNet,middle,0.15848104078948105,0.13886244387355456,0.2,0.17647058823529413
69,CAFNet,frequent,0.434473391700797,0.6032621820619529,0.6,0.20454545454545456
70,CAFNet,rare,,,,
70,CAFNet,middle,,,,
70,CAFNet,frequent,0.7130858226166145,0.6325414799409712,0.6,0.8181818181818182
71,CAFNet,rare,0.06164942135904023,0.0,0.06666666666666667,0.25
71,CAFNet,middle,0.40745659584888255,0.5541432109622959,0.3333333333333333,0.35714285714285715
71,CAFNet,frequent,0.5180270098760853,0.6698623505528799,0.7333333333333333,0.275
72,CAFNet,rare,0.0537513691128149,0.0,0.06666666666666667,0.25
72,CAFNet,middle,0.048995917080316385,0.0,0.0,0.0
72,CAFNet,frequent,0.5119577401250793,0.7421246259355073,0.7333333333333333,0.22448979591836735
73,CAFNet,rare,0.04015151515151515,0.0,0.0,0.0
73,CAFNet,middle,0.022222222222222223,0.0,0.0,0.0
73,CAFNet,frequent,0.28198286811836104,0.28669193478900723,0.26666666666666666,0.2857142857142857
74,CAFNet,rare,0.13165392112760532,0.3084274278260313,0.13333333333333333,0.6666666666666666
