model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
CAFNet-D + ATC+target kNN k=10 beta=0.3,0.3739612769238973,0.17982342745927343,750,0.5737586761490905,0.29378113800069733,750,0.48426666666666673,0.2722134297070253,750,0.25016681307585886,0.17348984883192098,750
CAFNet-D + ATC+target kNN k=10 beta=0.5,0.3598814419345488,0.17790768590141084,750,0.5526262548620671,0.2925567299070017,750,0.46897777777777777,0.2682982868495448,750,0.2409013969424644,0.1703589554796634,750
CAFNet-D + ATC+target kNN k=10 beta=0.8,0.3479019462780216,0.17629102088247411,750,0.5375000932658897,0.2900073406404186,750,0.4567111111111111,0.26628003420966706,750,0.2332602646328822,0.16985270824798385,750
CAFNet-D + ATC+target kNN k=10 beta=1.0,0.34270645413095324,0.17537438299608574,750,0.5310402599379941,0.2900070158485524,750,0.45066666666666666,0.2651581721402934,750,0.22997969753787395,0.16883497771186312,750
CAFNet-D + ATC+target kNN k=20 beta=0.05,0.40571382735507433,0.18641552479090837,750,0.619551784454663,0.2927086354064542,750,0.5221333333333333,0.2830611483534346,750,0.27158471507574855,0.1817371571642106,750
CAFNet-D + ATC+target kNN k=20 beta=0.1,0.40082451262170843,0.1853004123792981,750,0.6115639449306829,0.29266488641510385,750,0.5151111111111112,0.2826009977655604,750,0.2673554659180269,0.18079634512382017,750
CAFNet-D + ATC+target kNN k=20 beta=0.2,0.3906152742888407,0.18328611428371222,750,0.5969907798887188,0.29190963594745095,750,0.5036444444444445,0.28066569166919275,750,0.2601578537880129,0.17689694672863462,750
CAFNet-D + ATC+target kNN k=20 beta=0.3,0.3819806236332327,0.18229045335557606,750,0.5855426107317655,0.29092201274280294,750,0.49324444444444454,0.27662533582968285,750,0.25494281333345786,0.17585293200974492,750
CAFNet-D + ATC+target kNN k=20 beta=0.5,0.3705421163716468,0.18054123589910198,750,0.5705619929915258,0.2912138703201637,750,0.4780444444444444,0.2736746559999589,750,0.24542118902208548,0.17130611914880314,750
CAFNet-D + ATC+target kNN k=20 beta=0.8,0.3597091952351493,0.17914709899694245,750,0.5563179871007481,0.2910559363365087,750,0.4669333333333333,0.2703021873968038,750,0.23879418711671951,0.1700564557847925,750
CAFNet-D + ATC+target kNN k=20 beta=1.0,0.35475905845222055,0.17835429101134057,750,0.5509285593133848,0.2897831320811915,750,0.46177777777777784,0.26986254355611755,750,0.23550948369625613,0.16783539601925848,750
CAFNet-D + ATC+target kNN k=5 beta=0.05,0.40122294253870744,0.18645142742548038,750,0.6134634493009468,0.2933989802906659,750,0.5185777777777778,0.2832751705181941,750,0.2684454173253658,0.17835522889992667,750
CAFNet-D + ATC+target kNN k=5 beta=0.1,0.3921255107461602,0.18453203139720906,750,0.5985915649852008,0.2958480486712044,750,0.5094222222222222,0.28169195149271853,750,0.26343865752357704,0.1779706819793362,750
