drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
42,CAFNet-D + ATC,0.4129131682431714,0.4936078498313854,0.37422680412371134,-0.4637117565446293
42,CAFNet-D + ATC+target,0.42265384206610696,0.4978831152233294,0.39278350515463917,-0.33476632053858224
42,Global popularity,0.516555957062387,0.5507504836443373,0.5257731958762887,0.023185948835433373
43,CAFNet,0.7638888888888888,0.794869881232665,0.8,0.7591927266990145
43,CAFNet-D full,0.8211805555555555,0.8586678444870941,0.8916666666666667,0.8008035725913942
43,CAFNet-D + ATC,0.7697916666666667,0.8264290738498683,0.7583333333333333,0.9830410409097871
43,CAFNet-D + ATC+target,0.7479166666666667,0.8087093634947026,0.7333333333333333,0.9281431081394355
43,Global popularity,0.7807291666666666,0.8411780670927305,0.7916666666666666,0.18928395061728398
44,CAFNet,0.7495838287752675,0.7656984347916924,0.8,1.3412750723290032
44,CAFNet-D full,0.7129607609988109,0.6949222439346566,0.8068965517241379,1.1845980828692173
44,CAFNet-D + ATC,0.503923900118906,0.5180381590065464,0.4827586206896552,0.019805725413406708
44,CAFNet-D + ATC+target,0.48109393579072535,0.5016270148928563,0.46206896551724136,-0.03509784583644621
44,Global popularity,0.49369797859690834,0.5211445391281906,0.42758620689655175,0.0011034482758620653
45,CAFNet,0.808,0.8305109922756981,0.8,1.1546335411071778
45,CAFNet-D full,0.9840000000000001,0.9851851851851852,0.96,1.1740668022632599
45,CAFNet-D + ATC,0.976,0.9785714285714284,0.96,1.810307174026966
45,CAFNet-D + ATC+target,0.976,0.9785714285714284,0.96,1.888625027537346
45,Global popularity,0.9440000000000001,0.9368601986249045,0.92,0.37208888888888886
46,CAFNet,0.7999999999999999,0.7192355639262199,0.8285714285714286,0.8510966403143747
46,CAFNet-D full,0.8204081632653062,0.7927649108423858,0.8571428571428571,0.6154801645449229
46,CAFNet-D + ATC,0.7591836734693878,0.73264492237573,0.7428571428571429,0.6444829474602427
46,CAFNet-D + ATC+target,0.7755102040816326,0.7495133259756683,0.7428571428571429,0.7671519658395223
46,Global popularity,0.7714285714285715,0.7760563282384914,0.8,0.11017989417989418
47,CAFNet,0.7646121883656509,0.7575051643366782,0.7894736842105263,0.942770305001422
47,CAFNet-D full,0.7515235457063711,0.8108270415014404,0.7894736842105263,0.6671088694349716
47,CAFNet-D + ATC,0.6121883656509696,0.703271738523753,0.6263157894736842,0.40318575348508984
47,CAFNet-D + ATC+target,0.6101108033240997,0.714011698332682,0.6684210526315789,0.4761259185321825
47,Global popularity,0.6581717451523545,0.733074137716388,0.6684210526315789,0.11998440545808967
48,CAFNet,0.5494809688581315,0.6638640965233225,0.5647058823529412,0.14183273105060354
48,CAFNet-D full,0.5522491349480969,0.6674725427735776,0.6058823529411764,0.21787014026742643
48,CAFNet-D + ATC,0.616955017301038,0.7179938605802131,0.711764705882353,0.5318860586595667
48,CAFNet-D + ATC+target,0.6854671280276816,0.7435281465036355,0.8411764705882353,0.898378067041802
48,Global popularity,0.6166089965397926,0.7136009279044084,0.7176470588235294,0.12209150326797384
49,CAFNet,0.6152249134948097,0.6893066526071951,0.6352941176470588,0.5067365699612042
49,CAFNet-D full,0.6076124567474047,0.6923307457606249,0.5882352941176471,0.06787210974623176
49,CAFNet-D + ATC,0.6062283737024221,0.6800240812904955,0.6235294117647059,0.2125342188731712
49,CAFNet-D + ATC+target,0.582006920415225,0.6646071637005548,0.6,0.24247625145842047
49,Global popularity,0.5882352941176471,0.6769380120982662,0.611764705882353,0.09857952069716777
50,CAFNet,0.6650887573964497,0.7453410571362384,0.6307692307692307,0.6134805411100388
50,CAFNet-D full,0.6355029585798817,0.7320022024239154,0.6923076923076923,0.516323403097116
50,CAFNet-D + ATC,0.7242603550295859,0.8007379540854644,0.7692307692307693,0.7894546429698284
