drug_idx,model,n_pairs,matched_AUROC,matched_AUPR,pos_minus_ctrl_score,pos_gt_ctrl_rate
609,Global popularity,575,0.5202797731568999,0.5190478696679188,0.0067040257648953334,0.5356521739130434
609,HSTrans100,575,0.4579810964083175,0.4662850071841145,-0.24990295166554657,0.42086956521739133
610,CAFNet-D,735,0.5035494469896803,0.5793357795587473,-0.022608944826892446,0.5224489795918368
610,CAFNet,735,0.5205146003979824,0.5782171304138539,0.15580561022166492,0.5115646258503401
610,A3Net,735,0.49796843907631083,0.5294402064469715,0.009812281004526992,0.46802721088435373
610,CAFNet-D w/o association residual,735,0.5120921838123005,0.5751871839912832,0.08732514839340635,0.5401360544217687
610,CAFNet-D w/o bias/popularity prior,735,0.4865565273728539,0.5647193288485002,-0.06409857715701772,0.4925170068027211
610,Global popularity,735,0.5295895228839835,0.5876955663604067,0.03654320987654321,0.5469387755102041
610,HSTrans100,735,0.5125549539543709,0.554114685669917,0.13562885392077115,0.5061224489795918
611,CAFNet-D,55,0.5074380165289256,0.5586338682411118,0.5569532903757962,0.5454545454545454
611,CAFNet,55,0.5768595041322314,0.5805984481885061,0.27032075077295303,0.6727272727272727
611,A3Net,55,0.603305785123967,0.5740675443278254,0.35644075125455854,0.6545454545454545
611,CAFNet-D w/o association residual,55,0.48760330578512395,0.570672931194933,0.2538544641977007,0.4909090909090909
611,CAFNet-D w/o bias/popularity prior,55,0.4611570247933884,0.5536636662715436,-0.016156168688427314,0.509090909090909
611,Global popularity,55,0.5173553719008265,0.5884913047200888,0.02879461279461279,0.4909090909090909
611,HSTrans100,55,0.5867768595041323,0.6369282031963056,0.40575369867411526,0.6727272727272727
612,CAFNet-D,100,0.778,0.8234485502635689,0.8905677923560142,0.77
612,CAFNet,100,0.807,0.8371523468411293,1.067704862356186,0.85
612,A3Net,100,0.7674999999999998,0.8034258284402287,0.8645319700241089,0.77
612,CAFNet-D w/o association residual,100,0.7795,0.799692933187358,0.7738623864948749,0.77
612,CAFNet-D w/o bias/popularity prior,100,0.7455,0.7859941465489074,0.5844366215914488,0.71
612,Global popularity,100,0.7847500000000001,0.7925916118003677,0.15161481481481487,0.8
612,HSTrans100,100,0.7310000000000001,0.752847632408258,1.0132834522426128,0.79
613,CAFNet-D,50,0.796,0.810524199881022,1.917962924838066,0.86
613,CAFNet,50,0.79,0.7932774871768034,0.9702749440819025,0.86
613,A3Net,50,0.6699999999999999,0.6067112083433586,0.7442113724350929,0.74
613,CAFNet-D w/o association residual,50,0.772,0.7724642653638629,1.9470288273692131,0.9
613,CAFNet-D w/o bias/popularity prior,50,0.792,0.7659484808442993,2.154803336188197,0.84
613,Global popularity,50,0.546,0.6226746292922762,0.06488888888888888,0.42
613,HSTrans100,50,0.49200000000000005,0.5678091536337695,-0.017124084234237672,0.5
614,CAFNet-D,45,0.7580246913580246,0.824613885140201,1.5015261587169435,0.9111111111111111
614,CAFNet,45,0.6641975308641975,0.7796179112190348,0.6568138142426808,0.7111111111111111
614,A3Net,45,0.7209876543209875,0.7436901481292698,1.1595494603117307,0.7333333333333333
614,CAFNet-D w/o association residual,45,0.6518518518518518,0.7858663260962111,0.6463675843344795,0.7555555555555555
614,CAFNet-D w/o bias/popularity prior,45,0.7333333333333333,0.8145849413291273,0.7871081842316522,0.7777777777777778
614,Global popularity,45,0.6876543209876543,0.7971612866174465,0.20190946502057616,0.7777777777777778
614,HSTrans100,45,0.6839506172839506,0.7469849377790532,0.4419040083885193,0.7555555555555555
615,CAFNet-D,25,0.776,0.7852508828118585,1.7215483155846596,0.92
615,CAFNet,25,0.8240000000000001,0.8420502983802216,1.5927458333969116,0.84
615,A3Net,25,0.728,0.7377169127169128,1.1019722592830659,0.72
615,CAFNet-D w/o association residual,25,0.76,0.777056277056277,0.9867501731216908,0.88
615,CAFNet-D w/o bias/popularity prior,25,0.8320000000000001,0.8206435059981971,1.6751130984723568,0.92
615,Global popularity,25,0.624,0.6801925025329281,0.07508148148148147,0.76
