drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
9,1,frequent,CAFNet-D w/o association residual,0.6517740611834177,0.7753366239771086,0.6,0.6
9,1,frequent,CAFNet-D w/o bias/popularity prior,0.5300948986227499,0.6500332220485792,0.4666666666666667,0.4666666666666667
9,1,frequent,Global popularity,0.5695977711492608,0.7827392871477703,0.6,0.6
9,1,frequent,HSTrans100,0.2869096422336423,0.45953262310069537,0.26666666666666666,0.26666666666666666
10,9,rare,CAFNet-D,0.023255813953488372,0.0,0.0,0.0
10,9,rare,CAFNet,0.0032679738562091504,0.0,0.0,0.0
10,9,rare,A3Net,0.0072992700729927005,0.0,0.0,0.0
10,9,rare,CAFNet-D w/o association residual,0.038461538461538464,0.0,0.0,0.0
10,9,rare,CAFNet-D w/o bias/popularity prior,0.006896551724137931,0.0,0.0,0.0
10,9,rare,Global popularity,0.002551020408163265,0.0,0.0,0.0
10,9,rare,HSTrans100,0.0047169811320754715,0.0,0.0,0.0
10,9,mid,CAFNet-D,0.05561779957171001,0.11751610475642714,0.06666666666666667,0.25
10,9,mid,CAFNet,0.07409186300695735,0.16812753627111746,0.06666666666666667,0.25
10,9,mid,A3Net,0.032027128573181206,0.0,0.0,0.0
10,9,mid,CAFNet-D w/o association residual,0.04167786236751754,0.0,0.06666666666666667,0.25
10,9,mid,CAFNet-D w/o bias/popularity prior,0.022387282590392778,0.0,0.0,0.0
10,9,mid,Global popularity,0.013877672305037446,0.0,0.0,0.0
10,9,mid,HSTrans100,0.023135958885285548,0.0,0.0,0.0
10,9,frequent,CAFNet-D,0.3910323467343482,0.4705561169627618,0.4,0.35294117647058826
10,9,frequent,CAFNet,0.44216693366309734,0.5684579545875156,0.5333333333333333,0.47058823529411764
10,9,frequent,A3Net,0.3656816627718976,0.49827103097054376,0.4,0.35294117647058826
10,9,frequent,CAFNet-D w/o association residual,0.42356029857878597,0.5328776402545681,0.4666666666666667,0.4117647058823529
10,9,frequent,CAFNet-D w/o bias/popularity prior,0.3617080735905379,0.4256628105513782,0.5333333333333333,0.47058823529411764
10,9,frequent,Global popularity,0.29725242481547204,0.45795769451312107,0.4,0.35294117647058826
10,9,frequent,HSTrans100,0.15641969285029908,0.15840915256850252,0.2,0.17647058823529413
11,4,rare,CAFNet-D,,,,
11,4,rare,CAFNet,,,,
11,4,rare,A3Net,,,,
11,4,rare,CAFNet-D w/o association residual,,,,
11,4,rare,CAFNet-D w/o bias/popularity prior,,,,
11,4,rare,Global popularity,,,,
11,4,rare,HSTrans100,,,,
11,4,mid,CAFNet-D,0.004545454545454545,0.0,0.0,0.0
11,4,mid,CAFNet,0.004694835680751174,0.0,0.0,0.0
