model,fold,AP,AUROC,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,global_AUROC,global_AUPR
CAFNet-D,0,0.3846895345032667,0.8540228965507262,0.5961945855416493,0.72,0.4977777777777777,0.24436031082601029,0.05467883538386066,0.09664076895278928,0.4342846018063896,0.11900133385782559,0.7789729309406015,0.25512921825677215
CAFNet-D,1,0.38328767616777354,0.8575394856262839,0.6349943371171584,0.7333333333333333,0.5368888888888887,0.2524921911222709,0.03937791851276669,0.08525591162979088,0.4335009053202803,0.09681712696528394,0.8126565719549025,0.29994933189945505
CAFNet-D,2,0.3965586586221892,0.8593025483473914,0.6142571961093963,0.6933333333333334,0.5137777777777778,0.2696255780171686,0.08279156798624414,0.10462539432415437,0.45174845142422554,0.1374647147517784,0.7910211185075098,0.3018107884741321
CAFNet-D,3,0.42944354777634575,0.8877472552873015,0.6348858547222499,0.7333333333333333,0.5226666666666667,0.33929492210889456,0.03985970890285048,0.08812025963783525,0.4720632834804229,0.07651421247497162,0.8332306959983954,0.2867628628800503
CAFNet-D,4,0.41143992754790687,0.8717589636608263,0.6222620633256578,0.6933333333333334,0.5235555555555556,0.2913457591133553,0.08169021662073549,0.097060623719878,0.4550465867829347,0.0935047350495371,0.8086872695889262,0.28763163844959666
CAFNet-D,5,0.42581940403568486,0.8831302865054297,0.6669690287903953,0.7333333333333333,0.5697777777777778,0.2952581541686407,0.08726806281588673,0.08013967809964317,0.4729426418557204,0.1035300396594132,0.8368935010639464,0.3264732216367762
CAFNet-D,6,0.38421344094809795,0.8634084456494387,0.5892570619047711,0.6533333333333333,0.5004444444444445,0.2572345024321079,0.04268486209204784,0.08141527155952047,0.4347051723257441,0.09965197489474388,0.8259782466757143,0.30166305188284803
CAFNet-D,7,0.40216499514045756,0.8763089263279634,0.6196005478893803,0.7466666666666667,0.528,0.2609404739457758,0.05817697489348162,0.1175457432151438,0.4478711514804824,0.10493371852544316,0.8182991309416291,0.302276646935788
CAFNet-D,8,0.3840651594249024,0.8676144595068045,0.6152605474473459,0.7333333333333333,0.512888888888889,0.23665762019754355,0.06647797881001614,0.07111447366607958,0.44086798979792424,0.09414516641273764,0.7947302866574357,0.2730747413423029
CAFNet-D,9,0.4365013377506611,0.8755064301689142,0.6613918766014819,0.8,0.5697777777777778,0.28970108395563776,0.038274430762718456,0.10991746923688643,0.4873310518932676,0.11170187643198648,0.7917676465154706,0.28161916967445305
CAFNet-DG,0,0.3925713635214265,0.8587711393039806,0.5921538371862821,0.7066666666666667,0.4951111111111111,0.24213861965569966,0.06585347510733096,0.08659850996773133,0.44150538655994837,0.12483504425606104,0.7879387100631159,0.26585663250142255
CAFNet-DG,1,0.38982174884426884,0.8624682369431864,0.6223441118655137,0.72,0.5306666666666666,0.2521579911297334,0.03837244643985287,0.08899723618472345,0.43758233117675227,0.10457868966814438,0.8170443578892982,0.30359286821785514
CAFNet-DG,2,0.4002178825660215,0.8634829314004855,0.6113435212110684,0.7066666666666667,0.4995555555555556,0.25727661610812136,0.08056303381247586,0.10966827910227357,0.45390640890962297,0.14709849102253794,0.8009060222976053,0.3198165501186627
CAFNet-DG,3,0.4360347502268156,0.893644158828229,0.6279961687327003,0.76,0.5146666666666667,0.338055711595405,0.06717080517550847,0.09663428255211766,0.4765944900429679,0.10031548654189454,0.844203720578791,0.3040306670133001
CAFNet-DG,4,0.4147641879541869,0.8776806455706393,0.6158570568246227,0.6933333333333334,0.5235555555555557,0.28967361196867514,0.08438935144960667,0.10095765412510184,0.4564881970059282,0.11526272596289724,0.8137738166076364,0.2939472576853088
CAFNet-DG,5,0.4269865661084676,0.8872996447801567,0.6603800333970774,0.7066666666666667,0.5599999999999999,0.29368777537921936,0.10326536122455317,0.10682202639093873,0.47177543323353094,0.1320685017748176,0.8429450684578013,0.3179865669945367
CAFNet-DG,6,0.39153816859480894,0.8696651627997553,0.5830005723973687,0.64,0.49866666666666665,0.2572269925268353,0.049159455680557705,0.08633723539007247,0.44085617001516275,0.10958585140224912,0.8307081151929178,0.2963261773554323
CAFNet-DG,7,0.39888300829041257,0.8806801440361373,0.6055934118316659,0.6933333333333334,0.5111111111111112,0.2525293575459191,0.06304217477314522,0.1371369182137163,0.44261240821533354,0.11102994442889064,0.8263900262839157,0.30277664782244423
CAFNet-DG,8,0.3915727159510326,0.873901372910027,0.6253365024921883,0.7066666666666667,0.512,0.23853131945385916,0.0672442521771088,0.08749631757293178,0.4461560523134227,0.10642776417862973,0.8061636072816541,0.2862751986697074
CAFNet-DG,9,0.44431885951475675,0.8796098093641102,0.6683884257526415,0.8266666666666667,0.5653333333333334,0.2820906089952637,0.03933465901877002,0.13386872086892768,0.49533535100170495,0.11929761560080851,0.8006737391910829,0.29118235839931794
