MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,model
0.23683710330219274,0.9053491012123515,0.11393250248224984,0.3036348320558412,0.3328220858895706,0.12280163599182004,0.38265201428658757,0.5181761257226578,3.0663998107349326,2.872828351240555,0.09717547459521701,0.09805404466834536,0.11620728791616848,3,CAFNet-D
0.2405609888489751,0.9231019853984658,0.1293514445547827,0.30668910426857565,0.31901840490797545,0.1277096114519427,0.4170923149080113,0.5298488747397192,2.23842088382384,2.012768187864554,0.12100043399589835,0.1152558434282876,0.15677909344313248,3,CAFNet-DG
0.1790202014117761,0.9069969786056538,0.08792841859107975,0.2285596074614548,0.17411402157164868,0.10600924499229582,0.3848514786453524,0.48304719352422143,1.279415384146812,0.9468639549535414,0.10486366180274335,0.10499254176020621,0.13741468438593699,4,CAFNet
0.2238237926111521,0.8932904446076151,0.10555325476333811,0.28449139742824064,0.31124807395993837,0.1182331792501284,0.36980459193659343,0.5047090139912155,3.1130211493065567,2.936394850752722,0.08679783392920283,0.10964680280251166,0.10666253201003767,4,CAFNet-D
0.2374288710894761,0.9173194304453749,0.12706425974191718,0.2983777906799445,0.3235747303543914,0.12306111967128915,0.41334944613601105,0.5253899449475641,2.265086842509413,2.056265659485125,0.125623930773993,0.13602753386325658,0.1619287021991296,4,CAFNet-DG
0.21517736217810715,0.9104970178413853,0.09480868363173528,0.2670793631068571,0.23692307692307693,0.11466666666666667,0.4146313011757649,0.5258241209526714,1.2462788057564371,0.9157985760277778,0.12378440756526897,0.09187359864925429,0.14386790022985402,5,CAFNet
0.23297643787057132,0.9028219918599774,0.10617794360800664,0.30069487598156175,0.31846153846153846,0.12317948717948718,0.3941172276532896,0.5156659367937374,3.1114680133321686,2.9369724554227843,0.10800641191595005,0.09294683383502698,0.09824670180784849,5,CAFNet-D
0.2515227359940259,0.9205572747622734,0.12382001545753837,0.3133963408926877,0.3353846153846154,0.1276923076923077,0.42897572724191707,0.5432830522466939,2.2559734421940747,2.0472709653475105,0.14021601795472044,0.10354724759300887,0.1493766681378716,5,CAFNet-DG
0.21024890712381353,0.9065680177082032,0.09183987593200775,0.2642930198658679,0.20930232558139536,0.11576227390180877,0.40112886161987904,0.5237038238796031,1.2216804922963609,0.8960468263702895,0.12223604167945128,0.13016099865184144,0.17094302267460731,6,CAFNet
0.22250591335973774,0.8967360050470277,0.10044243394683944,0.2884370626499684,0.32248062015503876,0.11989664082687337,0.3742860567410346,0.48992215645184223,3.1342458654612426,2.981518962535677,0.08384523881618142,0.08954169061263104,0.11863015939410368,6,CAFNet-D
