MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,rho
0.2435853469280969,0.9183382396064114,0.1203806258100373,0.30705999298554504,0.33798449612403103,0.12909560723514213,0.41400600710131186,0.5304517427244081,2.243375871321877,2.0501641904957344,0.13184195893253897,0.12601791006116053,0.17971860981606727,6,0.6
0.2390787717664935,0.9151637643794437,0.11894294727476246,0.3014358778447633,0.33488372093023255,0.1289922480620155,0.40694202457058554,0.5242956151158413,2.4592946519429764,2.281901329361955,0.12526242706464497,0.12059230919670362,0.17329355028722432,6,0.7
0.23430537369770396,0.9105831969904948,0.11478752427567718,0.29674106958789154,0.3302325581395349,0.12692506459948322,0.39510634981910164,0.5156831930379068,2.680495384178201,2.5146693444470225,0.11930297518070876,0.11864458975415627,0.16285044209801128,6,0.8
0.23059018307996468,0.9044715129894224,0.10875216153513621,0.2937120901697698,0.3302325581395349,0.12320413436692507,0.3839741556095457,0.5042281881766834,2.9057720498630553,2.7480043482945624,0.10386785038440909,0.11231272885371675,0.13962798719626002,6,0.9
0.22250591335973774,0.8967360050470277,0.10044243394683944,0.2884370626499684,0.32248062015503876,0.11989664082687337,0.3742860567410346,0.48992215645184223,3.1342458654612426,2.981518962535677,0.08384523881618142,0.08954169061263104,0.11863015939410368,6,1.0
0.17760349615648796,0.9055664857700313,0.08735139266552515,0.2256504424376982,0.19040247678018576,0.10629514963880289,0.38174823818074327,0.5000144880934768,1.2788067558063148,0.9272953871338193,0.11460496976140942,0.11664284599477838,0.13683742479933927,7,0.0
0.20460923907666645,0.9136687287195953,0.094829851570806,0.2610739542195613,0.23219814241486067,0.11382868937048503,0.3992788945720615,0.5108063336821654,1.3893898104625,1.0496649199226689,0.12023179890538191,0.12605763390125913,0.14613878746594353,7,0.1
0.2185096794070796,0.9188938209170265,0.10318516292354862,0.2799479648812331,0.24613003095975233,0.11857585139318885,0.4106157358227809,0.5197575155520738,1.5274398988701892,1.2113629386146445,0.1233778885734812,0.12325040239072411,0.1470940634085474,7,0.2
0.23524169435382886,0.9217551281805532,0.11268585912700954,0.296387206422069,0.2739938080495356,0.12342621259029926,0.4157587125852984,0.5264040955883641,1.6862244999312106,1.3988256153038743,0.1256724074690103,0.12461734439878977,0.15116172899356173,7,0.3
0.24799301452939404,0.9226637440450088,0.12163723055602808,0.31422841040124616,0.3188854489164087,0.1257997936016512,0.42218695608000933,0.5305426853825608,1.8604420524933925,1.6013225075902322,0.1287524588338867,0.12554010804295487,0.1530186757927382,7,0.4
0.2540951347670506,0.9220726616381336,0.12814831124096943,0.32173102176978613,0.33126934984520123,0.12745098039215685,0.42545266353812666,0.5321621078854757,2.0461544842189423,1.8098745243232035,0.13168971648863767,0.12848550722409544,0.15005405977167016,7,0.5
0.2564492966041046,0.9202572192354685,0.13077420833353254,0.32321413982111175,0.34520123839009287,0.12910216718266251,0.42602633596091977,0.5311178175808208,2.240505065665537,2.0222649795074568,0.13098308937803543,0.12377454949995279,0.1456890299946585,7,0.6
