fold,rho,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP
6,0.5,0.925666728303878,0.12600281000145003,712137,3708,645,0.2549366306322897,0.32459463207039446,0.33488372093023255,0.1322997416020672,0.43390898256207583,0.12678533417708887,0.18848881248187413,0.2926047399530867,0.13639903985246793
6,0.6,0.9236354610491647,0.1277100077404975,712137,3708,645,0.25251675907403737,0.3196590697835177,0.32868217054263565,0.13333333333333333,0.4295836722223605,0.12611238038763695,0.1853594819779949,0.29136070624566673,0.13306540183314278
6,0.7,0.9205892297892018,0.12534787590025226,712137,3708,645,0.2474719853378156,0.315262206016775,0.3302325581395349,0.13260981912144704,0.4192904309092833,0.12641779838173717,0.18085507289259578,0.2864625448702667,0.12826579950887265
6,0.8,0.9164465420084752,0.12063456236055507,712137,3708,645,0.24117760704357183,0.30855839189623263,0.3271317829457364,0.13085271317829458,0.40926248268004084,0.11911332098740433,0.16390542571014213,0.2800246446329661,0.12199601284111591
6,0.9,0.9110707085723992,0.1140378139993201,712137,3708,645,0.23422483621026144,0.301235165789854,0.324031007751938,0.12795865633074935,0.3986018774704694,0.11037861485315725,0.14046396571920694,0.2733326438031722,0.10204422205427094
6,1.0,0.9043565287644538,0.10582167832744228,712137,3708,645,0.22484414162655292,0.2915400651963398,0.31627906976744186,0.1243410852713178,0.3841346971765666,0.10176825317298412,0.11904858707947985,0.2625965171674961,0.08150483638205283
7,0.0,0.9111415036939319,0.08468794210439676,712137,3708,646,0.19668747900793787,0.24923270874424416,0.22910216718266255,0.10908152734778122,0.3921626903235472,0.13787963648994633,0.15467845033117725,0.22684387924868513,0.13358412585189172
7,0.1,0.9188901067103242,0.092119201812013,712137,3708,646,0.22975552391258536,0.283613905612559,0.2786377708978328,0.11578947368421053,0.41078387227752594,0.13078154926682134,0.15793198625151153,0.26323645165953347,0.13582864222906635
7,0.2,0.9242503968430333,0.10075825880221603,712137,3708,646,0.24423649721899737,0.30880869322056415,0.3065015479876161,0.12125902992776057,0.42090349842413216,0.1330329165771769,0.1605023106266138,0.2793692576966813,0.137556549046742
7,0.3,0.9273404287740417,0.11053206957630102,712137,3708,646,0.2557437932695175,0.3210756473945965,0.3173374613003096,0.12579979360165117,0.4340497343223483,0.13982682848863817,0.16346909535279566,0.29224762897452855,0.13946409136121757
7,0.4,0.9285867868082778,0.120669816039681,712137,3708,646,0.26016940545811174,0.3304659995032623,0.33591331269349844,0.12879256965944272,0.4400141764434302,0.13754812963868382,0.1630914725710863,0.29766808975820386,0.1417641816130099
7,0.5,0.9284154174156288,0.12955163260050628,712137,3708,646,0.2648538214534998,0.33665433653633664,0.35294117647058826,0.13219814241486066,0.4474142172724843,0.14004673397186668,0.16430725038363425,0.3044063120317469,0.14042331724499743
7,0.6,0.9270665992046949,0.1351739046556351,712137,3708,646,0.26480117589180163,0.3381028104933345,0.3668730650154799,0.13302373581011354,0.44477012102205504,0.1336591071129393,0.16097733762016295,0.3050047488946369,0.14380230541578679
7,0.7,0.9246309123651989,0.13671453982330597,712137,3708,646,0.25811613994750676,0.32912032878576597,0.3622291021671827,0.1327141382868937,0.43241890133603567,0.1314213295711955,0.15678926454782585,0.29788552186355705,0.13915171068145463
7,0.8,0.9210827852508746,0.13431220637949537,712137,3708,646,0.2529022279703195,0.3219017960635804,0.3622291021671827,0.13157894736842105,0.42023292946258245,0.11454766203989135,0.1353229099928156,0.29136257498390367,0.13429387569872364
7,0.9,0.916315830935717,0.12845231653599987,712137,3708,646,0.24272959746454867,0.3111000245497076,0.34520123839009287,0.126625386996904,0.4013359313663644,0.11117983482576008,0.12009949656455779,0.28108859867400904,0.12344786141439458
7,1.0,0.9102337193878751,0.11982422842342008,712137,3708,646,0.23355911303586946,0.30273490644502066,0.33900928792569657,0.12229102167182662,0.3825136564247756,0.09179742062366784,0.0911611057448855,0.27163061931992777,0.0980203779453966
8,0.0,0.9168173512459007,0.10034198713116939,712137,3708,646,0.22492397461037952,0.28641832149786073,0.25077399380804954,0.12280701754385964,0.41440207103447296,0.12101784082051935,0.17157884153405892,0.2589782412498571,0.14142041241489253
8,0.1,0.9247331664018336,0.10701457440743097,712137,3708,646,0.23778799514928395,0.29977641976804115,0.28173374613003094,0.12703818369453043,0.42078316313038994,0.1259239068979942,0.1763561100770374,0.2725460236331886,0.14156858328332644
8,0.2,0.9292163339925414,0.1135918706244621,712137,3708,646,0.25147313742594257,0.31257745673108545,0.3111455108359133,0.12920536635706914,0.42809323770167285,0.12586804964239853,0.18030452734805322,0.2874479436488338,0.1426531350038212
8,0.3,0.9312398530076006,0.12048347696555779,712137,3708,646,0.25884906286217885,0.32237463732721866,0.33746130030959753,0.13095975232198143,0.4281841842874114,0.1294254654263487,0.1770359702742525,0.2953605990595941,0.14418860717292217
8,0.4,0.931775404700986,0.12639444901304053,712137,3708,646,0.2628145713778864,0.32891350752295,0.34674922600619196,0.1327141382868937,0.42899882009847334,0.13152320611606325,0.17669501432949164,0.30015930197098095,0.14553168745880865
8,0.5,0.9312432102545365,0.1306779361764324,712137,3708,646,0.2669708037325486,0.33259152366674205,0.3544891640866873,0.13446852425180597,0.43125239311899066,0.13047257156786865,0.17564331627136462,0.3054235576610659,0.14357549368889902
8,0.6,0.9298292106698802,0.1321095688541084,712137,3708,646,0.2679097027872295,0.33563619651446175,0.3637770897832817,0.13384932920536635,0.4268803336781971,0.1264793167374375,0.17372382699935912,0.30568958484223685,0.1414245129720955
8,0.7,0.9276086057658706,0.13089924495687266,712137,3708,646,0.26488920423619244,0.3339465895544913,0.3637770897832817,0.1328173374613003,0.42119530995014515,0.12296198634496296,0.16356385464121512,0.3024926151118687,0.13626632545443965
8,0.8,0.9245845319930696,0.12746957083701926,712137,3708,646,0.2614832537827367,0.32816167723707623,0.35758513931888547,0.1323013415892673,0.4172484150080405,0.10961215432912216,0.16100303717668527,0.29923312987360223,0.12813197724743267
8,0.9,0.9207281959815661,0.12195072111152559,712137,3708,646,0.2566118175038913,0.32435986865750605,0.3560371517027864,0.12992776057791536,0.4075826119085919,0.0959499061167739,0.15162374520312016,0.29361981659212316,0.11953165276696368
8,1.0,0.9160030702070814,0.11451281189668289,712137,3708,646,0.24817946075966307,0.31705102753526826,0.34829721362229105,0.12528379772961815,0.3916274452657118,0.08969782583980501,0.12491067022588223,0.28473572925925805,0.09943491895711862
9,0.0,0.9138618414374537,0.08432329911240254,712128,3699,642,0.18692849950230198,0.23817666269064808,0.18691588785046728,0.10643821391484942,0.40516790507641925,0.10706832856446005,0.14944695375053071,0.21219187811164675,0.12708687981601363
9,0.1,0.9217373607665315,0.09130540894944272,712128,3699,642,0.21149965310967397,0.26201443525407947,0.21651090342679127,0.11349948078920043,0.41476198906527606,0.11923252756344592,0.15304058924241967,0.23786606364653168,0.1283042593325108
9,0.2,0.9264760906366416,0.09889116355841071,712128,3699,642,0.22732715482006263,0.2845314694532223,0.24610591900311526,0.11796469366562823,0.42658187736404274,0.12501593945147724,0.15825498055204737,0.25532821439165393,0.129726106035369
9,0.3,0.9286531270795352,0.10692002772137996,712128,3699,642,0.24281780340505665,0.3056441158424354,0.2881619937694704,0.12149532710280374,0.4356957156674917,0.12468209993934645,0.16299132755197138,0.27212129762659343,0.12926731522026663
9,0.4,0.9290148453175604,0.11424673033846805,712128,3699,642,0.25025520748227104,0.3140809653872989,0.3146417445482866,0.12440290758047766,0.442247081130743,0.13517761352729415,0.16754000080086567,0.2809447756354289,0.1317758154244267
9,0.5,0.9280793254676847,0.11954025188316542,712128,3699,642,0.25505249700180793,0.3171241327916105,0.3302180685358255,0.12502596053997922,0.43326083623608264,0.13911101740059317,0.16400168269572984,0.28711377833920104,0.13099264596485027
9,0.6,0.9260631164997475,0.12198123306150481,712128,3699,642,0.25718189190752905,0.3217728060275248,0.338006230529595,0.12647975077881618,0.42951339882902406,0.13692497635156511,0.16253062373334165,0.28956837611152186,0.12843899209436024
9,0.7,0.9230332143746562,0.12107607526546091,712128,3699,642,0.25501567795648344,0.3183510635059287,0.32866043613707163,0.12710280373831775,0.4246702615085449,0.1313058572630166,0.16024657077181892,0.28871504428988265,0.12509359893623476
9,0.8,0.9190072719727722,0.11779634638717308,712128,3699,642,0.2500248806838196,0.3144511689143387,0.32710280373831774,0.12637590861889927,0.41458373894455874,0.11281966479022171,0.15710428559713757,0.28385009653421456,0.12061762721423777
