scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,CAFNet-D,0,0.808711320790324,0.2579729126742965,74550,2889,75,0.3737752900817934,0.5600971049636666,0.6133333333333333,0.4719999999999998,0.2909889501949112,0.480750373205921,1.219284948814893,0.8512609503433423,0.3955446008358687,0.8303911388023537,2889.0
cold,CAFNet-D,1,0.8425981102435907,0.317272751461874,74550,3457,75,0.4166340175509713,0.6520390278213037,0.7866666666666666,0.5439999999999999,0.2667662653070634,0.4844568560682987,1.1035549425614382,0.7715561950968841,0.3806761665168577,0.8602834827885449,3457.0
cold,CAFNet-D,2,0.8355118636198426,0.3701180331185033,74550,4941,75,0.4431818282658178,0.6820888579755376,0.7066666666666667,0.6106666666666666,0.2415106706055471,0.389792335352735,1.3235482868031578,0.9398865495657444,0.3008680889271425,0.8018619712608783,4941.0
cold,CAFNet-D,3,0.8237791322716,0.2694961714346024,74550,3098,75,0.3880247590729564,0.5935057156764045,0.7333333333333333,0.4773333333333333,0.2903682734581433,0.4738841053816889,1.142325900937353,0.7883232159334432,0.360431455058412,0.8544222078760491,3098.0
cold,CAFNet-D,4,0.8267685863637431,0.297080025328008,74550,2835,75,0.3998929538652683,0.6416524447113631,0.7733333333333333,0.5262222222222223,0.284530582069736,0.4148867299042298,1.11245639084792,0.7805998026799063,0.3500287708588727,0.8663139329805997,2835.0
cold,CAFNet-D,5,0.761126294783949,0.2902406149409133,74550,4453,75,0.4052611846167645,0.6229614982359685,0.68,0.5448888888888888,0.2512742632217282,0.4906557453401834,1.3025032199366964,0.9404230483751364,0.392265346718963,0.7920503031664047,4453.0
cold,CAFNet-D,6,0.824186372305227,0.3243744464728987,74550,4083,75,0.4193186349037056,0.6523396251326616,0.7466666666666667,0.5537777777777777,0.2725934370226646,0.4858371896057777,1.0804438265869754,0.7936779757851687,0.4225971058325782,0.8670095518001469,4083.0
cold,CAFNet-D,7,0.8359814166505077,0.2998414929817274,74550,4023,75,0.3878673078206873,0.5771533618668133,0.6,0.496888888888889,0.2578197898439077,0.5004979781892882,1.0151418431492354,0.7322863627807613,0.4339933425191576,0.8814317673378076,4023.0
cold,CAFNet-D,8,0.8104040343445693,0.2710436801130869,74550,3088,75,0.3780579690100461,0.5936834555532928,0.7066666666666667,0.4897777777777778,0.2727249312219662,0.478971068462813,1.1706986571528686,0.8351107169077804,0.3877940849103087,0.8296632124352331,3088.0
cold,CAFNet-D,9,0.8065435238375774,0.297440677298571,74550,4204,75,0.4375994033916972,0.6560641047333763,0.72,0.5519999999999999,0.3122551996500212,0.4402396150186391,1.1801352542390495,0.861257009853305,0.3505125623494589,0.8280209324452902,4204.0
cold,CAFNet-DG,0,0.8171199187142374,0.2684727351148406,74550,2889,75,0.3879876076082569,0.5670846011517168,0.5866666666666667,0.4782222222222222,0.2846557299212299,,,,,,
cold,CAFNet-DG,1,0.8483615196888066,0.3203900034331148,74550,3457,75,0.421927280596076,0.6563849992224501,0.8,0.5431111111111111,0.2661649509090483,,,,,,
cold,CAFNet-DG,2,0.8427531004135513,0.382143629860086,74550,4941,75,0.4490917630876966,0.6856261023137348,0.7066666666666667,0.6088888888888889,0.2405588979326468,,,,,,
cold,CAFNet-DG,3,0.8299963444785463,0.2718748453280001,74550,3098,75,0.3872200714644007,0.5833857567117843,0.68,0.4666666666666667,0.2775110599118208,,,,,,
cold,CAFNet-DG,4,0.8421866832520113,0.3222238131707153,74550,2835,75,0.4258681650087388,0.6493087112524745,0.7866666666666666,0.5306666666666667,0.2929372700317891,,,,,,
cold,CAFNet-DG,5,0.7754873911673408,0.2930800604469537,74550,4453,75,0.410927125445096,0.632288072300176,0.68,0.5582222222222222,0.2537322599487071,,,,,,
cold,CAFNet-DG,6,0.8259435500874418,0.3199962531734691,74550,4083,75,0.4258002299963297,0.6562655997270409,0.76,0.5457777777777777,0.2721870073890849,,,,,,
cold,CAFNet-DG,7,0.8382017730856288,0.2935085805641702,74550,4023,75,0.3912354186834311,0.5756805194509679,0.6533333333333333,0.496888888888889,0.2577267890919354,,,,,,
cold,CAFNet-DG,8,0.8215436551989006,0.2805026254846671,74550,3088,75,0.3848911129684517,0.5882606950542502,0.72,0.4915555555555556,0.2765775196479154,,,,,,
cold,CAFNet-DG,9,0.8157384849517633,0.3141303830907892,74550,4204,75,0.4485883380077778,0.6680202778859203,0.76,0.544888888888889,0.3051641730690689,,,,,,
cold,DSGAT,0,0.8190828018283405,0.2505325399995743,74550,2889,75,0.365457932410112,0.5444773170167176,0.56,0.4444444444444445,0.2659265707942455,0.4382264155177738,1.5850721869132978,1.370319041889322,0.1846517316519361,0.6188992731048806,2889.0
cold,DSGAT,1,0.8421682524726796,0.2766934247386441,74550,3457,75,0.3947572987721465,0.6065292835295558,0.7333333333333333,0.4986666666666667,0.2449242250644789,0.4326058034421046,1.3940162752213887,1.1247902935145044,0.2695685567496946,0.7263523286086202,3457.0
cold,DSGAT,2,0.8257554370929494,0.3234616892282611,74550,4941,75,0.4254862242769257,0.6456860136753407,0.7066666666666667,0.5875555555555557,0.2262184181372526,0.4242862457373168,1.3449382032980612,1.064819635625456,0.2777130774824653,0.7364905889496054,4941.0
cold,DSGAT,3,0.8277967025008179,0.246392167005165,74550,3098,75,0.3845370141863473,0.5926060386277953,0.72,0.4666666666666667,0.2731382611825728,0.4289448407752575,1.3512754018077655,1.0448214293218876,0.2851074164762824,0.7420916720464816,3098.0
cold,DSGAT,4,0.8512497428521505,0.30687373243279,74550,2835,75,0.4044152290526331,0.6194213142650449,0.7333333333333333,0.5084444444444444,0.2741879250654778,0.2849334688514134,1.510945352685262,1.229420854301049,0.1888688881105781,0.6589065255731923,2835.0
cold,DSGAT,5,0.7893951953736329,0.2609894267528485,74550,4453,75,0.3814558664702779,0.5960303237620208,0.6266666666666667,0.5146666666666668,0.2350254041173481,0.491582457295601,1.487570091125415,1.261370870428837,0.2568834464551282,0.641589939366719,4453.0
cold,DSGAT,6,0.8218792647954214,0.2863500301499776,74550,4083,75,0.4020502701830045,0.6278656067247663,0.76,0.5031111111111112,0.2461220976413872,0.4853554049609732,1.27476877361252,1.0162055351455044,0.3088827322565647,0.7673279451383787,4083.0
cold,DSGAT,7,0.7908876407239117,0.2253089457866499,74550,4023,75,0.3608694441634123,0.552812730796235,0.6133333333333333,0.4364444444444444,0.2132551565694505,0.5134623008670663,1.3157704314500764,1.0721933255141094,0.321591932389187,0.7474521501367138,4023.0
cold,DSGAT,8,0.8222643065998481,0.2210389939867418,74550,3088,75,0.3472836390818439,0.5275473735296731,0.6666666666666666,0.4426666666666666,0.2407594644232151,0.4260459415510695,1.4021162171998531,1.1059212214144554,0.2860529145364024,0.7224740932642487,3088.0
cold,DSGAT,9,0.8297173065832572,0.290697575464383,74550,4204,75,0.4246132299189578,0.6495044358157859,0.7066666666666667,0.5262222222222223,0.3067946763150726,0.4522673993322731,1.3841648636868202,1.1433931115720524,0.2463615834478585,0.7019505233111323,4204.0
cold,Global popularity,0,0.836796173248097,0.2677206868557476,74550,2889,75,0.3788596088783676,0.5624237754268115,0.6666666666666666,0.4595555555555556,0.2820814238585809,0.4843918177353036,0.7714580067976377,0.5693296834893522,0.4291596556627769,0.9487712011076496,2889.0
cold,Global popularity,1,0.845792024422202,0.3155695922294104,74550,3457,75,0.4192476904173541,0.6466288636682674,0.7333333333333333,0.5368888888888889,0.2663043480829696,0.4759353169704059,0.8692254715245931,0.6346116243223942,0.3689008325395916,0.910616141162858,3457.0
