scenario,model,metric,mean,std,n
warm,A3Net,Within1,0.8323219736638346,0.010792960186048832,10
warm,CAFNet,mAP,0.20719204974043648,0.014367319578670544,10
warm,CAFNet,AUROC,0.9129177294214459,0.002863047060514594,10
warm,CAFNet,AUPR,0.08827330108878641,0.00581562966789283,10
warm,CAFNet,nDCG@10,0.2613065729709107,0.01797941199222588,10
warm,CAFNet,P@1,0.22003499536443755,0.023004217352760786,10
warm,CAFNet,P@15,0.11514108676083981,0.005491888491550664,10
warm,CAFNet,R@15,0.40792217203849435,0.010225838016765335,10
warm,CAFNet,Spearman,0.5247339043714259,0.02024659722759887,10
warm,CAFNet,RMSE,1.2200351485995389,0.026912536023891584,10
warm,CAFNet,MAE,0.8913457077757002,0.02662030443806617,10
warm,CAFNet,QWK,0.42637302983785885,0.02362154528804528,10
warm,CAFNet,Within1,0.8219862623590213,0.009073873171952561,10
warm,CAFNet-D,mAP,0.23566956074935913,0.007084165836378378,10
warm,CAFNet-D,AUROC,0.9087937697156908,0.003643978680628691,10
warm,CAFNet-D,AUPR,0.11018769530293344,0.005561488082985038,10
warm,CAFNet-D,nDCG@10,0.3030855044413766,0.00870634356925529,10
warm,CAFNet-D,P@1,0.3294165464979443,0.01791569827040304,10
warm,CAFNet-D,P@15,0.12337500644403412,0.001745342521805012,10
warm,CAFNet-D,R@15,0.38634028319062075,0.008787848402628336,10
warm,CAFNet-D,Spearman,0.7054595054567377,0.009800412408275684,10
warm,CAFNet-D,RMSE,0.7095517893895573,0.02132266013358694,10
warm,CAFNet-D,MAE,0.5056245057305253,0.011125348455351432,10
warm,CAFNet-D,QWK,0.6396496141406075,0.021228283096901043,10
warm,CAFNet-D,Within1,0.956302018126127,0.005386863916410796,10
warm,CAFNet-DG,mAP,0.25786930681465714,0.007367393274451941,10
warm,CAFNet-DG,AUROC,0.9255320701422034,0.0025506249033531454,10
warm,CAFNet-DG,AUPR,0.12617617859463476,0.004923323595195614,10
warm,CAFNet-DG,nDCG@10,0.3251420672122662,0.009375130584359086,10
warm,CAFNet-DG,P@1,0.3434903178646866,0.018212663843028883,10
warm,CAFNet-DG,P@15,0.1314333934014958,0.002548938184751326,10
warm,CAFNet-DG,R@15,0.42940959838564946,0.010038411002395766,10
warm,CAFNet-DG,Spearman,,,0
warm,CAFNet-DG,RMSE,,,0
warm,CAFNet-DG,MAE,,,0
warm,CAFNet-DG,QWK,,,0
warm,CAFNet-DG,Within1,,,0
warm,DSGAT,mAP,0.18117702153105858,0.018105655886831735,10
