grouping,group,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
repeat_group,singleton_scaffold_group,delta_DG_minus_D_AP,504,0.007200202494863065,0.005375249557671951,0.03935981293074494,0.6071428571428571,2.4813804209080195e-06,4.962760841816039e-06
repeat_group,singleton_scaffold_group,delta_DG_minus_D_rare_AP,285,0.018898515380242013,0.0002326354270521,0.11663445868362027,0.5719298245614035,0.0004354767704672498,0.000627081996207376
repeat_group,singleton_scaffold_group,delta_DG_minus_D_middle_AP,354,0.021087612154765,0.00088211615111935,0.11495791467692335,0.5988700564971752,6.682040926658594e-06,1.3364081853317187e-05
repeat_group,singleton_scaffold_group,delta_DG_minus_D_nonhot100_AP,477,0.011621408676352604,0.001767907199913,0.09530570361182332,0.6415094339622641,4.2198735654877036e-08,8.439747130975407e-08
scaffold_size_bin,shared_2,delta_DG_minus_D_AP,84,0.005282809093126044,0.00158896357028845,0.03717664242395202,0.5357142857142857,0.4169755890970559,0.4169755890970559
scaffold_size_bin,shared_2,delta_DG_minus_D_rare_AP,56,0.01166447782429665,0.00166621387095165,0.04317189396988914,0.6071428571428571,0.0024045447575229526,0.007213634272568858
scaffold_size_bin,shared_2,delta_DG_minus_D_middle_AP,66,0.03966183020039945,0.0020186614676399,0.1631760802748662,0.6515151515151515,0.013073178661634106,0.026146357323268213
scaffold_size_bin,shared_2,delta_DG_minus_D_nonhot100_AP,81,0.014390064884042783,0.0061471295704556,0.05693316163060779,0.654320987654321,0.0035366497437998574,0.010609949231399572
scaffold_size_bin,shared_3_4,delta_DG_minus_D_AP,73,0.015396696308809485,0.0069876412949452,0.04567258801668138,0.589041095890411,0.013676341873102266,0.02735268374620453
scaffold_size_bin,shared_3_4,delta_DG_minus_D_rare_AP,43,0.009842206434050909,0.0008680932297934,0.05443265948746008,0.5348837209302325,0.15185114917267128,0.17372245609963435
scaffold_size_bin,shared_3_4,delta_DG_minus_D_middle_AP,56,0.02897566971607204,0.0051511736693787506,0.10731566895872108,0.625,0.0023454972250801865,0.007036491675240559
scaffold_size_bin,shared_3_4,delta_DG_minus_D_nonhot100_AP,71,-0.0008825579878800211,0.0032233922658652,0.07556873942407687,0.6338028169014085,0.08880013434538032,0.17760026869076065
scaffold_size_bin,shared_5plus,delta_DG_minus_D_AP,89,0.01233331988443103,0.0084042317786082,0.03649140942984049,0.5842696629213483,0.0023831135708610065,0.007149340712583019
scaffold_size_bin,shared_5plus,delta_DG_minus_D_rare_AP,58,0.002248230210070113,0.0002982175402786,0.027633118389766665,0.5862068965517241,0.08686122804981718,0.17372245609963435
scaffold_size_bin,shared_5plus,delta_DG_minus_D_middle_AP,69,-0.0014275157939548308,0.0013241525423728,0.13751836809372972,0.6086956521739131,0.1563069928766974,0.1563069928766974
scaffold_size_bin,shared_5plus,delta_DG_minus_D_nonhot100_AP,85,0.004919815010502679,0.0066607174396872,0.08066334774455575,0.6352941176470588,0.09118693091269807,0.17760026869076065
scaffold_size_bin,singleton,delta_DG_minus_D_AP,504,0.007200202494863065,0.005375249557671951,0.03935981293074494,0.6071428571428571,2.4813804209080195e-06,9.925521683632078e-06
scaffold_size_bin,singleton,delta_DG_minus_D_rare_AP,285,0.018898515380242013,0.0002326354270521,0.11663445868362027,0.5719298245614035,0.0004354767704672498,0.0017419070818689992
scaffold_size_bin,singleton,delta_DG_minus_D_middle_AP,354,0.021087612154765,0.00088211615111935,0.11495791467692335,0.5988700564971752,6.682040926658594e-06,2.6728163706634375e-05
scaffold_size_bin,singleton,delta_DG_minus_D_nonhot100_AP,477,0.011621408676352604,0.001767907199913,0.09530570361182332,0.6415094339622641,4.2198735654877036e-08,1.6879494261950814e-07
scaffold_fold,0,delta_DG_minus_D_AP,75,0.01090652694920367,0.0087325363258317,0.030645936624819157,0.68,0.001708895612634473,0.015380060513710258
scaffold_fold,0,delta_DG_minus_D_rare_AP,50,0.00474335075712162,0.00021347440407515,0.017897305164860097,0.58,0.11361616965439936,0.6816970179263961
scaffold_fold,0,delta_DG_minus_D_middle_AP,55,0.006551697014131857,0.0016168278929029,0.0881735283787851,0.6,0.1866671606991127,0.6721304615471557
scaffold_fold,0,delta_DG_minus_D_nonhot100_AP,72,0.019008049029762553,0.006893932370995301,0.13425414342918587,0.6527777777777778,0.09897609797686681,0.39590439190746723
scaffold_fold,1,delta_DG_minus_D_AP,75,0.005828393707313389,0.0059474263460311,0.042021907630860625,0.5733333333333334,0.07259169353366889,0.4355501612020133
