atc_l1,atc_l1_name,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_rare_AP,96,0.025405639488037896,0.00093439459115055,0.1558997093502857,0.6458333333333334,0.00027122890554810643,0.0035259757721253834
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_middle_AP,111,0.027876495386731717,0.0017566312406051,0.11587476796963955,0.6036036036036037,0.010730356316678569,0.10730356316678569
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_nonhot100_AP,123,0.016650965325453453,0.0048976067272156,0.05740173930503814,0.6341463414634146,0.002475611120860772,0.03218294457119003
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_AUROC,125,0.00701358958636231,0.0043421623968737,0.016382514753444575,0.664,6.181603713573101e-06,8.654245199002342e-05
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_nDCG@10,125,0.007832796861721844,0.0,0.06717069890300524,0.36,0.21178288647180676,1.0
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_P@15,125,0.0016000000000000018,0.0,0.06954228233426094,0.184,0.9554326987027508,1.0
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_R@15,125,0.003427412427535616,0.0,0.041204265268196136,0.184,0.37829825244853765,1.0
M,Musculo-skeletal system,delta_DG_minus_D_AP,30,-0.004390247139789877,-0.00300460220945765,0.03632964389478426,0.4,0.4161298982799053,1.0
M,Musculo-skeletal system,delta_DG_minus_D_rare_AP,18,0.0011138877242398329,-0.00010739083293878145,0.03080862281463953,0.4444444444444444,0.44229888916015625,1.0
M,Musculo-skeletal system,delta_DG_minus_D_middle_AP,17,-0.0037554337218478505,-0.0002712285994019,0.056931593366124654,0.47058823529411764,0.926513671875,1.0
M,Musculo-skeletal system,delta_DG_minus_D_nonhot100_AP,29,-0.00942613435443079,0.0008919810900008,0.033773535751588805,0.5862068965517241,0.7982758991420269,1.0
M,Musculo-skeletal system,delta_DG_minus_D_AUROC,30,0.00046323264071510944,-0.00050493438614625,0.010401495376972904,0.43333333333333335,0.9515264742076397,1.0
M,Musculo-skeletal system,delta_DG_minus_D_nDCG@10,30,-0.006653876527147845,0.0,0.07753686789427962,0.3,0.785365104675293,1.0
M,Musculo-skeletal system,delta_DG_minus_D_P@15,30,-0.01555555555555555,0.0,0.08152442848211745,0.23333333333333334,0.528167724609375,1.0
M,Musculo-skeletal system,delta_DG_minus_D_R@15,30,-0.004066710530157577,0.0,0.06187692505513866,0.23333333333333334,0.743560791015625,1.0
N,Nervous system,delta_DG_minus_D_AP,143,0.004696324027420747,0.0051902372908827,0.03269767560527618,0.5944055944055944,0.05205960829828851,0.4685364746845966
N,Nervous system,delta_DG_minus_D_rare_AP,100,0.0012253979678732753,0.00025896926790645,0.01762805019563571,0.56,0.2202876064085375,1.0
N,Nervous system,delta_DG_minus_D_middle_AP,121,0.016360649030247053,0.0041999904871509,0.07426168955436425,0.628099173553719,0.00016158018478226383,0.0021005424021694297
N,Nervous system,delta_DG_minus_D_nonhot100_AP,139,0.0007538275702205677,0.0033969156703844,0.06403387568490579,0.6330935251798561,0.07324293671620535,0.5859434937296428
N,Nervous system,delta_DG_minus_D_AUROC,143,0.0038666153728426616,0.0024404832069432,0.013372607927463235,0.6293706293706294,0.0001853628577289078,0.0018536285772890778
N,Nervous system,delta_DG_minus_D_nDCG@10,143,0.001869252847496286,0.0,0.05935161223110264,0.35664335664335667,0.9449077583919494,1.0
N,Nervous system,delta_DG_minus_D_P@15,143,-0.0009324009324009307,0.0,0.056494360506846655,0.22377622377622378,0.939300287009505,1.0
N,Nervous system,delta_DG_minus_D_R@15,143,0.0007689327833028765,0.0,0.02964325381345752,0.22377622377622378,0.941436396553294,1.0
P,Antiparasitic products,delta_DG_minus_D_AP,10,0.009830485148341601,-0.0002925359243785494,0.058746915115162474,0.5,1.0,1.0
P,Antiparasitic products,delta_DG_minus_D_rare_AP,3,-0.0009715872958183334,-0.0012157258818688,0.002428106760516382,0.3333333333333333,,
P,Antiparasitic products,delta_DG_minus_D_middle_AP,5,-0.000666998039661979,0.0002075996367658,0.0023294067980378363,0.8,0.625,
P,Antiparasitic products,delta_DG_minus_D_nonhot100_AP,8,0.00281442194130595,-0.00048127482265110003,0.06283060689940648,0.375,1.0,
P,Antiparasitic products,delta_DG_minus_D_AUROC,10,0.00748551647296225,0.00402054755613155,0.01191156406172057,0.9,0.048828125,0.244140625
P,Antiparasitic products,delta_DG_minus_D_nDCG@10,10,-0.0026728785653667188,-0.0045694271604982,0.06472144199767182,0.3,0.84375,1.0
P,Antiparasitic products,delta_DG_minus_D_P@15,10,0.0066666666666666706,0.0,0.10634209879115906,0.2,1.0,1.0
P,Antiparasitic products,delta_DG_minus_D_R@15,10,0.018087882266986748,0.0,0.09188504333864299,0.2,0.8125,1.0
R,Respiratory system,delta_DG_minus_D_AP,45,0.01643773553526402,0.0105405662637643,0.03705191314155697,0.6888888888888889,0.002848973117636433,0.03703665052927363
R,Respiratory system,delta_DG_minus_D_rare_AP,23,0.002808776625649367,0.0,0.006431730847126669,0.4782608695652174,0.21616744995117188,1.0
R,Respiratory system,delta_DG_minus_D_middle_AP,22,0.1430075499360863,0.005823521497331,0.29562356365618064,0.7272727272727273,0.02157115936279297,0.19414043426513672
R,Respiratory system,delta_DG_minus_D_nonhot100_AP,40,0.014147539502848139,0.0027599513637174,0.08294991002655977,0.675,0.015876221947110025,0.15876221947110025
R,Respiratory system,delta_DG_minus_D_AUROC,45,0.0059023691844264595,0.0044424019607842,0.0229254358194966,0.6888888888888889,0.0036142584670528777,0.021685550802317266
R,Respiratory system,delta_DG_minus_D_nDCG@10,45,0.0117363692411506,0.0,0.06868551068384345,0.4666666666666667,0.3964651001515449,1.0
R,Respiratory system,delta_DG_minus_D_P@15,45,0.013333333333333332,0.0,0.07049607769015923,0.3111111111111111,0.17933368682861328,1.0
R,Respiratory system,delta_DG_minus_D_R@15,45,0.011166170852744973,0.0,0.0936631783071776,0.3111111111111111,0.6010458469390869,1.0
S,Sensory organs,delta_DG_minus_D_AP,50,0.0027579722082627417,0.0007715113309571,0.028060971403510347,0.52,0.5398998476772991,1.0
S,Sensory organs,delta_DG_minus_D_rare_AP,38,0.011544434212860203,0.0005785661611024001,0.044484615126646004,0.631578947368421,0.04422121457173489,0.5306545748608187
S,Sensory organs,delta_DG_minus_D_middle_AP,39,0.05563099375834605,0.0026677210061649,0.20014297242497175,0.7435897435897436,0.002242355956695974,0.026908271480351686
S,Sensory organs,delta_DG_minus_D_nonhot100_AP,50,-0.0025115064039995553,0.001404125773568,0.06223862617785432,0.64,0.07719592312590784,0.5859434937296428
S,Sensory organs,delta_DG_minus_D_AUROC,50,0.0066583112638081724,0.00523531647918765,0.021449114154727042,0.76,6.206318512269604e-05,0.0008068214065950485
S,Sensory organs,delta_DG_minus_D_nDCG@10,50,-0.011447850719412473,0.0,0.06292320428028997,0.3,0.2363829233654542,1.0
S,Sensory organs,delta_DG_minus_D_P@15,50,-0.003999999999999991,0.0,0.08561899465012397,0.22,0.8739878535270691,1.0
S,Sensory organs,delta_DG_minus_D_R@15,50,-0.00747804923619811,0.0,0.04919521161274179,0.22,0.2996123433113098,1.0
Unmapped,Unmapped,delta_DG_minus_D_AP,6,-0.023053352632317253,-0.02227691750890705,0.014621322507806593,0.0,0.03125,
Unmapped,Unmapped,delta_DG_minus_D_rare_AP,6,0.009256846297273167,0.00371912609530945,0.013165713945872893,0.8333333333333334,0.0625,
Unmapped,Unmapped,delta_DG_minus_D_middle_AP,4,-6.271255326409971e-05,0.0003900056423866501,0.005865349048658771,0.5,,
Unmapped,Unmapped,delta_DG_minus_D_nonhot100_AP,6,-0.005306255330956167,0.0019682860990273996,0.02060993659849125,0.5,0.84375,
Unmapped,Unmapped,delta_DG_minus_D_AUROC,6,-0.0028369276280705517,-0.0017462947208167555,0.006790486134114515,0.3333333333333333,0.5625,
Unmapped,Unmapped,delta_DG_minus_D_nDCG@10,6,-0.003587054907111533,0.0,0.0062424026546220755,0.0,,
Unmapped,Unmapped,delta_DG_minus_D_P@15,6,-0.03333333333333333,-0.0333333333333333,0.06992058987801009,0.16666666666666666,,
Unmapped,Unmapped,delta_DG_minus_D_R@15,6,-0.012694731370084386,-0.0094339622641509,0.020260608554706495,0.16666666666666666,,
V,Various,delta_DG_minus_D_AP,32,0.009039742942892691,0.00830858918557275,0.0427352692574874,0.59375,0.5119121475145221,1.0
V,Various,delta_DG_minus_D_rare_AP,12,-0.003164100060896732,-0.00015957625115298792,0.023110030170928723,0.4166666666666667,0.6220703125,1.0
V,Various,delta_DG_minus_D_middle_AP,18,0.007895864468328916,3.086226239999999e-05,0.0375937342131557,0.5,0.7660293579101562,1.0
V,Various,delta_DG_minus_D_nonhot100_AP,32,0.02402351553928763,-3.183091418385001e-05,0.2047580078982676,0.5,0.7328818910755217,1.0
V,Various,delta_DG_minus_D_AUROC,32,0.0005471869839688378,0.00166153457964835,0.010990367597756246,0.5625,0.637883335351944,1.0
V,Various,delta_DG_minus_D_nDCG@10,32,0.003874384294563108,0.0024478686221761,0.05841625499657687,0.5,0.8078304156661034,1.0
V,Various,delta_DG_minus_D_P@15,32,0.008333333333333325,0.0,0.06720215050322466,0.375,0.231201171875,1.0
V,Various,delta_DG_minus_D_R@15,32,0.013773178141278706,0.0,0.06447512622884863,0.375,0.14385986328125,1.0
