fold,drug_index,drug_name,positive_count,AP_CAFNet,AP_CAFNet-D,AP_CAFNet-DG,AUROC_CAFNet,AUROC_CAFNet-D,AUROC_CAFNet-DG,P@15_CAFNet,P@15_CAFNet-D,P@15_CAFNet-DG,R@15_CAFNet,R@15_CAFNet-D,R@15_CAFNet-DG,frequent_AP_CAFNet,frequent_AP_CAFNet-D,frequent_AP_CAFNet-DG,middle_AP_CAFNet,middle_AP_CAFNet-D,middle_AP_CAFNet-DG,nDCG@10_CAFNet,nDCG@10_CAFNet-D,nDCG@10_CAFNet-DG,nonhot100_AP_CAFNet,nonhot100_AP_CAFNet-D,nonhot100_AP_CAFNet-DG,rare_AP_CAFNet,rare_AP_CAFNet-D,rare_AP_CAFNet-DG,top15_hot_fraction_CAFNet,top15_hot_fraction_CAFNet-D,top15_hot_fraction_CAFNet-DG,delta_DG_minus_D_AP,delta_DG_minus_CAFNet_AP,delta_DG_minus_D_AUROC,delta_DG_minus_CAFNet_AUROC,delta_DG_minus_D_nDCG@10,delta_DG_minus_CAFNet_nDCG@10,delta_DG_minus_D_P@15,delta_DG_minus_CAFNet_P@15,delta_DG_minus_D_R@15,delta_DG_minus_CAFNet_R@15,delta_DG_minus_D_rare_AP,delta_DG_minus_CAFNet_rare_AP,delta_DG_minus_D_middle_AP,delta_DG_minus_CAFNet_middle_AP,delta_DG_minus_D_frequent_AP,delta_DG_minus_CAFNet_frequent_AP,delta_DG_minus_D_nonhot100_AP,delta_DG_minus_CAFNet_nonhot100_AP,delta_DG_minus_D_hot_fraction,sider_name,atc_l1,atc_codes,atc_l1_group,atc_l1_name
0,92,cefprozil,17,0.5733043529527974,0.5853817499474515,0.598592905945058,0.9294358480341984,0.9195014751038592,0.9208862664820278,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6117336469398352,0.6307755526606706,0.6436054579557869,0.0133333333333333,0.003584229390681,0.0036496350364963,0.8263333286520083,0.7948833326720566,0.7975167679274938,0.2804270721990088,0.1189415966751383,0.3024970001714188,,,,0.9333333333333332,1.0,0.9333333333333332,0.0132111559976064,0.0252885529922606,0.0013847913781684,-0.0085495815521705,0.0026334352554372,-0.0288165607245144,0.0,0.0,0.0,0.0,,,6.540564581534666e-05,-0.0096836982968369,0.0128299052951162,0.0318718110159517,0.1835554034962804,0.0220699279724099,-0.0666666666666666,cefprozil,J,J01DC10,J,Antiinfectives for systemic use
0,94,ceftriaxone,22,0.3436723081783727,0.316248880894208,0.3526972510550485,0.8496071829405162,0.905162738496072,0.9079218106995884,0.5333333333333333,0.4,0.5333333333333333,0.3636363636363636,0.2727272727272727,0.3636363636363636,0.4258273740335625,0.3739125587369852,0.4200732048040878,0.0107054494010275,0.0440874914559125,0.0262580467399744,0.5684579545875155,0.4705561169627618,0.6156886473955917,0.0815805737586875,0.0785916690171493,0.0890550317769268,0.0042735042735042,0.0333333333333333,0.0277777777777777,1.0,1.0,1.0,0.0364483701608404,0.0090249428766758,0.0027590722035166,0.0583146277590723,0.1451325304328299,0.0472306928080762,0.1333333333333333,0.0,0.0909090909090909,0.0,-0.0055555555555555,0.0235042735042735,-0.017829444715938,0.0155525973389469,0.0461606460671025,-0.0057541692294747,0.0104633627597774,0.0074744580182392,0.0,ceftriaxone,J,J01DD04|J01DD54,J,Antiinfectives for systemic use
0,98,cetirizine,17,0.2491696848893463,0.3116816551373033,0.3045172275490423,0.9325666807152748,0.9361791799626707,0.9384670961526882,0.4,0.3333333333333333,0.4,0.3529411764705882,0.2941176470588235,0.3529411764705882,0.2516980818291321,0.31519700767025,0.3060545790863939,,,,0.2940945979596687,0.4256628105513781,0.4138836150091172,0.002053388090349,0.0021097046413502,0.002061855670103,,,,1.0,1.0,1.0,-0.0071644275882609,0.055347542659696,0.0022879161900174,0.0059004154374133,-0.0117791955422608,0.1197890170494485,0.0666666666666667,0.0,0.0588235294117647,0.0,,,,,-0.0091424285838561,0.0543564972572617,-4.784897124711796e-05,8.467579754016779e-06,0.0,cetirizine,R|S,R06AE07|S01GX12,R,Respiratory system
0,98,cetirizine,17,0.2491696848893463,0.3116816551373033,0.3045172275490423,0.9325666807152748,0.9361791799626707,0.9384670961526882,0.4,0.3333333333333333,0.4,0.3529411764705882,0.2941176470588235,0.3529411764705882,0.2516980818291321,0.31519700767025,0.3060545790863939,,,,0.2940945979596687,0.4256628105513781,0.4138836150091172,0.002053388090349,0.0021097046413502,0.002061855670103,,,,1.0,1.0,1.0,-0.0071644275882609,0.055347542659696,0.0022879161900174,0.0059004154374133,-0.0117791955422608,0.1197890170494485,0.0666666666666667,0.0,0.0588235294117647,0.0,,,,,-0.0091424285838561,0.0543564972572617,-4.784897124711796e-05,8.467579754016779e-06,0.0,cetirizine,R|S,R06AE07|S01GX12,S,Sensory organs
0,112,clobetasol,10,0.0560326292309389,0.1913253768691075,0.1048752690561307,0.8555894308943089,0.939939024390244,0.924390243902439,0.0,0.2666666666666666,0.0666666666666666,0.0,0.4,0.1,0.0253623188405797,0.0286718460969293,0.0268101092896174,0.2023809523809523,0.5333333333333333,0.4206349206349207,0.0,0.0636207881989516,0.0,0.0916875833428953,0.5300733308787432,0.2963963571258463,0.1432412307748948,0.6285714285714286,0.4635374149659863,0.4,0.5333333333333333,0.7333333333333333,-0.0864501078129768,0.0488426398251917,-0.0155487804878049,0.06880081300813,-0.0636207881989516,0.0,-0.2,0.0666666666666666,-0.3,0.1,-0.1650340136054422,0.3202961841910914,-0.1126984126984126,0.2182539682539683,-0.0018617368073118,0.0014477904490377,-0.2336769737528969,0.2047087737829509,0.1999999999999999,clobetasol,D,D07AD01,D,Dermatologicals
0,122,cyclobenzaprine,17,0.4079082207606607,0.5406436697538105,0.564452810658964,0.9537600096333312,0.96393521584683,0.9667047986031668,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4275529547396224,0.5661146350160505,0.5908747434793562,0.1111111111111111,0.1111111111111111,0.2,0.5231737964779628,0.6110191504983019,0.7116179486056783,0.0291772993958428,0.035593746270438,0.0394171623697074,,,,1.0,1.0,1.0,0.0238091409051535,0.1565445898983033,0.0027695827563368,0.0129447889698356,0.1005987981073763,0.1884441521277154,0.0,0.0,0.0,0.0,,,0.0888888888888889,0.0888888888888889,0.0247601084633056,0.1633217887397338,0.0038234160992694,0.0102398629738645,0.0,cyclobenzaprine,M,M03BX08,M,Musculo-skeletal system
0,135,dicloxacillin,31,0.3488743540002287,0.3408093781018919,0.3489724506466489,0.8105718018289619,0.83747027099454,0.8401500686698153,0.6,0.4666666666666667,0.5333333333333333,0.2903225806451613,0.2258064516129032,0.2580645161290322,0.4791853532831666,0.452704882299691,0.4634662124742017,0.0362481194928003,0.0498176970318643,0.0546791917759659,0.7542686714597936,0.6547216238913564,0.6547216238913564,0.0377026574532465,0.0532267042786114,0.0571500044516888,0.0228002619118516,0.2247930417617667,0.124774150452558,1.0,1.0,1.0,0.008163072544757,9.809664642024264e-05,0.0026797976752753,0.0295782668408534,0.0,-0.0995470475684372,0.0666666666666666,-0.0666666666666666,0.032258064516129,-0.032258064516129,-0.1000188913092086,0.1019738885407064,0.0048614947441015,0.0184310722831656,0.0107613301745106,-0.0157191408089648,0.0039233001730773,0.0194473469984423,0.0,dicloxacillin,J,J01CF01,J,Antiinfectives for systemic use
0,162,finasteride,22,0.1765525612107327,0.2440857933282172,0.2203404651617919,0.906986531986532,0.9385521885521884,0.9372427983539096,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1840631667350757,0.269673948652286,0.2309359883336283,0.1809523809523809,0.3703703703703703,0.3333333333333333,0.2583297509898471,0.3693362536342715,0.3405196929097571,0.120438136494908,0.0826750735613259,0.128675188330761,0.5,0.1666666666666666,1.0,1.0,1.0,1.0,-0.0237453281664253,0.0437879039510591,-0.0013093901982789,0.0302562663673775,-0.0288165607245143,0.08218994191991,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,-0.0370370370370369,0.1523809523809524,-0.0387379603186576,0.0468728215985526,0.0460001147694351,0.008237051835853,0.0,finasteride,D|G,G04CB01|D11AX10,D,Dermatologicals
0,162,finasteride,22,0.1765525612107327,0.2440857933282172,0.2203404651617919,0.906986531986532,0.9385521885521884,0.9372427983539096,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1840631667350757,0.269673948652286,0.2309359883336283,0.1809523809523809,0.3703703703703703,0.3333333333333333,0.2583297509898471,0.3693362536342715,0.3405196929097571,0.120438136494908,0.0826750735613259,0.128675188330761,0.5,0.1666666666666666,1.0,1.0,1.0,1.0,-0.0237453281664253,0.0437879039510591,-0.0013093901982789,0.0302562663673775,-0.0288165607245143,0.08218994191991,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,-0.0370370370370369,0.1523809523809524,-0.0387379603186576,0.0468728215985526,0.0460001147694351,0.008237051835853,0.0,finasteride,D|G,G04CB01|D11AX10,G,Genito-urinary system and sex hormones
0,172,flutamide,12,0.1277103394322457,0.1698744433144004,0.1938567445838562,0.8972335369993211,0.8372369314324507,0.8709266802443991,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.139009696091019,0.1855785544240169,0.2106516949688049,,,,0.0662542234543889,0.3379841448267985,0.3635258198964459,0.1551304711186201,0.0856854143294051,0.317855589809067,0.0112359550561797,0.0059523809523809,0.0069930069930069,0.8666666666666667,1.0,1.0,0.0239823012694557,0.0661464051516105,0.0336897488119484,-0.0263068567549219,0.0255416750696473,0.2972715964420569,0.0,0.1333333333333333,0.0,0.1666666666666666,0.001040626040626,-0.0042429480631727,,,0.0250731405447879,0.0716419988777859,0.2321701754796618,0.1627251186904468,0.0,flutamide,L,L02BB01,L,Antineoplastic and immunomodulating agents
