scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
cold,RF,3,20,0.09084299696725394,,0.2811961266060167,0.02702702702702703,0.11081081081081084,0.10675675675675672,0.0981981981981982,0.0006816200364587461,0.028420809056797298,0.05230361254337513,0.07518608666378566,0.7555615018994353
cold,XGBoost,3,20,0.0690889523736301,,0.10746151839796328,0.0,0.04324324324324326,0.03378378378378379,0.02972972972972973,0.0,0.025220897587810872,0.02893414982794461,0.03636431651158654,0.7322116369458722
cold,Global popularity,3,20,0.18212977670461608,,0.500738189406708,0.33783783783783783,0.2513513513513513,0.24459459459459465,0.236036036036036,0.013019110193335352,0.05787077634539421,0.10687054771468212,0.15111092965770342,0.83153970892802
cold,HSTrans,3,20,0.15087124619493258,,0.44979027193194354,0.22972972972972974,0.19459459459459455,0.1864864864864864,0.1720720720720721,0.015436051662658141,0.052683245976889045,0.09916730833573423,0.1303308267515483,0.7999786367194982
cold,CAFNet,3,50,0.11591012946640507,,0.33938956674997145,0.14864864864864866,0.17027027027027025,0.15675675675675674,0.13693693693693693,0.005454022092740245,0.04020739070358492,0.10580404984822711,0.1284875853483719,0.7636705129800458
cold,A3Net,3,50,0.12617481934667707,,0.40231845358536933,0.1891891891891892,0.14324324324324325,0.1472972972972973,0.14234234234234233,0.016915836267365852,0.05257902801421049,0.1244249174135056,0.14832847940085428,0.7555995665837683
cold,RF,3,50,0.05827081245358859,,0.10121886836255019,0.0,0.032432432432432434,0.035135135135135144,0.03333333333333333,0.0,0.005876480297350213,0.03196459168341235,0.04118324888800305,0.7179749077379132
cold,XGBoost,3,50,0.04864793918318402,,0.05547360170439519,0.0,0.016216216216216217,0.020270270270270275,0.016216216216216217,0.0,0.0015253739643589768,0.01005487743855233,0.017322255110341765,0.6928817408437684
cold,Global popularity,3,50,0.14866421748808975,,0.3728310839022897,0.21621621621621623,0.13513513513513514,0.14729729729729724,0.14414414414414414,0.0370528615867937,0.06301929484422303,0.10189386753782202,0.1371559113760413,0.80099185280387
cold,HSTrans,3,50,0.12303214107373023,,0.3676051240457658,0.16216216216216217,0.14594594594594593,0.12297297297297297,0.12792792792792793,0.022641434457506753,0.061218192097689236,0.10097329378480474,0.12837086944171877,0.7657030000386232
cold,CAFNet,3,100,0.10969276763736929,,0.27825111908537975,0.17142857142857143,0.12000000000000004,0.09285714285714283,0.0895238095238095,0.03134232748839918,0.053397861829846245,0.0736502204024942,0.09675955860260443,0.6988231687768501
cold,A3Net,3,100,0.09047320267195354,,0.29076740479080393,0.11428571428571428,0.08571428571428573,0.09428571428571424,0.08761904761904765,0.013966771121353885,0.04392800243779379,0.08039380847308687,0.11274717889408299,0.6942962884418221
cold,RF,3,100,0.041395394029074536,,0.07330543503762313,0.0,0.017142857142857144,0.02428571428571429,0.02095238095238095,0.0,0.010694943881442737,0.0157053046779231,0.017677338515522095,0.6679180609059068
cold,XGBoost,3,100,0.036175408944514376,,0.0610095012341324,0.0,0.014285714285714285,0.021428571428571432,0.017142857142857144,0.0,0.011173864894795127,0.01564561045998366,0.02354856022339854,0.6415421954879376
cold,Global popularity,3,100,0.08311699700944651,,0.27920220032140364,0.11428571428571428,0.10000000000000003,0.09714285714285709,0.09904761904761904,0.0036421462604046503,0.040812840001825244,0.06651914561548716,0.10096861638723463,0.7541581035767544
cold,HSTrans,3,100,0.06568551317719357,,0.1731145534191265,0.05714285714285714,0.045714285714285714,0.06285714285714285,0.06666666666666665,0.0021437371343022895,0.008197869200992114,0.0387833700819672,0.05586524491767231,0.7166694801760062
cold,CAFNet,4,10,0.23032756285607642,,0.5639345951213139,0.29333333333333333,0.3093333333333333,0.3173333333333334,0.2977777777777775,0.014232138497496048,0.06965558386145888,0.13544275181531876,0.20164042335073826,0.831513023778492
cold,A3Net,4,10,0.21280534120051037,,0.5459652709716694,0.28,0.27199999999999985,0.2800000000000001,0.2755555555555554,0.01578191301142579,0.0587150273841195,0.11536706761949861,0.16185364970572724,0.8349651349813217
cold,RF,4,10,0.10735163154473769,,0.3430560077890098,0.013333333333333334,0.1333333333333333,0.13466666666666657,0.1182222222222222,0.0005555555555555556,0.030173813451222,0.049449453239927096,0.06264412506302972,0.7861544153442
cold,XGBoost,4,10,0.08731729611239845,,0.211640970408018,0.013333333333333334,0.06133333333333335,0.06666666666666667,0.06666666666666671,0.0005555555555555556,0.022958322954603025,0.03465086901926899,0.04988497721062867,0.7652814995156909
cold,Global popularity,4,10,0.24763892546355548,,0.6180530783241093,0.4266666666666667,0.39466666666666655,0.37733333333333335,0.34488888888888863,0.014339403822635969,0.07250605554780008,0.13529775844378275,0.18486779939762263,0.8459737438063056
