ingredient_id,effect_meddra_id,rxnorm_id,rxnorm_name,drug_index,meddra_id,meddra_name,side_index,drug_name_benchmark,side_effect_benchmark,mapping_rule,known_in_sider_matrix
17767,10011224,17767,amlodipine,45,10011224,Cough,215,amlodipine,cough,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10011224,73494,telmisartan,498,10011224,Cough,215,telmisartan,cough,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
19831,10011224,19831,budesonide,73,10011224,Cough,215,budesonide,cough,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
4337,10011224,4337,fentanyl,160,10011224,Cough,215,fentanyl,cough,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10012601,5487,hydrochlorothiazide,195,10012601,Diabetes mellitus,242,hydrochlorothiazide,diabetes mellitus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10047115,5487,hydrochlorothiazide,195,10047115,Vasculitis,962,hydrochlorothiazide,vasculitis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10047115,17767,amlodipine,45,10047115,Vasculitis,962,amlodipine,vasculitis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10043071,5487,hydrochlorothiazide,195,10043071,Tachycardia,885,hydrochlorothiazide,tachycardia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
89013,10043071,89013,aripiprazole,475,10043071,Tachycardia,885,aripiprazole,tachycardia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
73494,10043071,73494,telmisartan,498,10043071,Tachycardia,885,telmisartan,tachycardia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10010774,5487,hydrochlorothiazide,195,10010774,Constipation,207,hydrochlorothiazide,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10010774,194000,capecitabine,487,10010774,Constipation,207,capecitabine,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10010774,89013,aripiprazole,475,10010774,Constipation,207,aripiprazole,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
39998,10010774,39998,zonisamide,402,10010774,Constipation,207,zonisamide,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
134748,10010774,134748,rasagiline,542,10010774,Constipation,207,rasagiline,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10010774,6809,metformin,244,10010774,Constipation,207,metformin,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6719,10010774,6719,memantine,241,10010774,Constipation,207,memantine,constipation,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10042772,5487,hydrochlorothiazide,195,10042772,Syncope,883,hydrochlorothiazide,syncope,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
6375,10042772,6375,levodopa,527,10042772,Syncope,883,levodopa,syncope,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
89013,10042772,89013,aripiprazole,475,10042772,Syncope,883,aripiprazole,syncope,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10042772,17767,amlodipine,45,10042772,Syncope,883,amlodipine,syncope,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10002424,5487,hydrochlorothiazide,195,10002424,Angioedema,44,hydrochlorothiazide,angioedema,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10002424,17767,amlodipine,45,10002424,Angioedema,44,amlodipine,angioedema,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10002424,73494,telmisartan,498,10002424,Angioedema,44,telmisartan,angioedema,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10061461,5487,hydrochlorothiazide,195,10061461,Erectile dysfunction,304,hydrochlorothiazide,erectile dysfunction,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10003988,5487,hydrochlorothiazide,195,10003988,Back pain,92,hydrochlorothiazide,back pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10003988,194000,capecitabine,487,10003988,Back pain,92,capecitabine,back pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10003988,17767,amlodipine,45,10003988,Back pain,92,amlodipine,back pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10003988,73494,telmisartan,498,10003988,Back pain,92,telmisartan,back pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
306674,10003988,306674,vardenafil,531,10003988,Back pain,92,vardenafil,back pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10008479,5487,hydrochlorothiazide,195,10008479,Chest pain,180,hydrochlorothiazide,chest pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10019211,5487,hydrochlorothiazide,195,10019211,Headache,401,hydrochlorothiazide,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
358274,10019211,358274,ambrisentan,588,10019211,Headache,401,ambrisentan,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10019211,194000,capecitabine,487,10019211,Headache,401,capecitabine,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10019211,6375,levodopa,527,10019211,Headache,401,levodopa,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10019211,89013,aripiprazole,475,10019211,Headache,401,aripiprazole,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
134748,10019211,134748,rasagiline,542,10019211,Headache,401,rasagiline,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10019211,17767,amlodipine,45,10019211,Headache,401,amlodipine,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
41126,10019211,41126,fluticasone,490,10019211,Headache,401,fluticasone,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
190521,10019211,190521,abacavir,28,10019211,Headache,401,abacavir,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
73494,10019211,73494,telmisartan,498,10019211,Headache,401,telmisartan,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
4337,10019211,4337,fentanyl,160,10019211,Headache,401,fentanyl,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10019211,6809,metformin,244,10019211,Headache,401,metformin,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
75207,10019211,75207,bosentan,529,10019211,Headache,401,bosentan,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
68244,10019211,68244,lamivudine,220,10019211,Headache,401,lamivudine,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6719,10019211,6719,memantine,241,10019211,Headache,401,memantine,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6851,10019211,6851,methotrexate,245,10019211,Headache,401,methotrexate,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
306674,10019211,306674,vardenafil,531,10019211,Headache,401,vardenafil,headache,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10047700,5487,hydrochlorothiazide,195,10047700,Vomiting,978,hydrochlorothiazide,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10047700,194000,capecitabine,487,10047700,Vomiting,978,capecitabine,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10047700,6375,levodopa,527,10047700,Vomiting,978,levodopa,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10047700,89013,aripiprazole,475,10047700,Vomiting,978,aripiprazole,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
39998,10047700,39998,zonisamide,402,10047700,Vomiting,978,zonisamide,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
4337,10047700,4337,fentanyl,160,10047700,Vomiting,978,fentanyl,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10047700,6809,metformin,244,10047700,Vomiting,978,metformin,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
68244,10047700,68244,lamivudine,220,10047700,Vomiting,978,lamivudine,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6719,10047700,6719,memantine,241,10047700,Vomiting,978,memantine,vomiting,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10000081,5487,hydrochlorothiazide,195,10000081,Abdominal pain,2,hydrochlorothiazide,abdominal pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10000081,194000,capecitabine,487,10000081,Abdominal pain,2,capecitabine,abdominal pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
134748,10000081,134748,rasagiline,542,10000081,Abdominal pain,2,rasagiline,abdominal pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10000081,17767,amlodipine,45,10000081,Abdominal pain,2,amlodipine,abdominal pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
73494,10000081,73494,telmisartan,498,10000081,Abdominal pain,2,telmisartan,abdominal pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10021097,5487,hydrochlorothiazide,195,10021097,Hypotension,468,hydrochlorothiazide,hypotension,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10021097,17767,amlodipine,45,10021097,Hypotension,468,amlodipine,hypotension,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10021097,73494,telmisartan,498,10021097,Hypotension,468,telmisartan,hypotension,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
4337,10021097,4337,fentanyl,160,10021097,Hypotension,468,fentanyl,hypotension,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
10600,10021097,10600,timolol,366,10021097,Hypotension,468,timolol,hypotension,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10018473,5487,hydrochlorothiazide,195,10018473,Glycosuria,377,hydrochlorothiazide,glycosuria,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10028411,5487,hydrochlorothiazide,195,10028411,Myalgia,607,hydrochlorothiazide,myalgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10028411,17767,amlodipine,45,10028411,Myalgia,607,amlodipine,myalgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10028411,73494,telmisartan,498,10028411,Myalgia,607,telmisartan,myalgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10028411,6809,metformin,244,10028411,Myalgia,607,metformin,myalgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
68244,10028411,68244,lamivudine,220,10028411,Myalgia,607,lamivudine,myalgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10043882,5487,hydrochlorothiazide,195,10043882,Tinnitus,912,hydrochlorothiazide,tinnitus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
306674,10043882,306674,vardenafil,531,10043882,Tinnitus,912,vardenafil,tinnitus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10046735,5487,hydrochlorothiazide,195,10046735,Urticaria,950,hydrochlorothiazide,urticaria,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10023126,5487,hydrochlorothiazide,195,10023126,Jaundice,519,hydrochlorothiazide,jaundice,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10023126,73494,telmisartan,498,10023126,Jaundice,519,telmisartan,jaundice,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
358274,10016825,358274,ambrisentan,588,10016825,Flushing,345,ambrisentan,flushing,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10016825,194000,capecitabine,487,10016825,Flushing,345,capecitabine,flushing,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
75207,10016825,75207,bosentan,529,10016825,Flushing,345,bosentan,flushing,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
1815,10006093,1815,bupivacaine,75,10006093,Bradycardia,132,bupivacaine,bradycardia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
8787,10006093,8787,propranolol,319,10006093,Bradycardia,132,propranolol,bradycardia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10003549,194000,capecitabine,487,10003549,Asthenia,80,capecitabine,asthenia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10003549,6375,levodopa,527,10003549,Asthenia,80,levodopa,asthenia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
114477,10003549,114477,levetiracetam,462,10003549,Asthenia,80,levetiracetam,asthenia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10012378,194000,capecitabine,487,10012378,Depression,234,capecitabine,depression,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10012378,89013,aripiprazole,475,10012378,Depression,234,aripiprazole,depression,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
134748,10012378,134748,rasagiline,542,10012378,Depression,234,rasagiline,depression,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10022437,194000,capecitabine,487,10022437,Insomnia,505,capecitabine,insomnia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10022437,6375,levodopa,527,10022437,Insomnia,505,levodopa,insomnia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10037087,194000,capecitabine,487,10037087,Pruritus,758,capecitabine,pruritus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
61805,10037087,61805,nitisinone,535,10037087,Pruritus,758,nitisinone,pruritus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
