auc_all,aupr_all,spearman,rMSE,MAE,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold
0.8042071197411004,0.8051273775042361,0.5285964202190687,2.911128909585795,2.7340328473730104,0.8318988315052337,0.8330702503707481,0.8330702503707481,0.883183790027667,0.9616564417177914,0.5711656441717792,0.3730061349693251,0.2733128834355828,0.39325588461492766,0.7341906784858936,0.8014959726930879,0.8177710975351749,CAFNet-D,3
0.9374325782092773,0.9377482611916587,0.5430800692113933,2.0901870928292303,1.8707757230301538,0.9260989905697936,0.9264735461904906,0.9264735461904906,0.9476776066041658,0.9846625766871165,0.6076687116564417,0.40751533742331286,0.30163599182004086,0.4091556801159501,0.7956761510909981,0.8794828236714132,0.9009638121921132,CAFNet-DG,3
0.993797195253506,0.9938293970952679,0.5122267955622205,1.2315648717116319,0.9000613806318911,0.9917278559322289,0.9917655895185593,0.9917655895185593,0.9942018794127702,0.9984591679506933,0.641602465331279,0.4278890600924499,0.3191576784797124,0.42549764981712257,0.8469540939751865,0.9376952774231329,0.9630285337528285,CAFNet,4
0.7227615965480043,0.7240060954545771,0.5082598665611286,3.156128631532446,2.965833467952928,0.7569147853138618,0.7585167916522728,0.7585167916522728,0.8229790211639553,0.9152542372881356,0.5494607087827427,0.3534668721109399,0.2568053415511043,0.3566224572131164,0.6772938107555813,0.735961128815967,0.7489223215789795,CAFNet-D,4
0.9093851132686084,0.9098357239807181,0.5342223311001356,2.257252805971635,2.0257971685685163,0.8848577611345981,0.885395669875508,0.885395669875508,0.9112174925850947,0.9537750385208013,0.6027734976887519,0.39722650231124806,0.29542886492039033,0.38582122454747697,0.7629017056855101,0.8394743492330213,0.8612406873454317,CAFNet-DG,4
0.9932578209277239,0.9932928135109942,0.5041961506390495,1.2480141194535856,0.9072927722579045,0.9914973340125163,0.9915396209417965,0.9915396209417965,0.9937762155526896,0.9969230769230769,0.6433846153846154,0.4272307692307692,0.3197948717948718,0.41581292475012405,0.8476800083660047,0.9356841925561848,0.9613507827164638,CAFNet,5
0.7799352750809061,0.7809557645440466,0.5177654150609834,3.0426237344189824,2.8631870552479834,0.8126634059898166,0.8139738525201103,0.8139738525201103,0.8714558339700653,0.9584615384615385,0.5735384615384616,0.3672307692307692,0.27158974358974364,0.38273600167320093,0.725119235805232,0.783097728214779,0.8008749655009464,CAFNet-D,5
0.924217907227616,0.924597669797083,0.533100281056166,2.207310949925247,1.9859283380300818,0.91211570667178,0.9125772698300858,0.9125772698300858,0.9374229963814487,0.9815384615384616,0.6116923076923078,0.4015384615384615,0.3,0.4014539503911496,0.7883283600143562,0.8632774326494249,0.8860575537972524,CAFNet-DG,5
0.9956850053937433,0.9957074277725555,0.545989558938622,1.2087108947960987,0.8954520485391027,0.993918939260193,0.9939454152410647,0.9939454152410647,0.9958487248308485,1.0,0.6378294573643412,0.4367441860465117,0.3297157622739018,0.429034133725232,0.8361525807708625,0.9361405251445307,0.9667966170468114,CAFNet,6
0.7707659115426105,0.7718234676897879,0.5323034721592685,3.0463151740919083,2.8735503778140505,0.8052156898334109,0.8065813470574085,0.8065813470574085,0.8666658900136086,0.9472868217054263,0.5683720930232559,0.376124031007752,0.2752454780361757,0.3853390432859555,0.7092139810415652,0.7791834907242161,0.7959632659447226,CAFNet-D,6
