scenario,model,removed_top_n_hot_side_effects,fold_mean,fold_std,MAP_mean,MAP_std,auc_all_mean,auc_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P5_mean,P5_std,P10_mean,P10_std,P15_mean,P15_std,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,R15_mean,R15_std,auc_rank_mean,auc_rank_std
warm,Global popularity,10,4.5,3.0276503540974917,0.08884321049502746,0.0016437101549755197,0.8412597194928901,0.004133248374016586,0.22327111710903616,0.005322249775728867,0.06703968687232953,0.006266173277476689,0.08655773199018742,0.003234496233219647,0.08528444683930016,0.002804020304539165,0.07637510420450067,0.0019523388509365901,0.007515109957915373,0.0009691244139658666,0.06526229872012689,0.004344599048378742,0.14899557742604963,0.007717540795399537,0.21136887120602693,0.008607235186328485,,
warm,Global popularity,20,4.5,3.0276503540974917,0.054701535232546616,0.0013015238356757037,0.8194886823903869,0.004838195509337693,0.11156966142289829,0.00823484443936354,0.023651324089225483,0.0031336316343016516,0.04073682993764709,0.0018948752167131627,0.04870253157352007,0.003146943322768985,0.049176650820421546,0.0020924774348359274,0.0013636938706556665,0.00044226068490552524,0.017996413309362587,0.0024654994810695712,0.054621494000803496,0.007013690027694261,0.10030747438382266,0.0059829247226694795,,
warm,Global popularity,50,4.5,3.0276503540974917,0.02754065656116379,0.00084739930994196,0.7674785570529346,0.006065952209524565,0.02443625243681155,0.0018613382466935511,0.0007841155354816855,0.0010124893548516427,0.008194475241286928,0.000983976340765828,0.012134892351415605,0.0013117957355217548,0.015255754715230385,0.0012872816420690372,3.110436800739802e-05,4.152180695064028e-05,0.0015859227120562295,0.00022664591625362138,0.005797540336525824,0.0007363616464134857,0.012895324863297811,0.0010551684754483166,,
warm,Global popularity,100,4.5,3.0276503540974917,0.015367822004297857,0.00048281036854992075,0.6887825498257291,0.00863462910388629,0.0011618961161724496,0.0007887153846077624,0.0,0.0,0.0,0.0,0.0004135697517076691,0.0003030684146658914,0.0019414132722195075,0.0003778864548750011,0.0,0.0,0.0,0.0,0.00017151626855286484,0.00014023140596809987,0.001180957547939489,0.0002303751611887411,,
warm,HSTrans,10,4.5,3.0276503540974917,0.07823665070591751,0.004200574964953717,0.832010634915324,0.011888407860839818,0.19748956719219374,0.011988552661947507,0.06626520040759717,0.011679820155285263,0.06882839181400362,0.007551815787902751,0.06640195913866506,0.004931463289117504,0.06277100300367333,0.0044580105750312675,0.009400109489102665,0.0032079282294276827,0.054959069312694564,0.007000405420163665,0.11802581633987215,0.009976217774137965,0.17380700534357055,0.009500802574050992,,
warm,HSTrans,20,4.5,3.0276503540974917,0.053086584678712224,0.003637936644224815,0.8102801094437029,0.012902875108657223,0.12119195020104394,0.011359283995262622,0.03475546243876484,0.01181368479226656,0.04026731278240857,0.005831958435192828,0.041721339661182744,0.003113240907034096,0.04236982849518593,0.002316812303760378,0.003810224696947297,0.0018105442048616364,0.02573972461321536,0.006013173318476684,0.06026378442200543,0.010502287911554416,0.10146854489078476,0.010121430011972955,,
warm,HSTrans,50,4.5,3.0276503540974917,0.028879614199148324,0.002661793754927925,0.7593185663574842,0.01592557348829778,0.049847201721302345,0.009079593897821255,0.011801438598683498,0.005780374749540391,0.01446817662079893,0.00422402655580831,0.016472705850326324,0.0034268021098166476,0.01814566773281983,0.002621951548636413,0.001194125052520425,0.001367199438242008,0.0065109481395140695,0.002317284048397485,0.018127747833719475,0.005472751375769251,0.03494495710709642,0.005112189399862796,,
warm,HSTrans,100,4.5,3.0276503540974917,0.015131090056991444,0.001431138094238565,0.6829336021673107,0.019257117081777735,0.013262023221843338,0.010806873056140816,0.0023133536380865695,0.0024535658423919223,0.003624197134842028,0.0035312370216065607,0.00433589631489921,0.0035718910845226825,0.0053770429454232235,0.0032789543635743674,0.00012008628269404985,0.00013322537181331473,0.0009603120263520885,0.0010037716278726023,0.0030687063209717353,0.0031543877369060677,0.007226350933828146,0.004219346185357072,,
warm,RF,10,4.5,3.0276503540974917,0.030582766400280494,0.0009257086692916487,0.7768769371635058,0.004660530267309511,0.07136284395419717,0.005930519855022457,0.013728132422823575,0.004186669157507794,0.017218164499414802,0.0017443715719567682,0.018361530606883218,0.0014807237103311908,0.01861905308367872,0.0014482514237630173,0.002960005084692104,0.0012728909991348222,0.02104434555053477,0.0026550999688634345,0.04570535934018073,0.005285744353144145,0.06803211555484297,0.007452471834446394,,
warm,RF,20,4.5,3.0276503540974917,0.0288107030944888,0.0012437122272948812,0.7677724981913986,0.004248891861381919,0.0638703602803604,0.005984405658649159,0.013938660120153093,0.004734224992652503,0.015278079858893992,0.0014756504541106829,0.01600664666869107,0.0014315237665723985,0.016154092054907136,0.0014877940756292546,0.002960349804097969,0.0014379960516965463,0.019344262758002644,0.0034452509693201697,0.040659962727286295,0.004825221812366934,0.06158429808792647,0.007833146909947039,,
