scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
cold,Decoupled-v3,2,50,15,0.9991111111111112
cold,CAFNet,2,100,15,0.9066666666666666
cold,A3Net,2,100,15,0.9306666666666666
cold,RF,2,100,15,0.6293333333333333
cold,XGBoost,2,100,15,0.41866666666666663
cold,Global popularity,2,100,15,1.0
cold,HSTrans,2,100,15,0.9048888888888886
cold,Decoupled-v3,2,100,15,0.9991111111111112
cold,CAFNet,3,10,15,0.416
cold,A3Net,3,10,15,0.4542222222222222
cold,RF,3,10,15,0.28177777777777774
cold,XGBoost,3,10,15,0.30222222222222217
cold,Global popularity,3,10,15,0.6666666666666665
cold,HSTrans,3,10,15,0.3608888888888888
cold,Decoupled-v3,3,10,15,0.6444444444444444
cold,CAFNet,3,20,15,0.6088888888888888
cold,A3Net,3,20,15,0.6124444444444443
cold,RF,3,20,15,0.33777777777777773
cold,XGBoost,3,20,15,0.3644444444444444
cold,Global popularity,3,20,15,1.0
cold,HSTrans,3,20,15,0.5324444444444444
cold,Decoupled-v3,3,20,15,0.9253333333333335
cold,CAFNet,3,50,15,0.7715555555555554
cold,A3Net,3,50,15,0.7644444444444445
cold,RF,3,50,15,0.5128888888888888
cold,XGBoost,3,50,15,0.42577777777777776
cold,Global popularity,3,50,15,1.0
cold,HSTrans,3,50,15,0.7520000000000001
cold,Decoupled-v3,3,50,15,0.9884444444444446
cold,CAFNet,3,100,15,0.8755555555555556
cold,A3Net,3,100,15,0.8871111111111111
cold,RF,3,100,15,0.568888888888889
cold,XGBoost,3,100,15,0.42577777777777776
cold,Global popularity,3,100,15,1.0
cold,HSTrans,3,100,15,0.9102222222222224
cold,Decoupled-v3,3,100,15,0.9946666666666668
cold,CAFNet,4,10,15,0.3351111111111111
cold,A3Net,4,10,15,0.40888888888888886
cold,RF,4,10,15,0.25599999999999995
cold,XGBoost,4,10,15,0.30577777777777776
cold,Global popularity,4,10,15,0.6666666666666665
cold,HSTrans,4,10,15,0.3733333333333334
cold,Decoupled-v3,4,10,15,0.6453333333333333
cold,CAFNet,4,20,15,0.5324444444444443
cold,A3Net,4,20,15,0.6186666666666667
cold,RF,4,20,15,0.3137777777777777
cold,XGBoost,4,20,15,0.3644444444444444
cold,Global popularity,4,20,15,1.0
cold,HSTrans,4,20,15,0.5591111111111111
cold,Decoupled-v3,4,20,15,0.919111111111111
cold,CAFNet,4,50,15,0.7653333333333333
cold,A3Net,4,50,15,0.8248888888888889
cold,RF,4,50,15,0.5635555555555556
cold,XGBoost,4,50,15,0.43111111111111117
cold,Global popularity,4,50,15,1.0
cold,HSTrans,4,50,15,0.7439999999999999
cold,Decoupled-v3,4,50,15,0.9733333333333334
cold,CAFNet,4,100,15,0.9057777777777778
cold,A3Net,4,100,15,0.9208888888888886
cold,RF,4,100,15,0.6133333333333333
cold,XGBoost,4,100,15,0.43111111111111117
cold,Global popularity,4,100,15,1.0
cold,HSTrans,4,100,15,0.8826666666666669
cold,Decoupled-v3,4,100,15,0.9813333333333333
cold,CAFNet,5,10,15,0.39288888888888884
cold,A3Net,5,10,15,0.44888888888888884
cold,RF,5,10,15,0.26933333333333326
cold,XGBoost,5,10,15,0.2942222222222222
cold,Global popularity,5,10,15,0.6666666666666665
cold,HSTrans,5,10,15,0.38399999999999995
cold,Decoupled-v3,5,10,15,0.6524444444444444
cold,CAFNet,5,20,15,0.5982222222222221
cold,A3Net,5,20,15,0.7075555555555556
cold,RF,5,20,15,0.32444444444444437
cold,XGBoost,5,20,15,0.3475555555555555
cold,Global popularity,5,20,15,1.0
cold,HSTrans,5,20,15,0.5697777777777778
cold,Decoupled-v3,5,20,15,0.9324444444444445
cold,CAFNet,5,50,15,0.7946666666666666
cold,A3Net,5,50,15,0.823111111111111
cold,RF,5,50,15,0.5244444444444445
cold,XGBoost,5,50,15,0.44177777777777777
cold,Global popularity,5,50,15,1.0
cold,HSTrans,5,50,15,0.7502222222222222
cold,Decoupled-v3,5,50,15,0.9973333333333335
cold,CAFNet,5,100,15,0.903111111111111
cold,A3Net,5,100,15,0.9226666666666667
cold,RF,5,100,15,0.5973333333333333
cold,XGBoost,5,100,15,0.44177777777777777
cold,Global popularity,5,100,15,1.0
cold,HSTrans,5,100,15,0.9057777777777777
cold,Decoupled-v3,5,100,15,1.0
cold,CAFNet,6,10,15,0.3804444444444445
cold,A3Net,6,10,15,0.4675555555555556
cold,RF,6,10,15,0.2666666666666666
cold,XGBoost,6,10,15,0.3102222222222222
cold,Global popularity,6,10,15,0.6666666666666665
cold,HSTrans,6,10,15,0.448
cold,Decoupled-v3,6,10,15,0.6435555555555554
cold,CAFNet,6,20,15,0.5857777777777777
cold,A3Net,6,20,15,0.6657777777777777
cold,RF,6,20,15,0.3217777777777777
cold,XGBoost,6,20,15,0.38666666666666655
cold,Global popularity,6,20,15,1.0
cold,HSTrans,6,20,15,0.6266666666666667
cold,Decoupled-v3,6,20,15,0.9208888888888889
cold,CAFNet,6,50,15,0.7626666666666666
cold,A3Net,6,50,15,0.7893333333333333
cold,RF,6,50,15,0.5448888888888889
cold,XGBoost,6,50,15,0.43288888888888893
cold,Global popularity,6,50,15,1.0
