MAP,AUROC,AUPR,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,matched_AUPR,top100_removed_MAP,model,strength,fold,mean_gate,rare_gate,middle_gate,frequent_gate
0.44845019881529424,0.8429207977555983,0.38120273477574207,0.6863935826481218,0.6062222222222222,0.2385079057640076,0.10689613486243595,0.12404361040598483,0.5023944838051561,0.688336361122324,0.1349421744134159,learned_gate_shrink_0.15,0.15,2,0.5993447303771973,0.5957369804382324,0.5990856289863586,0.603700578212738
0.44789874321803985,0.8429643710071536,0.3807905587596453,0.6863595107845829,0.6062222222222222,0.23852166033095362,0.10699522352571908,0.12408007690000705,0.5018271113798026,0.6800145992571753,0.13477106871779046,learned_gate_shrink_0.2,0.2,2,0.5991261601448059,0.5943158268928528,0.5987808108329773,0.6049340963363647
0.44702914329286564,0.8430315720589802,0.37995564545162563,0.6862983039223122,0.6035555555555556,0.23729875578451967,0.1072332848423204,0.12421198849594398,0.5007729521743581,0.6771761203331864,0.13807800969061743,learned_gate_shrink_0.3,0.3,2,0.5986893177032471,0.5914737582206726,0.5981712341308594,0.6074010729789734
0.4461112451487241,0.8430667469962448,0.37899224731123937,0.6839695719668487,0.6017777777777777,0.23684180668632762,0.10757839291044724,0.12437901032225619,0.4997665145065715,0.685568071357136,0.1379051435087044,learned_gate_shrink_0.4,0.4,2,0.5982524156570435,0.5886317491531372,0.5975615978240967,0.6098681092262268
0.4440126598301744,0.8430182150031202,0.3768956520582818,0.6819918594706171,0.6008888888888889,0.23609529586111502,0.1072665272749249,0.12465107673852313,0.4974937008450447,0.6812561860107349,0.13738740782175365,learned_gate_shrink_0.6,0.6,2,0.5973785519599915,0.5829476118087769,0.5963424444198608,0.6148021221160889
0.44909176308769666,0.8427531004135513,0.382143629860086,0.6856261023137348,0.6088888888888889,0.24055889793264684,0.1066867560182569,0.1235738069921433,0.5031563023799696,0.689350321695353,0.1350249130539758,CAFNet-DG-fixed,,2,0.6,0.6,0.6,0.6
0.4431818282658178,0.8355118636198426,0.3701180331185033,0.6820888579755376,0.6106666666666666,0.24151067060554715,0.07930926563666098,0.09285742329718093,0.5002720014051777,0.6856390712094323,0.11936941000170896,CAFNet-D,,2,1.0,1.0,1.0,1.0
0.38722007146440074,0.8299963399609835,0.27187476951801515,0.5833857567117843,0.4666666666666667,0.2775110599118208,0.06812219186614195,0.0936160315416253,0.4309190147546714,0.6769485048262213,0.09837015281379648,learned_gate_shrink_0,0.0,3,0.5999999642372131,0.6000000238418579,0.6000000238418579,0.6000000238418579
0.3867883321913377,0.8300127364551089,0.27159726806320517,0.5828116391912503,0.4675555555555555,0.2776912400920009,0.06807046356522195,0.09345540182216946,0.4305658614185663,0.6861453790495248,0.09831883689339353,learned_gate_shrink_0.025,0.025,3,0.5997622609138489,0.5991952419281006,0.5997776389122009,0.6003543734550476
0.3866651349913169,0.830033560160763,0.27132737875505825,0.5836028677645815,0.4648888888888889,0.2765393275236949,0.06823889709780175,0.09355763361469985,0.43077871542984647,0.6797383738635548,0.09840317269131729,learned_gate_shrink_0.05,0.05,3,0.5995244979858398,0.5983903408050537,0.5995551943778992,0.6007086634635925
0.3854630841586663,0.8300496020262099,0.2710483438624013,0.5824188659853953,0.46577777777777774,0.2778726608570283,0.06819469138859205,0.0935775795566538,0.42949446393232554,0.6801460982754954,0.09835302200927634,learned_gate_shrink_0.075,0.075,3,0.5992867350578308,0.5975855588912964,0.5993328094482422,0.6010630130767822
0.3850375710448335,0.8300671120995619,0.2707866229420069,0.5814840406889601,0.4648888888888889,0.2774559941903616,0.06826050520544033,0.09352377149973966,0.4290813138553395,0.6778695282604273,0.09847742943334799,learned_gate_shrink_0.1,0.1,3,0.5990490317344666,0.5967807769775391,0.5991103649139404,0.6014173030853271
0.3845978250104084,0.8300886721679498,0.2702691874666148,0.5802127422276759,0.46577777777777774,0.27783694657131397,0.06788187145550027,0.09354170106255996,0.4287622316893454,0.6860880766534836,0.09851308910372875,learned_gate_shrink_0.15,0.15,3,0.5985735058784485,0.5951711535453796,0.5986656546592712,0.6021260023117065
0.38360011764153307,0.8300983713752477,0.2696249818969006,0.5781852671973015,0.4648888888888889,0.27764086813994143,0.06599005532299344,0.09320769784695629,0.4276491126316475,0.6780428707182866,0.09834689671813819,learned_gate_shrink_0.2,0.2,3,0.5980979800224304,0.5935614109039307,0.5982207655906677,0.6028345823287964
0.382542858350257,0.8300932349063619,0.2684821538016653,0.5768167629294668,0.4648888888888888,0.27927818470178634,0.06619274216248135,0.09124980597958597,0.4266662360655269,0.6803526764828877,0.09895769931061738,learned_gate_shrink_0.3,0.3,3,0.5971469879150391,0.5903421640396118,0.597331166267395,0.6042518615722656
