model,fold,MAP,auc_all,aupr_all,nDCG,P1,P15,R15,spearman,rMSE,MAE
Decoupled_v3_f3_ab1_ar1,1,0.2246827899421588,0.9034170146870536,0.1261051820361406,0.4901887077068708,0.3338509316770186,0.1158385093167705,0.3620783204239193,0.6664002372391851,0.7274712242911268,0.53028494
Decoupled_v3_f3_ab1_ar1,2,0.2280262040785908,0.9145047505809316,0.1300342672657281,0.4619793645674646,0.299236641221374,0.1179643765903311,0.3721324909345423,0.6712521590590177,0.734410873510858,0.5291511
Decoupled_v3_best_f10,0,0.2293578998923833,0.9041359901130612,0.1052707482723892,0.4919309713067114,0.3496062992125984,0.1163254593175856,0.3578419044484401,0.6603446490525531,0.7333489819143064,0.5301832
Decoupled_v3_best_f10,1,0.2248483331078054,0.8997390303728452,0.1164222010849976,0.4850427405508182,0.327639751552795,0.1145962732919257,0.3630440625482871,0.6865217600013426,0.6997560535835506,0.50981516
Decoupled_v3_best_f10,2,0.2279739985477859,0.9121044653945484,0.135369785153845,0.4626466297768524,0.3114503816793893,0.1159287531806619,0.362534546435769,0.6691133958316179,0.7246754659860127,0.5306184
Decoupled_v3_best_f10,3,0.2268280386698188,0.912572247447751,0.1122641063775402,0.4748759120463564,0.3159509202453988,0.1189161554192232,0.3726277897130374,0.6795316224539588,0.6969769304937377,0.5128086
Decoupled_v3_best_f10,4,0.2139813779593712,0.9101764200640236,0.1212539602779903,0.451177486579943,0.2912172573189522,0.1144324601951725,0.3634785316549417,0.6627173020808906,0.7281962658628982,0.5222163
Decoupled_v3_best_f10,5,0.2183147447560463,0.9118137905845948,0.1235570995507729,0.468556129527381,0.3061538461538461,0.1189743589743592,0.371893719388946,0.6612784090546812,0.719054489323219,0.52974373
Decoupled_v3_best_f10,6,0.2158011921694781,0.9108911742821112,0.1242552634656109,0.4594266873365442,0.3085271317829457,0.1165891472868219,0.365429843488526,0.698171412759581,0.6628824182922891,0.49057624
Decoupled_v3_best_f10,7,0.2210782931095874,0.9122495312770876,0.1393347789316615,0.4677229550572237,0.3173374613003096,0.1142414860681119,0.3540753306318652,0.6896401652745545,0.717797851147309,0.5180228
Decoupled_v3_best_f10,8,0.2340387800284981,0.9084672979548684,0.1226451255338032,0.484712045386852,0.3343653250773993,0.118575851393189,0.3751857451410252,0.6765198239506441,0.7096979422831983,0.51262414
Decoupled_v3_best_f10,9,0.2249672968466152,0.9173919542356804,0.1181756878577956,0.4857055604957293,0.3255451713395638,0.1130841121495331,0.3650615570957273,0.702323976834839,0.6750118969822541,0.5049514
