fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,58,CAFNet-D,0.2597197763200514,0.46429130629958176,0.04,0.0322463768115942,0.31030801919746986
9,58,CAFNet-DG,0.3168082862529883,0.4982710309705437,0.03571428571428571,0.024521774521774523,0.3806756402193712
9,58,Group-only,0.32717659035005187,0.5677211578528084,0.05,0.014500922320147571,0.3942587104869931
9,58,Global gate,0.3121934372705382,0.5473983622993502,0.02,0.013878217441413753,0.38971683227864073
9,58,Drug gate,0.3191896763699474,0.5965377185773229,0.009009009009009009,0.01500511009941466,0.38728271382635704
9,58,Drug-stratum gate,0.25835640596793713,0.46429130629958176,0.012048192771084338,0.009000000000000001,0.32165999344497853
9,71,CAFNet,0.14543512710849754,0.1100458831490401,,,0.1506355941153224
9,71,CAFNet-D,0.4218168976914011,0.6110191504983019,,,0.4237305198046198
9,71,CAFNet-DG,0.4060192790644109,0.5965377185773229,,,0.40725904483919473
9,71,Group-only,0.4564819048444433,0.5541432109622958,,,0.4601158762516166
9,71,Global gate,0.3765783562286604,0.5388856921828065,,,0.38651820475370174
9,71,Drug gate,0.51976996168178,0.6489315753318465,,,0.5213213971092122
9,71,Drug-stratum gate,0.48660973473196745,0.6332196796270029,,,0.4871925413786452
9,81,CAFNet,0.6900654615526669,0.9363792118010483,0.007518796992481203,0.012034809868319818,0.7344899539247203
9,81,CAFNet-D,0.5044989351869817,0.793584067764911,0.011764705882352941,0.008050799136403084,0.5415612106093535
9,81,CAFNet-DG,0.6403446276279915,0.8701249883466594,0.01098901098901099,0.008206166862849081,0.6808744224384669
9,81,Group-only,0.6531799929748948,0.9305687780632227,0.011111111111111112,0.010010881586421987,0.689643061154911
9,81,Global gate,0.6440975233009112,0.8572048559638626,0.022222222222222223,0.00800654106032116,0.6834381909555914
9,81,Drug gate,0.6504408822043631,0.9305687780632227,0.014705882352941176,0.014375671299636097,0.6866322168161937
9,81,Drug-stratum gate,0.6479438038957086,0.933745776545611,0.010869565217391304,0.010123996762027875,0.687732311804059
9,83,CAFNet,0.3733095810719158,0.42696207545852366,,0.026782981328435873,0.39497788520812943
9,83,CAFNet-D,0.3747204677202463,0.4760705018418427,,0.017197088625660054,0.3984278497071796
9,83,CAFNet-DG,0.4245788412162262,0.5494344239412028,,0.019969278033794162,0.45014499696973737
9,83,Group-only,0.335583932166336,0.476846588700353,,0.01801948051948052,0.3568077930419414
9,83,Global gate,0.29750437027528026,0.5330752584449809,,0.016230104023060535,0.31801434448513377
9,83,Drug gate,0.37627705610041084,0.5861163849908828,,0.0202485966319166,0.39880100113718464
