group,model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
frequent,Gate sigmoid low=0 mid=0 high=0.8 temp=0.5,0.4656330582357454,0.20750817259940593,0.6043442587192459,0.28192219379013306,0.5023111111111112,0.27506359844126926,0.3236041297625679,0.18719698735610232
frequent,Gate sigmoid low=0 mid=0 high=0.8 temp=1,0.45464515124487714,0.20659348446460304,0.5828815723853195,0.28019715147388635,0.4844444444444444,0.2656932240093414,0.3132725486587268,0.1850696830760304
frequent,Gate sigmoid low=0 mid=0 high=0.8 temp=2,0.45191266449012035,0.20878486374050195,0.5649028909457668,0.28260055631593745,0.4806222222222223,0.2687516915121638,0.30931447150771857,0.18660250016214283
frequent,Gate sigmoid low=0 mid=0 high=0.9 temp=0.5,0.4594421972439197,0.20615116295365205,0.6005884782622564,0.2817152450065429,0.49724444444444443,0.2723495344254246,0.32104122120794903,0.1874748405643237
frequent,Gate sigmoid low=0 mid=0 high=0.9 temp=1,0.44986347887563255,0.20594357152377063,0.5796330118150322,0.2783706246761512,0.4765333333333333,0.2651556209809321,0.30787903793424265,0.18587067844861263
frequent,Gate sigmoid low=0 mid=0 high=0.9 temp=2,0.4486358763447247,0.20868044372946198,0.5615842873758872,0.2834395660686035,0.47777777777777775,0.26749056819740125,0.3072088480091135,0.1868713092256309
frequent,Gate sigmoid low=0 mid=0 high=1 temp=0.5,0.45188786768439326,0.20492226018512794,0.5954524414825287,0.28125840217147285,0.48719999999999997,0.26799681607861453,0.3150874920453202,0.18639703374970618
frequent,Gate sigmoid low=0 mid=0 high=1 temp=1,0.44173318367771786,0.20473545302011323,0.5709017819868575,0.2775860247928907,0.4672888888888889,0.26162268690259116,0.30305871967907855,0.1867401836745691
frequent,Gate sigmoid low=0 mid=0 high=1 temp=2,0.4450839458315004,0.20830474559355222,0.5592934736620403,0.28296460994179945,0.4730666666666666,0.26665651961112824,0.30395019866073025,0.1853415804468702
frequent,Gate sigmoid low=0.1 mid=0 high=0.8 temp=0.5,0.47419338956391904,0.20918196841562173,0.6149927465316805,0.28504470564972156,0.5132444444444445,0.2798891283093622,0.3280883779471257,0.18588068135421645
frequent,Gate sigmoid low=0.1 mid=0 high=0.8 temp=1,0.46709094110198596,0.2088201765712212,0.6016734424287707,0.28403527420810276,0.49946666666666667,0.2739920855755109,0.3217746745860654,0.18804428228370387
frequent,Gate sigmoid low=0.1 mid=0 high=0.8 temp=2,0.46493964491885315,0.21080409468582167,0.5911731377720688,0.2837023338096397,0.4951111111111111,0.27485715745528794,0.3175885550448743,0.18451726460404508
frequent,Gate sigmoid low=0.1 mid=0 high=0.9 temp=0.5,0.46866994583802896,0.20789579314336715,0.6129345022960999,0.2843220547726106,0.5093333333333333,0.2760133250138927,0.3281179908588366,0.1878671925712367
frequent,Gate sigmoid low=0.1 mid=0 high=0.9 temp=1,0.46234173791020106,0.2080603634650549,0.5981791043082789,0.28233983883167724,0.49262222222222224,0.2721326180302076,0.31773056008924244,0.1887539166700015
frequent,Gate sigmoid low=0.1 mid=0 high=0.9 temp=2,0.46293357026659676,0.2105456317841089,0.5889229002087518,0.2833980428739172,0.4930666666666667,0.2741429497914149,0.3159514042385303,0.18634723413176252
frequent,Gate sigmoid low=0.1 mid=0 high=1 temp=0.5,0.4614628374401773,0.2065449813222532,0.6084258644879851,0.2823531903724207,0.49946666666666667,0.2731027064417999,0.3216236340851196,0.18617310731275447
frequent,Gate sigmoid low=0.1 mid=0 high=1 temp=1,0.4550790336439157,0.2064930570264899,0.5932564563136741,0.2802882202261269,0.4828444444444445,0.2674203264791062,0.3127231697211402,0.18732647971855043
frequent,Gate sigmoid low=0.1 mid=0 high=1 temp=2,0.45881212561762336,0.21016626689532864,0.5831802542623792,0.28419421334381745,0.4904000000000001,0.2742572118405475,0.31410266083495436,0.18729307405041073
frequent,Gate sigmoid low=0.2 mid=0 high=0.8 temp=0.5,0.4812111174403657,0.2099939610985154,0.6242733374478432,0.28570116614283714,0.5204444444444445,0.28278990968006973,0.3325166672154041,0.1882488045381991
frequent,Gate sigmoid low=0.2 mid=0 high=0.8 temp=1,0.4768463933999278,0.21021678688515053,0.6158270297125376,0.28467314943187055,0.5108444444444445,0.2795683479188718,0.32720496281788397,0.18801939287283773
frequent,Gate sigmoid low=0.2 mid=0 high=0.8 temp=2,0.4756271711913196,0.21193079503274354,0.6095869946979842,0.28454852989416923,0.5100444444444444,0.28072082462410824,0.32740318581842554,0.18926340249882279
frequent,Gate sigmoid low=0.2 mid=0 high=0.9 temp=0.5,0.47625268545684046,0.20898903512012512,0.6211442389159623,0.28508148333274136,0.5174222222222223,0.27955374473864414,0.33226440753977543,0.18880171405505877
frequent,Gate sigmoid low=0.2 mid=0 high=0.9 temp=1,0.472166885075919,0.20941308748165277,0.6112378198599702,0.2843158442234939,0.5065777777777777,0.2771653691272515,0.3259476052358565,0.18857345103549547
