model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate sigmoid low=0.2 mid=0 high=0.9 temp=1,0.37454655809026305,0.17887458307110923,0.5827300152149114,0.2898317802760059,0.4854222222222223,0.2725827795468449,0.2553204410710313,0.178910213965023
Gate sigmoid low=0.2 mid=0 high=0.9 temp=2,0.38668743382024107,0.1828449146821235,0.5886467449364138,0.2903451639794462,0.4965333333333333,0.27700768255310737,0.2604650069422733,0.1810858172300909
Gate sigmoid low=0.2 mid=0 high=1 temp=0.5,0.3365246292540631,0.1715386366129009,0.5483147170792616,0.2910211277705177,0.4498666666666667,0.2635034011676882,0.2375322182300335,0.172851640391976
Gate sigmoid low=0.2 mid=0 high=1 temp=1,0.3638717810798215,0.17639474749724274,0.5716215986635401,0.28686698445446707,0.4712888888888889,0.2675818149487043,0.24781171693273896,0.17429527997658822
Gate sigmoid low=0.2 mid=0 high=1 temp=2,0.38203276278371123,0.18202068638194904,0.581326603179117,0.29135839636685723,0.4904888888888889,0.27581369057789945,0.2565469228304108,0.17850234507004975
Gate sigmoid low=0.4 mid=0 high=0.8 temp=0.5,0.39645758958645166,0.18202761349930774,0.6151637602987364,0.2909505682569005,0.5172444444444445,0.281447491552003,0.27023418033942304,0.1815519273914228
Gate sigmoid low=0.4 mid=0 high=0.8 temp=1,0.40196308465561864,0.18423435005008756,0.6187437643659304,0.2901147080948578,0.5169777777777778,0.2820113263184362,0.26995142335703654,0.18240840386211007
Gate sigmoid low=0.4 mid=0 high=0.8 temp=2,0.4055375298043123,0.18600488052875463,0.6190490659804825,0.29058285302927456,0.5191111111111112,0.2839301462392304,0.27086628779648336,0.18378917513478968
Gate sigmoid low=0.4 mid=0 high=0.9 temp=0.5,0.38695291119661146,0.17978082875881754,0.60826041845149,0.29107901877344033,0.5101333333333333,0.28067534635575153,0.26695766195924214,0.18180447268478234
Gate sigmoid low=0.4 mid=0 high=0.9 temp=1,0.39646119128235324,0.18264089321688498,0.6142191772681513,0.28992779332435165,0.5120888888888889,0.2793261081905995,0.2689473954295289,0.18343401875415108
Gate sigmoid low=0.4 mid=0 high=0.9 temp=2,0.40270738475983,0.18515546316115294,0.6156147543730992,0.2902037075727303,0.5159111111111112,0.2833329790480957,0.2691943647226247,0.18221274490992556
Gate sigmoid low=0.4 mid=0 high=1 temp=0.5,0.37397068488596885,0.17669744433927567,0.5989582927118995,0.28944992085073157,0.49724444444444443,0.2773368023244524,0.26084129812715856,0.18011229630180042
Gate sigmoid low=0.4 mid=0 high=1 temp=1,0.3883015474730229,0.18076937361812562,0.6073938942162947,0.28816692445838377,0.5026666666666667,0.2778079793698742,0.26321888277055244,0.18015962376290567
Gate sigmoid low=0.4 mid=0 high=1 temp=2,0.3984294532108611,0.18389591070233616,0.6115498677897117,0.2885647329381024,0.5116444444444445,0.28036277457634273,0.2677292644069592,0.18128675471129
Gate sigmoid low=0.6 mid=0 high=0.8 temp=0.5,0.4085067775914467,0.18599935986324387,0.6236265501371703,0.2908666534798578,0.5273777777777778,0.2850892178549911,0.27457190043347796,0.1826689783677736
Gate sigmoid low=0.6 mid=0 high=0.8 temp=1,0.4101927645987303,0.18662911346598346,0.6240943871159883,0.2904846546933488,0.5267555555555555,0.286000288046872,0.274092758121442,0.1827491125476377
Gate sigmoid low=0.6 mid=0 high=0.8 temp=2,0.41144623544479336,0.1873776985909236,0.6247748120218722,0.29154933092019186,0.5255111111111112,0.2868597756407831,0.27332499268525756,0.18323679255759412
Gate sigmoid low=0.6 mid=0 high=0.9 temp=0.5,0.4022854845569999,0.18417337266036363,0.6205786915757011,0.2924664715688408,0.5255111111111112,0.28367724008379946,0.2746501552140274,0.18370960962753805
Gate sigmoid low=0.6 mid=0 high=0.9 temp=1,0.40588788157748057,0.1856445862405614,0.621115619832438,0.291171562405117,0.5254222222222222,0.28347598353190506,0.27451103541824734,0.1841443421233042
Gate sigmoid low=0.6 mid=0 high=0.9 temp=2,0.40845521858094846,0.18675261226101228,0.6213738775955864,0.2922048721629776,0.5257777777777778,0.2850096141297132,0.274412405811119,0.18484519478604763
Gate sigmoid low=0.6 mid=0 high=1 temp=0.5,0.3933544866695785,0.18168498979847955,0.6186368685269884,0.29054192363548537,0.5184,0.28175355282673026,0.27149939256778977,0.18270111486273377
Gate sigmoid low=0.6 mid=0 high=1 temp=1,0.3995763986416936,0.18375903308647218,0.6195248056258256,0.29073820821577107,0.5199111111111112,0.2827230912718797,0.27154197367342076,0.18278482491922832
Gate sigmoid low=0.6 mid=0 high=1 temp=2,0.40453134162668036,0.18548791852121302,0.6183587103253244,0.29067494306212044,0.5237333333333334,0.28339233920519075,0.2744211311621377,0.18469722585111112
