model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate piecewise low=0 mid=0.4 high=0.6 temp=1,0.3267624499349614,0.16806755570040582,0.5397494574172347,0.2942265565459116,0.4612444444444445,0.270818137375661,0.24292864179616572,0.17795631992830474
Gate piecewise low=0 mid=0.4 high=0.8 temp=1,0.2613200235132967,0.15369000134006738,0.44084866051341676,0.2904271099522422,0.3839111111111111,0.24893565055450675,0.2053767147300233,0.16740313600171938
Gate piecewise low=0 mid=0.4 high=0.9 temp=1,0.22316663024398797,0.14492811024973062,0.38206403218580315,0.2839531577416118,0.3296888888888889,0.2339366434790433,0.17601280830372082,0.15826155255470103
Gate piecewise low=0 mid=0.4 high=1 temp=1,0.1860780245745471,0.13335450238604435,0.32262578108247686,0.2728482965758962,0.2742222222222222,0.2154314751070401,0.1474437931254153,0.1485924269225152
Gate piecewise low=0 mid=0.6 high=0.6 temp=1,0.32752850090794994,0.16802255692955353,0.5424488029378729,0.2937232150004234,0.46488888888888896,0.2712934909570671,0.24487385815110196,0.1787649133250414
Gate piecewise low=0 mid=0.6 high=0.8 temp=1,0.2656938892529218,0.15511362111547292,0.4505554122820435,0.2918046196543782,0.3921777777777778,0.2530534451181006,0.20884474160427732,0.1678377207400721
Gate piecewise low=0 mid=0.6 high=0.9 temp=1,0.22841267079774086,0.14638158691724215,0.3929213055334367,0.2855640556075834,0.34044444444444444,0.2370949466916662,0.18299504030161537,0.16026510735682292
Gate piecewise low=0 mid=0.6 high=1 temp=1,0.19133401191096375,0.13536841350685905,0.33459224301866985,0.27591764285040454,0.28284444444444445,0.21743927384084952,0.15359393459696255,0.15005270906822393
Gate piecewise low=0 mid=0.8 high=0.8 temp=1,0.2646850840322262,0.15465105128948659,0.45087607031515464,0.2918296543577319,0.3931555555555556,0.25370238345747204,0.20912759266807174,0.1670308920060932
Gate piecewise low=0 mid=0.8 high=0.9 temp=1,0.22791432983319387,0.14608202027093162,0.3936562227706101,0.28618562972938655,0.3409777777777778,0.237902851809463,0.18305980964352822,0.15969660890456425
