model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0.1 mid=0.8 high=0.8 temp=1,0.3222637856520607,0.1673378460890428,0.5315780342849732,0.2915001623039611,0.456,0.26833921412590733,0.24069599182751517,0.17457589090158757,0.6756196549240798,0.11518545255648546,0.7123621877105767,0.10403966380378639,0.7200217061724773,0.1299976844803586,0.5157226738049037,0.5195946566529772,0.522360788050332
Gate piecewise low=0.1 mid=0.8 high=0.9 temp=1,0.2920015426354699,0.16218115453357856,0.49194955933406814,0.2942540935146479,0.4206222222222223,0.2586952148032365,0.22402618209985378,0.17008052747148628,0.6778804372329921,0.11612386382264105,0.71307037370402,0.10402461167537597,0.7186535404111346,0.1298612298716864,0.5156692649808285,0.5194306119249772,0.5223776027800353
Gate piecewise low=0.1 mid=0.8 high=1 temp=1,0.2580974432127702,0.15592693008594127,0.44363198575063256,0.2931470772952458,0.37733333333333335,0.24681685128336878,0.20221515907101237,0.1656702419761134,0.6789838155725757,0.11654960017330886,0.7128730409001244,0.10427666444043408,0.7156325326684795,0.12886721775889595,0.5153356807171832,0.5189557463258467,0.521817111789928
Gate piecewise low=0.1 mid=0.9 high=0.9 temp=1,0.2913119137685987,0.16194361768994234,0.49194955933406814,0.2942540935146479,0.4206222222222223,0.2586952148032365,0.22402618209985378,0.17008052747148628,0.6747049146432527,0.11449471162561613,0.7113162929142411,0.10330053536491605,0.7182881761974034,0.12943780547580866,0.515389191482982,0.5191934041446543,0.5224784911582546
Gate piecewise low=0.1 mid=0.9 high=1 temp=1,0.2576569872073762,0.15572980627321645,0.44363549699763977,0.29314253526929046,0.37760000000000005,0.2473575285327327,0.20226637834781463,0.16566313973312904,0.6757637269725628,0.11516544702049201,0.710966913971346,0.1035913917221512,0.7152517535638286,0.1285268994703464,0.5150829213182777,0.518727614237756,0.5219292099879494
Gate piecewise low=0.2 mid=0.2 high=0.6 temp=1,0.34885139529194914,0.17225633959850498,0.5408196587874871,0.2934262703024521,0.4674666666666667,0.26803046896745103,0.24633277461821562,0.17659435904776272,0.6838114840485076,0.11948125497618244,0.7166191230703115,0.10680895600635783,0.7170559601554425,0.12980631649293475,0.5207386765782024,0.5195000812411574,0.5274332315108035
Gate piecewise low=0.2 mid=0.2 high=0.8 temp=1,0.288755820973151,0.15850652815687646,0.44462337873566565,0.28509917851634825,0.3899555555555556,0.2450758147432372,0.20908714264424755,0.16930852617743414,0.6893284719884226,0.11976900350746797,0.7194791858394228,0.10693502185965457,0.7180424897790538,0.1281006241093031,0.5210089958709667,0.5189836693145736,0.52647479191772
Gate piecewise low=0.2 mid=0.2 high=0.9 temp=1,0.2547688715388795,0.15055877078973298,0.38667291590286934,0.277587543650253,0.34417777777777775,0.23270823084744716,0.18466936010562662,0.15989287374528396,0.6902159730374862,0.11924863148254825,0.7185801432511664,0.10680782998965217,0.7166186244404172,0.12765998798344388,0.520954391862646,0.5184449789773761,0.5265756802959393
Gate piecewise low=0.2 mid=0.2 high=1 temp=1,0.22079621728498985,0.14186354066130877,0.33268557448058733,0.2678476584034049,0.2970666666666667,0.21983052365559425,0.15851128194913,0.15167274938754588,0.6895199117479245,0.11824364069906688,0.7163276176432725,0.10675133015203832,0.7135776257159021,0.12657414836720562,0.5206955094417046,0.5177885096674925,0.5260376089454362
Gate piecewise low=0.2 mid=0.4 high=0.6 temp=1,0.38260910714989566,0.17926724439768327,0.6019007266879662,0.29444609832513335,0.5074666666666667,0.2822976910145977,0.26448312566211,0.1811018759650369,0.6793298001515569,0.11793169464398401,0.7138867001789464,0.10570122534762523,0.7190405483222624,0.13099235531389428,0.5186595419810661,0.5195952610582665,0.5260263991256341
Gate piecewise low=0.2 mid=0.4 high=0.8 temp=1,0.3419219718729504,0.17028633187845363,0.5523951508363897,0.2909463953042824,0.46817777777777775,0.2682044519527461,0.2469478918053781,0.1765768778411604,0.6862636767873228,0.11943644572017424,0.7188031630779523,0.10602657866674361,0.7198970114136828,0.12941489529363615,0.5190896893251282,0.5199471593801717,0.5250791693523527
Gate piecewise low=0.2 mid=0.4 high=0.9 temp=1,0.310602340817746,0.16500311936077688,0.5098052442125344,0.29159357755375087,0.42968888888888884,0.2584545336849353,0.22829189789967985,0.17121340937577867,0.6884521701116937,0.12008468933338062,0.7195762428141363,0.10640442672893968,0.7185366209043632,0.12922316700581682,0.519106719090609,0.5197210015038585,0.5251464282711655
