model,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std
Gate piecewise low=0.1 mid=0.6 high=0.9 temp=1,0.6840610277682135,0.1186739791249154,0.7170455570465656,0.10546431097980917,0.7186084816499506,0.12969299293686215
Gate piecewise low=0.1 mid=0.6 high=1 temp=1,0.6848635499761979,0.11884143506036475,0.7167976372191351,0.10572283298089377,0.7154546346874856,0.12864625325970772
Gate piecewise low=0.1 mid=0.8 high=0.8 temp=1,0.6756196549240798,0.11518545255648546,0.7123621877105767,0.10403966380378639,0.7200217061724773,0.1299976844803586
Gate piecewise low=0.1 mid=0.8 high=0.9 temp=1,0.6778804372329921,0.11612386382264105,0.71307037370402,0.10402461167537597,0.7186535404111346,0.1298612298716864
Gate piecewise low=0.1 mid=0.8 high=1 temp=1,0.6789838155725757,0.11654960017330886,0.7128730409001244,0.10427666444043408,0.7156325326684795,0.12886721775889595
Gate piecewise low=0.1 mid=0.9 high=0.9 temp=1,0.6747049146432527,0.11449471162561613,0.7113162929142411,0.10330053536491605,0.7182881761974034,0.12943780547580866
Gate piecewise low=0.1 mid=0.9 high=1 temp=1,0.6757637269725628,0.11516544702049201,0.710966913971346,0.1035913917221512,0.7152517535638286,0.1285268994703464
Gate piecewise low=0.2 mid=0.2 high=0.6 temp=1,0.6838114840485076,0.11948125497618244,0.7166191230703115,0.10680895600635783,0.7170559601554425,0.12980631649293475
Gate piecewise low=0.2 mid=0.2 high=0.8 temp=1,0.6893284719884226,0.11976900350746797,0.7194791858394228,0.10693502185965457,0.7180424897790538,0.1281006241093031
Gate piecewise low=0.2 mid=0.2 high=0.9 temp=1,0.6902159730374862,0.11924863148254825,0.7185801432511664,0.10680782998965217,0.7166186244404172,0.12765998798344388
Gate piecewise low=0.2 mid=0.2 high=1 temp=1,0.6895199117479245,0.11824364069906688,0.7163276176432725,0.10675133015203832,0.7135776257159021,0.12657414836720562
Gate piecewise low=0.2 mid=0.4 high=0.6 temp=1,0.6793298001515569,0.11793169464398401,0.7138867001789464,0.10570122534762523,0.7190405483222624,0.13099235531389428
Gate piecewise low=0.2 mid=0.4 high=0.8 temp=1,0.6862636767873228,0.11943644572017424,0.7188031630779523,0.10602657866674361,0.7198970114136828,0.12941489529363615
Gate piecewise low=0.2 mid=0.4 high=0.9 temp=1,0.6884521701116937,0.12008468933338062,0.7195762428141363,0.10640442672893968,0.7185366209043632,0.12922316700581682
Gate piecewise low=0.2 mid=0.4 high=1 temp=1,0.6890799508077868,0.11999133153648421,0.7190853035203764,0.10661935049923461,0.7154676006544474,0.12815786184440184
Gate piecewise low=0.2 mid=0.6 high=0.6 temp=1,0.6739842614850718,0.11564193046167384,0.7105334703625755,0.10452785506979065,0.7195162002474893,0.13127173155183283
Gate piecewise low=0.2 mid=0.6 high=0.8 temp=1,0.6806816878472466,0.11808091892674441,0.7151774790347675,0.10518188997127417,0.7204022122912187,0.1300518405870787
Gate piecewise low=0.2 mid=0.6 high=0.9 temp=1,0.6833227520191119,0.11896993495668845,0.7166253673955917,0.1053733975847308,0.7190751060581024,0.12988546709551735
Gate piecewise low=0.2 mid=0.6 high=1 temp=1,0.6845939560075073,0.11947907418327158,0.7168797367766874,0.10574552533771915,0.7159212590956373,0.12896491549982386
Gate piecewise low=0.2 mid=0.8 high=0.8 temp=1,0.6747832306519523,0.11502971819237376,0.7116096362427636,0.10365839541958644,0.7204592431986245,0.13020713662289918
Gate piecewise low=0.2 mid=0.8 high=0.9 temp=1,0.6772257032187842,0.11629180641990762,0.7126330440667231,0.10384473629487012,0.719091077437282,0.1301480760871702
Gate piecewise low=0.2 mid=0.8 high=1 temp=1,0.678797763338779,0.11705255233303688,0.7129699709770478,0.10422576553444711,0.7160700696946269,0.12928805751125982
Gate piecewise low=0.2 mid=0.9 high=0.9 temp=1,0.6741245338704323,0.1147187280583871,0.7108996067929747,0.10315012437755189,0.7187703257027763,0.12981668294221177
Gate piecewise low=0.2 mid=0.9 high=1 temp=1,0.6756520279801536,0.11571186334009559,0.7110854969241737,0.10356084545292857,0.7157339030692019,0.12904509031388037
Gate piecewise low=0.3 mid=0.4 high=0.6 temp=1,0.678064432932809,0.11714832658975527,0.7130562896164653,0.10538419519851128,0.7191066327673552,0.1307509012762531
Gate piecewise low=0.3 mid=0.4 high=0.8 temp=1,0.6845474966868195,0.11866180955418965,0.7176586007897628,0.10563386298720363,0.7199630958587756,0.12915188549861475
Gate piecewise low=0.3 mid=0.4 high=0.9 temp=1,0.686782892552856,0.11926253393774977,0.718468286064035,0.10588048824683358,0.7186027053494562,0.12900830752616915
Gate piecewise low=0.3 mid=0.4 high=1 temp=1,0.6874603130926953,0.1193234355302689,0.7180436349990705,0.10621030723516368,0.7155336850995403,0.1279990151500526
Gate piecewise low=0.3 mid=0.6 high=0.6 temp=1,0.6730377700847118,0.11508498890263333,0.7098165852853305,0.10420498045501464,0.719538011659877,0.13133500105596724
Gate piecewise low=0.3 mid=0.6 high=0.8 temp=1,0.6792843835651311,0.11757734083096698,0.7141659002698773,0.104813239228155,0.7204240237036063,0.130080779834541
Gate piecewise low=0.3 mid=0.6 high=0.9 temp=1,0.6819723502786618,0.11842628231039598,0.7156781974225102,0.10481804327622743,0.71909691747049,0.12995157916133418
Gate piecewise low=0.3 mid=0.6 high=1 temp=1,0.6832931941108038,0.11913210438497424,0.7160607645562124,0.105312906368665,0.7159430705080249,0.1290877558914489
Gate piecewise low=0.3 mid=0.8 high=0.8 temp=1,0.6735445189467434,0.11487944814247625,0.71063609087228,0.10344135071549365,0.7204170196583212,0.13019317639308323
Gate piecewise low=0.3 mid=0.8 high=0.9 temp=1,0.6760338940552406,0.11611258892281451,0.7117137953099912,0.10343453959433348,0.7190488538969788,0.13017008404359362
Gate piecewise low=0.3 mid=0.8 high=1 temp=1,0.6776555940189818,0.11707470683885515,0.7122106336937665,0.10398965560758487,0.7160278461543236,0.12935900265590136
Gate piecewise low=0.3 mid=0.9 high=0.9 temp=1,0.6730398638365044,0.11456652561998355,0.7100112771303049,0.10275371113100064,0.7187207765622863,0.12986009818220878
Gate piecewise low=0.3 mid=0.9 high=1 temp=1,0.6746169977899718,0.11573758321534222,0.7103556550208046,0.10332510891369356,0.7156843539287117,0.12913665844832464
Gate piecewise low=0.4 mid=0.4 high=0.6 temp=1,0.676526811190968,0.1164559341676329,0.7121231212847845,0.10509443425326084,0.7188655187049887,0.13098162559868484
Gate piecewise low=0.4 mid=0.4 high=0.8 temp=1,0.6831140862809658,0.1179658018754239,0.7167457304898396,0.10537335968377205,0.7197219817964087,0.12937298443321923
Gate piecewise low=0.4 mid=0.4 high=0.9 temp=1,0.6850489916091944,0.11855579157741569,0.7173777836129606,0.10556148323690322,0.7183615912870895,0.12922205937676612
Gate piecewise low=0.4 mid=0.4 high=1 temp=1,0.6856863227009987,0.11860775667720326,0.716897896566655,0.10581053469890943,0.7152925710371735,0.12824206662366008
Gate piecewise low=0.4 mid=0.6 high=0.6 temp=1,0.6717514079141801,0.11459585791324266,0.7089332789099426,0.10399624981227577,0.7194108721936859,0.13148780137757363
Gate piecewise low=0.4 mid=0.6 high=0.8 temp=1,0.6781022327305869,0.11712496137480391,0.7133326266216002,0.10467210349999793,0.7202968842374152,0.1302474965837179
Gate piecewise low=0.4 mid=0.6 high=0.9 temp=1,0.6804897089063096,0.11796714324315441,0.7146533455607379,0.10464127377384017,0.7189697780042991,0.13010680522718632
Gate piecewise low=0.4 mid=0.6 high=1 temp=1,0.6817704632904162,0.11866007266724274,0.715021910919361,0.10498507512614637,0.7158159310418339,0.12927540398639253
Gate piecewise low=0.4 mid=0.8 high=0.8 temp=1,0.6726051613946996,0.11473479653613038,0.7098894634486781,0.10339805370637645,0.7201536819742257,0.13047254815015197
Gate piecewise low=0.4 mid=0.8 high=0.9 temp=1,0.6747940459653888,0.1159783911154738,0.7107690371543988,0.10337427217287597,0.7187855162128829,0.13044425843619742
Gate piecewise low=0.4 mid=0.8 high=1 temp=1,0.6763756564810947,0.11694322537580756,0.7112480983072746,0.10377221794355,0.7157645084702279,0.1296612144240396
Gate piecewise low=0.4 mid=0.9 high=0.9 temp=1,0.671825443102733,0.11445442004329644,0.7090599054855009,0.10268847141995979,0.7184516701201087,0.1301522783076317
Gate piecewise low=0.4 mid=0.9 high=1 temp=1,0.6733624876081652,0.1156192469791376,0.7093804491599451,0.10309404406840716,0.7154152474865341,0.12945338291833386
Gate piecewise low=0.5 mid=0.6 high=0.6 temp=1,0.6705760872314879,0.11382219694332744,0.7082534616887994,0.10372130984935816,0.7195824684267849,0.13133769398240683
Gate piecewise low=0.5 mid=0.6 high=0.8 temp=1,0.6769088503207312,0.1163535525353132,0.7125586450553,0.10444164488434314,0.7204684804705141,0.13013031887083204
Gate piecewise low=0.5 mid=0.6 high=0.9 temp=1,0.679339185211667,0.11719564951452316,0.7138628688844101,0.10443312752518474,0.719141374237398,0.13000028432049077
Gate piecewise low=0.5 mid=0.6 high=1 temp=1,0.6804123198928659,0.11796228713049521,0.7141303326837815,0.10479926829687732,0.7159875272749328,0.12917265687369378
Gate piecewise low=0.5 mid=0.8 high=0.8 temp=1,0.6716076940467367,0.1142097953144453,0.7091597225015376,0.10323536879353883,0.7203525913678583,0.13034837497526292
Gate piecewise low=0.5 mid=0.8 high=0.9 temp=1,0.6738394373326392,0.1154720293894375,0.710034631943651,0.10323411377964957,0.7189844256065158,0.13032502177969219
Gate piecewise low=0.5 mid=0.8 high=1 temp=1,0.6752134281454372,0.11651420761951098,0.7104137333753,0.10367595520152507,0.7159634178638608,0.12954024663815836
Gate piecewise low=0.5 mid=0.9 high=0.9 temp=1,0.6709470545089655,0.11412831289180678,0.7083432930772313,0.1026332779063404,0.7184945061607617,0.1300842657620906
Gate piecewise low=0.5 mid=0.9 high=1 temp=1,0.67227647931149,0.11537855472171717,0.7085573312592259,0.10308945794157486,0.7154580835271869,0.12938576168744922
Gate piecewise low=0.6 mid=0.6 high=0.6 temp=1,0.6694220731591541,0.11325558304988902,0.7075716755550786,0.10357871039887091,0.7194749275236024,0.13122710144007219
Gate piecewise low=0.6 mid=0.6 high=0.8 temp=1,0.6755725497993545,0.11565856578915985,0.7117746108831571,0.10422914144091264,0.7203609395673317,0.13005016548460807
Gate piecewise low=0.6 mid=0.6 high=0.9 temp=1,0.6780191785202753,0.11644719081031328,0.7130615511537369,0.1042124897266581,0.7190338333342157,0.1299353376567488
Gate piecewise low=0.6 mid=0.6 high=1 temp=1,0.6791154090992058,0.11721280567243694,0.7132786913874825,0.10461016740277422,0.7158799863717504,0.1291002940867535
Gate piecewise low=0.6 mid=0.8 high=0.8 temp=1,0.670465223343207,0.11368599885373373,0.7084330120358778,0.10301659623200488,0.7203684400007778,0.1303108444289028
Gate piecewise low=0.6 mid=0.8 high=0.9 temp=1,0.6727132604590944,0.11490981132741744,0.709299281526946,0.10300165478603464,0.7190002742394351,0.1303056981433205
Gate piecewise low=0.6 mid=0.8 high=1 temp=1,0.674110347169624,0.11594753012673975,0.7096371128108245,0.10348279427947932,0.7159792664967802,0.1295229620173717
Gate piecewise low=0.6 mid=0.9 high=0.9 temp=1,0.6699166898944969,0.11365075172758163,0.7076349704097087,0.10241948820208455,0.7185910973109427,0.1300696387361925
Gate piecewise low=0.6 mid=0.9 high=1 temp=1,0.671269210594753,0.11490699167344386,0.7078080697973445,0.1029210842147806,0.7155546746773681,0.12937585947271216
Gate piecewise low=0.7 mid=0.8 high=0.8 temp=1,0.6694250217167919,0.11310797015292097,0.707779019645799,0.10281903674365442,0.7202060921803777,0.1303048146950573
Gate piecewise low=0.7 mid=0.8 high=0.9 temp=1,0.671651416634268,0.11439235183560215,0.7086299835932356,0.10288014543077009,0.7188379264190351,0.13030463887294327
Gate piecewise low=0.7 mid=0.8 high=1 temp=1,0.6730242468629593,0.11531362477325793,0.7089068136609309,0.10326997541229271,0.7158169186763801,0.1295215355675003
Gate piecewise low=0.7 mid=0.9 high=0.9 temp=1,0.6688909152677658,0.11331525177900595,0.7069871232371627,0.10234407337085896,0.7185185735532645,0.13005179303875483
Gate piecewise low=0.7 mid=0.9 high=1 temp=1,0.6702191794861835,0.11445312451576402,0.7071002589019069,0.10274842128171935,0.7154821509196899,0.12936708407063247
Gate sigmoid low=0 mid=0 high=0.8 temp=0.5,0.6898060856990769,0.12695808651691898,0.7204076346930437,0.11125360711874305,0.7149289428208518,0.13332026077473616
Gate sigmoid low=0 mid=0 high=0.8 temp=1,0.6788232478938981,0.12406554004761171,0.7101322502712106,0.11055911510755591,0.7104247255880111,0.13545050160538796
Gate sigmoid low=0 mid=0 high=0.8 temp=2,0.670505611727514,0.1194738345046041,0.7008174831068773,0.1084827446536158,0.7072639750670235,0.13463426599397044
Gate sigmoid low=0 mid=0 high=0.9 temp=0.5,0.6913156014015193,0.12794240379432142,0.7207086620603823,0.11173548002287197,0.7137953392089751,0.1333601604098483
Gate sigmoid low=0 mid=0 high=0.9 temp=1,0.679193556608615,0.1250735438466992,0.7100174721054905,0.11118514983291619,0.7093070784675561,0.1353280846359054
Gate sigmoid low=0 mid=0 high=0.9 temp=2,0.6705328411043407,0.12015929269358917,0.7004599850666685,0.10907779357943581,0.7077070061874127,0.1351766000407946
Gate sigmoid low=0 mid=0 high=1 temp=0.5,0.6917587521216503,0.12837511157132975,0.7201323602535689,0.1121630615269312,0.7114148837310734,0.13300160700914984
Gate sigmoid low=0 mid=0 high=1 temp=1,0.6786859099180873,0.12583467658712372,0.7087099821924008,0.11162757521936884,0.707508201497407,0.1352242272714006
