model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0.3 mid=0.4 high=0.9 temp=1,0.5201252696656051,0.5193174464320519,0.5276181935375389
Gate piecewise low=0.3 mid=0.4 high=1 temp=1,0.5200952538753741,0.5189355963313526,0.5270408878177283
Gate piecewise low=0.3 mid=0.6 high=0.6 temp=1,0.5174805278290189,0.5186168729312423,0.5278199702939775
Gate piecewise low=0.3 mid=0.6 high=0.8 temp=1,0.5181911900518882,0.5194630861151764,0.5267718521424768
Gate piecewise low=0.3 mid=0.6 high=0.9 temp=1,0.5183590136171908,0.5196080500891482,0.5268335061513886
Gate piecewise low=0.3 mid=0.6 high=1 temp=1,0.5183945275848096,0.5195450251815549,0.5262393857018749
Gate piecewise low=0.3 mid=0.8 high=0.8 temp=1,0.516949639757308,0.5191232307787,0.5263795084494016
Gate piecewise low=0.3 mid=0.8 high=0.9 temp=1,0.5171871809375725,0.5194184148989253,0.5263963231791049
Gate piecewise low=0.3 mid=0.8 high=1 temp=1,0.5173004630104342,0.5195315632668954,0.5258358321889975
Gate piecewise low=0.3 mid=0.9 high=0.9 temp=1,0.5167907111964275,0.5192424163901841,0.5264299526385113
Gate piecewise low=0.3 mid=0.9 high=1 temp=1,0.5169313073682302,0.5193883055575433,0.5258806714682062
Gate piecewise low=0.4 mid=0.4 high=0.6 temp=1,0.5194168669676897,0.518458641915197,0.5298825771375725
Gate piecewise low=0.4 mid=0.4 high=0.8 temp=1,0.5201487961347254,0.5187973147323867,0.5289353473642912
Gate piecewise low=0.4 mid=0.4 high=0.9 temp=1,0.5202759457376582,0.5186064284348774,0.529002606283104
Gate piecewise low=0.4 mid=0.4 high=1 temp=1,0.5202907399321343,0.5182288389692459,0.5284253005632934
Gate piecewise low=0.4 mid=0.6 high=0.6 temp=1,0.5178454394597716,0.5180448977736383,0.5290362357425105
Gate piecewise low=0.4 mid=0.6 high=0.8 temp=1,0.5187490261590779,0.518873005918653,0.5279881175910097
Gate piecewise low=0.4 mid=0.6 high=0.9 temp=1,0.5189589477293804,0.5190168438063426,0.5280497715999215
Gate piecewise low=0.4 mid=0.6 high=1 temp=1,0.5190392716817063,0.5189768106383879,0.5274556511504077
Gate piecewise low=0.4 mid=0.8 high=0.8 temp=1,0.517214041246622,0.5184386422209523,0.5271866154751562
Gate piecewise low=0.4 mid=0.8 high=0.9 temp=1,0.5174936804318863,0.5187442347094879,0.5272034302048595
Gate piecewise low=0.4 mid=0.8 high=1 temp=1,0.5176517724894549,0.5189024591495389,0.5266429392147521
Gate piecewise low=0.4 mid=0.9 high=0.9 temp=1,0.5169504732761936,0.5185332386522304,0.5271754056553541
Gate piecewise low=0.4 mid=0.9 high=1 temp=1,0.5171358794327036,0.5187285543458897,0.5266261244850489
Gate piecewise low=0.5 mid=0.6 high=0.6 temp=1,0.5178655784478244,0.5174768057501232,0.5293164812375641
Gate piecewise low=0.5 mid=0.6 high=0.8 temp=1,0.5189457151753,0.5182587186473161,0.5282683630860634
Gate piecewise low=0.5 mid=0.6 high=0.9 temp=1,0.5192329522390169,0.5183916670960045,0.5283300170949752
Gate piecewise low=0.5 mid=0.6 high=1 temp=1,0.5193595455605714,0.5183383883995655,0.5277358966454614
Gate piecewise low=0.5 mid=0.8 high=0.8 temp=1,0.517459516681612,0.5178196518737208,0.5274500462405067
Gate piecewise low=0.5 mid=0.8 high=0.9 temp=1,0.5178164713602906,0.51812196395448,0.5274668609702099
Gate piecewise low=0.5 mid=0.8 high=1 temp=1,0.5180208327870884,0.518279487749195,0.5269063699801025
Gate piecewise low=0.5 mid=0.9 high=0.9 temp=1,0.5171511926032273,0.5178731477262382,0.5273883922315948
Gate piecewise low=0.5 mid=0.9 high=1 temp=1,0.5173828681289662,0.518070421167251,0.5268391110612897
Gate piecewise low=0.6 mid=0.6 high=0.6 temp=1,0.5175040121234814,0.5169015322222494,0.5296023316425188
Gate piecewise low=0.6 mid=0.6 high=0.8 temp=1,0.5186415193440362,0.51759221017833,0.5285542134910182
Gate piecewise low=0.6 mid=0.6 high=0.9 temp=1,0.5190066888135244,0.5177029101154242,0.52861586749993
Gate piecewise low=0.6 mid=0.6 high=1 temp=1,0.5192092701870348,0.5176316635855074,0.5280217470504162
Gate piecewise low=0.6 mid=0.8 high=0.8 temp=1,0.5175604110286844,0.5172488691676685,0.52762379844744
Gate piecewise low=0.6 mid=0.8 high=0.9 temp=1,0.5179952981131344,0.5175325394926018,0.5276406131771432
Gate piecewise low=0.6 mid=0.8 high=1 temp=1,0.5182756475918876,0.5176779470567956,0.5270801221870358
Gate piecewise low=0.6 mid=0.9 high=0.9 temp=1,0.5173256353907277,0.5172756148603257,0.5274444413306056
Gate piecewise low=0.6 mid=0.9 high=1 temp=1,0.5176332989684223,0.5174629434049705,0.5268951601603005
Gate piecewise low=0.7 mid=0.8 high=0.8 temp=1,0.5174253241080619,0.5167087141583931,0.5282291287167559
Gate piecewise low=0.7 mid=0.8 high=0.9 temp=1,0.5178956915460645,0.5169458834077287,0.5282459434464591
