setting,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
"lambda0=0.03, epsilon=0.75",9,0.8134024815305335,0.3026158960893728,74550,4204,75,0.44705021029400616,0.6611922441305214,0.7866666666666666,0.536,0.30201046913482926,0.4848872099349407,0.9603365104211476,0.7210995216351481,0.40230469056407336,0.884395813510942,4204
"lambda0=0.00, epsilon=0.50",0,0.8095894577942648,0.2509770493824106,74550,2889,75,0.3817645746749529,0.5664902081714058,0.5733333333333334,0.46844444444444455,0.2803384129072165,0.521279046607101,0.7838860390066106,0.5817066693066643,0.5100446567208676,0.9425406715126341,2889
"lambda0=0.00, epsilon=0.50",1,0.8444448074328289,0.32561716876398206,74550,3457,75,0.4158697995939583,0.6485492701792755,0.7333333333333333,0.5413333333333332,0.2699464535047609,0.5163553952212945,0.8672358832968116,0.6449699452201307,0.3970149186955667,0.9120624819207406,3457
"lambda0=0.00, epsilon=0.50",2,0.8095771189550989,0.333171032460564,74550,4941,75,0.4459500446115552,0.6813771151366682,0.7066666666666667,0.615111111111111,0.2426618777857811,0.5088239708084634,0.8142861675486462,0.6061099681070617,0.4183404341651451,0.9348310058692573,4941
"lambda0=0.00, epsilon=0.50",3,0.8120894800346674,0.2548851965019928,74550,3098,75,0.39906459889381113,0.6033596009717296,0.7333333333333333,0.4826666666666667,0.2932293438847549,0.5575076172446143,0.8248415909053767,0.5938982583769988,0.48720224103030374,0.9289864428663654,3098
"lambda0=0.00, epsilon=0.50",4,0.8501949970740786,0.3442927020111726,74550,2835,75,0.4293432956857304,0.6601401543308886,0.8,0.5351111111111111,0.2880445196231105,0.3607587967474644,0.9231751593071253,0.6624428258791593,0.27766533559433293,0.9075837742504409,2835
"lambda0=0.00, epsilon=0.50",5,0.7631995791299317,0.26483663207586744,74550,4453,75,0.39766687453684874,0.6147678637859461,0.64,0.5475555555555555,0.2586370880856478,0.4650573559959372,0.9325527344386267,0.6988415810169328,0.37722831803055623,0.8919829328542556,4453
"lambda0=0.00, epsilon=0.50",6,0.8061589067450957,0.30645913806577263,74550,4083,75,0.42379605956949173,0.6516755546897065,0.7866666666666666,0.5564444444444444,0.27282913505879347,0.48598254555948833,0.8613497618172682,0.6466101224066841,0.42815954732640094,0.9137888807249571,4083
"lambda0=0.00, epsilon=0.50",7,0.7971924330867924,0.25504733122818474,74550,4023,75,0.37884178551276476,0.5735289518065421,0.64,0.48266666666666663,0.24708549245988176,0.4274508872310074,0.8718891578202954,0.6674608282268921,0.39911327392793705,0.9142431021625652,4023
"lambda0=0.00, epsilon=0.50",8,0.8122211188583431,0.27502640367575615,74550,3088,75,0.383939911476311,0.5976498845697061,0.6933333333333334,0.4951111111111111,0.27702506876184396,0.43436627555816576,0.9813614301385192,0.7110257869866228,0.34462856481636694,0.8785621761658031,3088
"lambda0=0.00, epsilon=0.50",9,0.7883924678217547,0.29127890574704535,74550,4204,75,0.432816513744572,0.6569745639655267,0.72,0.5351111111111112,0.3052767078285296,0.48415443569643496,0.825040825520612,0.6375160724576828,0.43852189381247975,0.9298287345385348,4204
"lambda0=0.01, epsilon=0.50",0,0.8153157141372944,0.2581208954401592,74550,2889,75,0.38015240452416715,0.5703419960318565,0.64,0.47111111111111115,0.2824345463779995,0.5066926704745353,1.1482269035613173,0.7928657100950818,0.4129462851479784,0.8528902734510211,2889
"lambda0=0.01, epsilon=0.50",1,0.8270126203032016,0.3014948972409457,74550,3457,75,0.4110028315038323,0.6546278900118633,0.7333333333333333,0.5422222222222223,0.2693076116167865,0.4766150309677783,1.0008394138854426,0.7217820960385005,0.3849324695502706,0.8802429852473242,3457
"lambda0=0.01, epsilon=0.50",2,0.8251443256198545,0.3531944772919485,74550,4941,75,0.4397083334437059,0.6899786714718413,0.7733333333333333,0.608,0.24037347749498872,0.4635627462526507,0.9497630834411268,0.6946702392399009,0.4105207166500958,0.899210686095932,4941
"lambda0=0.01, epsilon=0.50",3,0.8270145136100976,0.27642205196514946,74550,3098,75,0.39972003818769564,0.6216943876757339,0.76,0.48,0.2882845814242253,0.5136191795365268,1.1318631391983769,0.7690482445114116,0.4152943464629413,0.8576500968366688,3098
"lambda0=0.01, epsilon=0.50",4,0.8531999423054292,0.329080901535732,74550,2835,75,0.4280609059894204,0.6507284340596466,0.7733333333333333,0.5377777777777778,0.29190503825517977,0.3989420066335193,0.9837917964197271,0.702935619160822,0.33727645305514153,0.8938271604938272,2835
"lambda0=0.01, epsilon=0.50",5,0.7515177718459821,0.2604800629851303,74550,4453,75,0.38613978039786523,0.6117055178339806,0.5866666666666667,0.5315555555555556,0.2481708394552623,0.4873121627550598,1.2997145382307889,0.9377448570586419,0.39765253251964694,0.8075454749607006,4453
"lambda0=0.01, epsilon=0.50",6,0.8043818465619388,0.3106696514662305,74550,4083,75,0.4255781583478971,0.6621723989391238,0.7866666666666666,0.5493333333333333,0.27039793766264564,0.5348669991167231,0.9744887521195095,0.7040303724231949,0.4631992929674372,0.9096252755326966,4083
"lambda0=0.01, epsilon=0.50",7,0.8016705001158477,0.271723979748502,74550,4023,75,0.3695642392972411,0.5588812111113618,0.6133333333333333,0.48800000000000004,0.25185146305481915,0.4230855019413216,0.9888250120315788,0.7389036425600709,0.4305482426768137,0.8918717375093214,4023
"lambda0=0.01, epsilon=0.50",8,0.815900492442594,0.2856377515354042,74550,3088,75,0.38519838907960247,0.5850841881642886,0.68,0.49866666666666665,0.2779877879958165,0.4804454624838227,1.0966435785083364,0.7781150791543135,0.4352859548250987,0.8617227979274611,3088
"lambda0=0.01, epsilon=0.50",9,0.8100755355011168,0.2894428284841929,74550,4204,75,0.44632269059285684,0.6642559442882522,0.8266666666666667,0.5271111111111112,0.30051419658242023,0.47350556453391607,0.9584892249002758,0.7218805046505751,0.40935954149491927,0.8922454804947669,4204
"lambda0=0.10, epsilon=0.50",0,0.8147258561036985,0.25089578240371035,74550,2889,75,0.3784027172858985,0.561981670675091,0.6266666666666667,0.4720000000000001,0.2860500413920056,0.47241646499554607,1.3785651819886264,0.9785088682801882,0.33216798029729455,0.7618553132571824,2889
"lambda0=0.10, epsilon=0.50",1,0.8453145547728266,0.3172902718891934,74550,3457,75,0.41453624667200806,0.6543406032182358,0.72,0.5386666666666667,0.26630285204144305,0.4959285042976694,1.2094397674515869,0.8475199128493843,0.36139310860313323,0.8226786230835985,3457
"lambda0=0.10, epsilon=0.50",2,0.8266574803035253,0.37307915534337716,74550,4941,75,0.4391959329853332,0.6840274683486995,0.7066666666666667,0.6088888888888888,0.23917605123144658,0.41919936327931595,1.3954385692381217,0.9890345065513136,0.32812510433238884,0.806314511232544,4941
"lambda0=0.10, epsilon=0.50",3,0.8172713097683044,0.2634340101007601,74550,3098,75,0.400884052985141,0.607210253677175,0.76,0.4897777777777777,0.29503049970727735,0.42452811757441605,1.4504079539306725,1.004117217734985,0.31245619772929034,0.776630083925113,3098
