drug_local_idx,model,AP,nDCG@10,P@15,R@15
91,debias pop0.05 no-res,0.5067368132287398,0.9337457765456111,0.7333333333333333,0.23404255319148937
92,debias pop0.05 no-res,0.47749842906952084,0.9363792118010483,0.8666666666666667,0.18309859154929578
93,debias pop0.05 no-res,0.3867973939919174,0.7630946912803437,0.6,0.18
94,debias pop0.05 no-res,0.5989337227267121,0.8357804136936722,0.7333333333333333,0.5
95,debias pop0.05 no-res,0.11069013151315132,0.227804435066758,0.13333333333333333,0.4
96,debias pop0.05 no-res,0.4678115441908217,0.92663607790064,0.8666666666666667,0.2
97,debias pop0.05 no-res,0.45218340367501286,0.7859162856301584,0.6666666666666666,0.06097560975609756
98,debias pop0.05 no-res,0.6301711663923906,1.0,0.9333333333333333,0.09929078014184398
99,debias pop0.05 no-res,0.5341851920691991,0.7975167679274939,0.6666666666666666,0.3448275862068966
100,debias pop0.05 no-res,0.6032628433899042,1.0,0.8666666666666667,0.21311475409836064
101,debias pop0.05 no-res,0.3520815716417932,0.6968404678259547,0.4666666666666667,0.16666666666666666
102,debias pop0.05 no-res,0.4696068442642227,0.6500332220485792,0.7333333333333333,0.34375
103,debias pop0.05 no-res,0.5125870692111607,0.8205228949141828,0.8666666666666667,0.26
104,debias pop0.05 no-res,0.758225984541774,0.8006937664098821,0.5333333333333333,0.7272727272727273
105,debias pop0.05 no-res,0.46808362411307886,0.6698623505528799,0.7333333333333333,0.2391304347826087
106,debias pop0.05 no-res,0.2602910723765492,0.4073174795910972,0.4,0.2857142857142857
107,debias pop0.05 no-res,0.6181767648693719,0.7870111744655099,0.26666666666666666,0.8
108,debias pop0.05 no-res,0.5874964218062221,1.0,1.0,0.2830188679245283
109,debias pop0.05 no-res,0.20185428939627814,0.2863459897524693,0.2,0.3
110,debias pop0.05 no-res,0.32262193370063624,0.6547216238913565,0.5333333333333333,0.25806451612903225
111,debias pop0.05 no-res,0.03731601578499384,0.0,0.06666666666666667,0.1111111111111111
112,debias pop0.05 no-res,0.2999464207811027,0.5766882048947065,0.3333333333333333,0.29411764705882354
113,debias pop0.05 no-res,0.6387142201635528,1.0,1.0,0.17647058823529413
114,debias pop0.05 no-res,0.575494587579215,0.7967610662472993,0.5333333333333333,0.1951219512195122
115,debias pop0.05 no-res,0.5622100786939428,0.9363792118010483,0.7333333333333333,0.14473684210526316
116,debias pop0.05 no-res,0.37427521879236353,0.7791714369672128,0.6666666666666666,0.23255813953488372
117,debias pop0.05 no-res,0.4043089916709497,0.6149518506608848,0.6666666666666666,0.2127659574468085
118,debias pop0.05 no-res,0.015579289090411902,0.0,0.0,0.0
119,debias pop0.05 no-res,0.28886031952867564,0.5677211578528084,0.3333333333333333,0.21739130434782608
120,debias pop0.05 no-res,0.6152206152598593,0.8572048559638626,0.7333333333333333,0.2972972972972973
121,debias pop0.05 no-res,0.07142543640703096,0.20483424751859092,0.13333333333333333,0.08695652173913043
122,debias pop0.05 no-res,0.6021339393332155,1.0,1.0,0.11811023622047244
123,debias pop0.05 no-res,0.040093819663591455,0.0,0.06666666666666667,0.16666666666666666
124,debias pop0.05 no-res,0.7103555654727218,0.9363792118010483,0.7333333333333333,0.55
125,debias pop0.05 no-res,0.4991775472073167,1.0,0.8666666666666667,0.07692307692307693
126,debias pop0.05 no-res,0.5404175654830048,0.6036081270984909,0.6,0.5625
127,debias pop0.05 no-res,0.6764244516990241,1.0,0.8666666666666667,0.3939393939393939
128,debias pop0.05 no-res,0.4939871509211447,0.718362797268624,0.4,0.3
129,debias pop0.05 no-res,0.3979036557469715,0.8643145546088339,0.6,0.20454545454545456
130,debias pop0.05 no-res,0.29625631525668134,0.38391202314388534,0.2,0.375
131,debias pop0.05 no-res,0.03746555216658911,0.0,0.0,0.0
132,debias pop0.05 no-res,0.17687829233781582,0.39794789654359625,0.4,0.1935483870967742
133,debias pop0.05 no-res,0.5864841519155731,0.8701249883466594,0.6666666666666666,0.1694915254237288
134,debias pop0.05 no-res,0.5682563045667203,0.9363792118010483,0.8,0.14285714285714285
135,debias pop0.05 no-res,0.28149977892032874,0.443496354740707,0.2,0.3333333333333333
136,debias pop0.05 no-res,0.2666004047579873,0.4779671403625729,0.3333333333333333,0.3125
137,debias pop0.05 no-res,0.6704184576916993,0.9363792118010483,0.8666666666666667,0.25
138,debias pop0.05 no-res,0.34315974233959556,0.48153499054313037,0.4,0.4
139,debias pop0.05 no-res,0.21204531902206322,0.3156484524795145,0.13333333333333333,0.4
140,debias pop0.05 no-res,0.535903282408743,0.7411902110103873,0.8,0.05217391304347826
141,debias pop0.05 no-res,0.6091622380382038,1.0,1.0,0.11627906976744186
142,debias pop0.05 no-res,0.5434988096086968,1.0,1.0,0.21428571428571427
143,debias pop0.05 no-res,0.346222532321193,0.8200685179888284,0.6666666666666666,0.15384615384615385
144,debias pop0.05 no-res,0.12131753725441916,0.35969100690634187,0.26666666666666666,0.10526315789473684
145,debias pop0.05 no-res,0.6782855152280554,0.747935059673333,0.6666666666666666,0.625
146,debias pop0.05 no-res,0.157425452394223,0.22119341301481268,0.2,0.21428571428571427
147,debias pop0.05 no-res,0.5280376645109015,0.9337457765456111,0.8,0.18461538461538463
148,debias pop0.05 no-res,0.5801409955398139,0.8611375561264456,0.9333333333333333,0.05555555555555555
149,debias pop0.05 no-res,0.7700091800191127,0.7788065869851875,0.6666666666666666,0.7692307692307693
150,debias pop0.05 no-res,0.2940852454086382,0.5107164012496702,0.3333333333333333,0.29411764705882354
151,debias pop0.05 no-res,0.5469235860108106,1.0,0.9333333333333333,0.22580645161290322
152,debias pop0.05 no-res,0.5766303198999639,0.8364586133797037,0.8,0.1935483870967742
153,debias pop0.05 no-res,0.5285771467415726,0.6489315753318466,0.4666666666666667,0.28
154,debias pop0.05 no-res,0.5520056684025544,0.7788065869851875,0.6666666666666666,0.3225806451612903
155,debias pop0.05 no-res,0.37431858693031156,0.6816604510406282,0.6,0.2903225806451613
156,debias pop0.05 no-res,0.3455542680288919,0.35623158861460097,0.4,0.42857142857142855
157,debias pop0.05 no-res,0.31950935865468405,0.8630152897016883,0.6666666666666666,0.2702702702702703
158,debias pop0.05 no-res,0.1470107603594535,0.1100458831490401,0.2,0.08571428571428572
159,debias pop0.05 no-res,0.6040274945397784,0.718362797268624,0.7333333333333333,0.5
160,debias pop0.05 no-res,0.5830764830380741,1.0,1.0,0.06521739130434782
161,debias pop0.05 no-res,0.4594254706526535,1.0,0.9333333333333333,0.19718309859154928
162,debias pop0.05 no-res,0.45063165911357983,0.826813366651774,0.8,0.06417112299465241
163,debias pop0.05 no-res,0.2080537409041569,0.314880130667631,0.13333333333333333,0.2
164,debias pop0.05 no-res,0.7088235557980238,1.0,0.9333333333333333,0.14583333333333334
165,debias pop0.05 no-res,0.047577237739281596,0.0901000086523677,0.06666666666666667,0.125
166,debias pop0.05 no-res,0.5480305406418025,0.9305687780632229,0.8666666666666667,0.14942528735632185
167,debias pop0.05 no-res,0.43381006559608093,0.8643145546088339,0.7333333333333333,0.16666666666666666
168,debias pop0.05 no-res,0.4664168052979361,0.92663607790064,0.8666666666666667,0.12037037037037036
169,debias pop0.05 no-res,0.5078575277634301,0.718362797268624,0.6,0.21951219512195122
170,debias pop0.05 no-res,0.6977264710598045,0.7545912946607471,0.4666666666666667,0.7777777777777778
171,debias pop0.05 no-res,0.41031287577235936,0.7630946912803437,0.4666666666666667,0.35
172,debias pop0.05 no-res,0.325830164150759,0.6496872770120412,0.4666666666666667,0.1320754716981132
173,debias pop0.05 no-res,0.4009607440472196,0.9337457765456111,0.6666666666666666,0.15151515151515152
174,debias pop0.05 no-res,0.4692746877628477,1.0,0.8666666666666667,0.19402985074626866
175,debias pop0.05 no-res,0.5584367487791602,0.6780494608112013,0.5333333333333333,0.5714285714285714
176,debias pop0.05 no-res,0.19706226249634612,0.23877292085081495,0.2,0.5
177,debias pop0.05 no-res,0.6642671768177841,0.7951657524814092,0.5333333333333333,0.6153846153846154
178,debias pop0.05 no-res,0.5159806064342243,0.7125523635307983,0.6666666666666666,0.17857142857142858
179,debias pop0.05 no-res,0.5139804215077703,0.9337457765456111,0.9333333333333333,0.25
180,debias pop0.05 no-res,0.4188873769771845,0.5709662133861838,0.2,0.5
181,debias pop0.05 no-res,0.354899818327244,0.35969100690634187,0.5333333333333333,0.5714285714285714
182,debias pop0.05 no-res,0.5319709500037927,0.6489315753318466,0.3333333333333333,0.5
