group,model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
middle,matched-BPR pop0.05 no-res,0.08586446626231771,0.11976573368355502,191,0.07807992496018577,0.16227603918766817,191,0.06282722513089005,0.11263629738591945,191,0.07871193063144268,0.14643065272139683,191
middle,matched-BPR pop0.05 residual,0.08154163668388724,0.09710579360338878,191,0.07851519847096569,0.14834252941843612,191,0.06701570680628273,0.11717880218632702,191,0.10356542971550459,0.20126181018261163,191
middle,matched-BPR pop0.10 no-res,0.0889426227221484,0.12046555827009117,191,0.0813836939312283,0.1628605439415635,191,0.06282722513089005,0.11242842995914464,191,0.08586601468430283,0.17027030588582695,191
rare,CAFNet,0.0650816675159998,0.11775633984221211,162,0.07660257029892845,0.16278445834017938,162,0.03909465020576132,0.07035160114372857,162,0.11956572956159073,0.22743687383773023,162
rare,CAFNet-D full,0.055829247070125945,0.10354299490028637,162,0.05651646084749891,0.14835485350126698,162,0.034567901234567905,0.07135568706936626,162,0.09448609652214027,0.2053182784401649,162
rare,Global popularity,0.024632841078387868,0.03194558886791276,162,0.03571208423800401,0.11485932531739466,162,0.023868312757201648,0.06109978215113429,162,0.046749169511348006,0.1301383043297956,162
rare,debias pop0.02 no-res,0.03764272695046076,0.07140972613357896,162,0.03515897400450288,0.10900873985538627,162,0.015637860082304528,0.047311842948430875,162,0.040137864838373345,0.11674441656241476,162
rare,debias pop0.02 residual,0.03603588006827269,0.0647088593708578,162,0.029942863486977386,0.09476214228405479,162,0.016872427983539096,0.04223678914424341,162,0.0543198681793014,0.16084809079131634,162
rare,debias pop0.05 no-res,0.036881359432237686,0.06846774055318842,162,0.027099804342262307,0.09532994483506403,162,0.01810699588477366,0.043341895225526235,162,0.05714153388899672,0.17307662577531913,162
rare,debias weighted rb1.5,0.037194647782958355,0.0660423014087692,162,0.025298899496033107,0.09256604790744419,162,0.015637860082304528,0.038281374365004284,162,0.045394464021503524,0.1363467003692073,162
rare,debias weighted rb2.0,0.03134050530422682,0.041473559433149114,162,0.02455628646741803,0.07458096176268467,162,0.01440329218106996,0.039120161935242106,162,0.04755450251251285,0.1618727306895031,162
rare,matched-BPR pop0.05 no-res,0.033213556885418716,0.05554010515674246,162,0.02412035756518386,0.08132249378669172,162,0.014814814814814817,0.041370583628782175,162,0.04031402524873238,0.14721506568552192,162
rare,matched-BPR pop0.05 residual,0.03469643905744455,0.06239712993163454,162,0.025946150049198015,0.0891387041173314,162,0.015637860082304528,0.03755333717901125,162,0.04396166287965181,0.13413061029265072,162
rare,matched-BPR pop0.10 no-res,0.037901526306081866,0.06954132674211223,162,0.029182237743866517,0.09828414796520184,162,0.016872427983539096,0.05217781796029761,162,0.04776532801184691,0.15476536656237141,162
