drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
122,debias weighted rb2.0,0.5804451608903218,0.6512391881382394,0.6661417322834645,0.22294782458503884
122,matched-BPR pop0.05 no-res,0.6321656643313286,0.6839687675435475,0.7433070866141732,0.5582720842234439
122,matched-BPR pop0.10 no-res,0.6254448508897018,0.6783614531195012,0.7464566929133858,0.524881603687591
122,matched-BPR pop0.05 residual,0.5855911711823423,0.6426517863827121,0.6614173228346457,0.3888830047680109
122,Global popularity,0.5908053816107632,0.6795166010027648,0.6283464566929133,0.06612073490813648
123,CAFNet,0.5722222222222222,0.6884806386575254,0.5666666666666667,0.5082487265268961
123,CAFNet-D full,0.7111111111111111,0.7518465194935783,0.7333333333333333,2.1026116371154786
123,debias pop0.02 no-res,0.5166666666666666,0.6288930976430975,0.5333333333333333,0.12349343411624429
123,debias pop0.05 no-res,0.43333333333333335,0.5502895024953848,0.43333333333333335,-0.23275183811783787
123,debias pop0.02 residual,0.4388888888888889,0.5658939014202172,0.4,-0.15331135075539346
123,debias weighted rb1.5,0.42777777777777776,0.5483159858159857,0.43333333333333335,-0.2031339980661869
123,debias weighted rb2.0,0.45,0.5318814254984467,0.5333333333333333,-0.08777393512427806
123,matched-BPR pop0.05 no-res,0.5,0.5935364871535085,0.6,0.11382111720740795
123,matched-BPR pop0.10 no-res,0.3555555555555555,0.5276408389641892,0.36666666666666664,-0.3692364491522312
123,matched-BPR pop0.05 residual,0.4388888888888889,0.5651704548763372,0.43333333333333335,-0.16369462981820107
123,Global popularity,0.611111111111111,0.6862041467304625,0.5666666666666667,0.09091358024691357
124,CAFNet,0.89,0.9016435344895533,0.92,1.1821092653274536
124,CAFNet-D full,0.8975,0.9096036787984207,0.96,1.4909812930598856
124,debias pop0.02 no-res,0.7995,0.8499486836552832,0.85,0.6063623632350936
124,debias pop0.05 no-res,0.8005,0.8617362696924125,0.87,0.619642039090395
124,debias pop0.02 residual,0.8019999999999999,0.852768615183294,0.88,0.6093301385454833
124,debias weighted rb1.5,0.7855,0.8426855783624465,0.86,0.5714561676606535
124,debias weighted rb2.0,0.827,0.881367621856145,0.86,0.6312360883690417
124,matched-BPR pop0.05 no-res,0.8045,0.8635510999223499,0.85,0.8345962028205395
124,matched-BPR pop0.10 no-res,0.8280000000000001,0.8838676600268676,0.9,0.8887757861614227
124,matched-BPR pop0.05 residual,0.8069999999999999,0.8600618466395376,0.86,0.6859966162405908
124,Global popularity,0.8077500000000001,0.8730232992380451,0.85,0.22638518518518516
125,CAFNet,0.44064983719057454,0.468069559974564,0.4153846153846154,-0.266665313044596
125,CAFNet-D full,0.5222226112531074,0.5683769866617774,0.5514792899408284,0.09776493664086963
125,debias pop0.02 no-res,0.45859738804663697,0.5271371196297594,0.4236686390532544,-0.12786714807758934
125,debias pop0.05 no-res,0.4569938027379994,0.5283467447156776,0.41420118343195267,-0.12966575871756267
125,debias pop0.02 residual,0.4620916634571618,0.531864304180246,0.44970414201183434,-0.15431926248473882
125,debias weighted rb1.5,0.46473162704387105,0.5397339421284933,0.4556213017751479,-0.10472477232298907
125,debias weighted rb2.0,0.4513217324323378,0.523104528088883,0.3952662721893491,-0.10576107429296396
125,matched-BPR pop0.05 no-res,0.45644060081929905,0.5316306367749127,0.41775147928994083,-0.14089019238926778
125,matched-BPR pop0.10 no-res,0.4610973005146879,0.5313323773375819,0.42958579881656805,-0.0780762344780626
125,matched-BPR pop0.05 residual,0.4646265887048773,0.5393703005246102,0.4331360946745562,-0.08993503736585555
125,Global popularity,0.5142887153811141,0.5532055357000227,0.5136094674556213,0.020795090948937105
126,CAFNet,0.77578125,0.7260527302664392,0.85,1.1470278545282782
126,CAFNet-D full,0.8421875,0.8401156034889745,0.875,0.9367833741940558
126,debias pop0.02 no-res,0.75546875,0.7269221978163954,0.8,0.49779226100072266
126,debias pop0.05 no-res,0.8140625,0.786568297474112,0.8375,0.5821206989698112
126,debias pop0.02 residual,0.8468749999999999,0.8008650818005445,0.8625,0.5996794922975823
126,debias weighted rb1.5,0.840625,0.7993098093099861,0.8625,0.46592825478874145
126,debias weighted rb2.0,0.8328125,0.7889287417082687,0.8625,0.46723821624182166
126,matched-BPR pop0.05 no-res,0.7898437500000001,0.76512274736746,0.825,0.5156539026647806
126,matched-BPR pop0.10 no-res,0.8203125,0.8034587492561176,0.825,0.7395190123468638
126,matched-BPR pop0.05 residual,0.8203125,0.7809432029697899,0.8625,0.6203355558682233
126,Global popularity,0.8023437499999999,0.8063178270494089,0.8,0.1852037037037037
127,CAFNet,0.7234159779614325,0.7903451958029447,0.7333333333333333,0.4437805874781175
127,CAFNet-D full,0.7000918273645547,0.8004580658300776,0.703030303030303,0.5142511985067165
127,debias pop0.02 no-res,0.7346189164370983,0.8128984691399308,0.7393939393939394,0.38293784641463197
127,debias pop0.05 no-res,0.7482093663911847,0.8216754028998041,0.7454545454545455,0.48279735417189923
127,debias pop0.02 residual,0.7445362718089991,0.8197734293538521,0.7878787878787878,0.5005343498831446
127,debias weighted rb1.5,0.7105601469237833,0.8008292953915995,0.7272727272727273,0.3033970922203452
127,debias weighted rb2.0,0.7505968778696052,0.8243903854914992,0.7454545454545455,0.3277707144505147
127,matched-BPR pop0.05 no-res,0.7142332415059688,0.8023347454822941,0.7212121212121212,0.49062926125797357
127,matched-BPR pop0.10 no-res,0.7248852157943068,0.8103852893444355,0.7333333333333333,0.652587211154627
127,matched-BPR pop0.05 residual,0.7195592286501377,0.8073130185556667,0.7333333333333333,0.5362143817498829
127,Global popularity,0.742516069788797,0.8294228268760659,0.7818181818181819,0.16945454545454547
128,CAFNet,0.7525,0.7217182259658794,0.8,0.8678313743323087
128,CAFNet-D full,0.708,0.7470494178130143,0.74,0.6237737520039082
128,debias pop0.02 no-res,0.6875,0.73549056253018,0.73,0.38123146671801805
128,debias pop0.05 no-res,0.701,0.7430594888567374,0.72,0.4434893636405468
128,debias pop0.02 residual,0.706,0.7393034135200642,0.75,0.339935216344893
128,debias weighted rb1.5,0.7284999999999999,0.7671579056069431,0.78,0.2873840659856796
128,debias weighted rb2.0,0.7055,0.7433832408989893,0.75,0.24736751723103226
128,matched-BPR pop0.05 no-res,0.683,0.7335605904656171,0.72,0.4169278172031045
128,matched-BPR pop0.10 no-res,0.6835,0.7318918060298549,0.73,0.5799922853708267
128,matched-BPR pop0.05 residual,0.6765000000000001,0.7212616593936274,0.69,0.4112463235855103
128,Global popularity,0.74925,0.7842895995888044,0.76,0.1403407407407407
129,CAFNet,0.75,0.7975277729289789,0.7772727272727272,0.862540754777464
129,CAFNet-D full,0.6855371900826446,0.7432657636785592,0.740909090909091,0.7547804216536778
129,debias pop0.02 no-res,0.5262396694214876,0.6327307686084878,0.5409090909090909,0.07554981647567316
129,debias pop0.05 no-res,0.5210743801652893,0.6318865130955411,0.5318181818181819,0.10150481093336236
129,debias pop0.02 residual,0.5513429752066116,0.6578869690832846,0.5545454545454546,0.12198039814829827
129,debias weighted rb1.5,0.509090909090909,0.6108910019715236,0.509090909090909,-0.0004492257891053665
129,debias weighted rb2.0,0.5580578512396694,0.671720821891367,0.5727272727272728,0.11850867510180582
129,matched-BPR pop0.05 no-res,0.5446280991735537,0.6585239730994831,0.5727272727272728,0.20174218172376807
129,matched-BPR pop0.10 no-res,0.5479338842975208,0.6664243897749178,0.5681818181818182,0.1625419686125083
129,matched-BPR pop0.05 residual,0.5552685950413223,0.6704868709873754,0.5590909090909091,0.15151424037969924
129,Global popularity,0.5879132231404959,0.690137518618273,0.6045454545454545,0.09322558922558923
130,CAFNet,0.8812500000000001,0.890546663984164,0.925,1.3958198353648186
130,CAFNet-D full,0.790625,0.8212275877717055,0.875,1.1846596283838153
130,debias pop0.02 no-res,0.678125,0.7565732522424469,0.675,0.30412967549636966
130,debias pop0.05 no-res,0.678125,0.7549422799422799,0.7,0.35600682273507117
130,debias pop0.02 residual,0.696875,0.7612410360372317,0.75,0.3433077764697373
130,debias weighted rb1.5,0.759375,0.8004197149152747,0.825,0.33473201766610144
130,debias weighted rb2.0,0.7437499999999999,0.7893664418834696,0.85,0.32481829295866194
130,matched-BPR pop0.05 no-res,0.73125,0.7853056461262595,0.775,0.5213354714214802
130,matched-BPR pop0.10 no-res,0.7375,0.786494473994474,0.8,0.6256398255936801
130,matched-BPR pop0.05 residual,0.703125,0.7669302135693645,0.75,0.5045794594334438
130,Global popularity,0.66875,0.7566120624881155,0.6,0.13866666666666666
131,CAFNet,0.5917355371900826,0.5722808310979765,0.6,0.4067490990866315
131,CAFNet-D full,0.7388429752066116,0.6369867738226088,0.8,0.9832870388572866
131,debias pop0.02 no-res,0.6628099173553719,0.5911486112292029,0.6909090909090909,0.3900514478879896
131,debias pop0.05 no-res,0.6214876033057851,0.5567046650856908,0.6,0.26669741821559995
131,debias pop0.02 residual,0.6644628099173554,0.5908366967640988,0.7090909090909091,0.4807809529318051
131,debias weighted rb1.5,0.6148760330578512,0.5509413894486609,0.6,0.2537858731367371
131,debias weighted rb2.0,0.5884297520661157,0.5446649522279774,0.5636363636363636,0.20102160680107772
131,matched-BPR pop0.05 no-res,0.5801652892561984,0.5418307725396849,0.6,0.2610875821587714
131,matched-BPR pop0.10 no-res,0.6694214876033058,0.5876935768543211,0.6181818181818182,0.3561884805052118
131,matched-BPR pop0.05 residual,0.6677685950413224,0.5906712255620493,0.6727272727272727,0.39256868981332943
131,Global popularity,0.49090909090909096,0.49371743002429896,0.4,-0.034720538720538714
132,CAFNet,0.5954214360041623,0.6131983602218497,0.6258064516129033,0.348754812152155
132,CAFNet-D full,0.6965660770031217,0.6901218586789082,0.7612903225806451,1.0914549528230582
