drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
15,debias pop0.02 no-res,middle,0.012893943377816817,0.0,0.0,0.0
15,debias pop0.02 no-res,frequent,,,,
16,debias pop0.02 no-res,rare,0.04631578947368421,0.0,0.0,0.0
16,debias pop0.02 no-res,middle,0.01046448087431694,0.0,0.0,0.0
16,debias pop0.02 no-res,frequent,0.14710843142364882,0.14279514403613736,0.13333333333333333,0.2
17,debias pop0.02 no-res,rare,,,,
17,debias pop0.02 no-res,middle,0.04418886198547215,0.0,0.06666666666666667,0.5
17,debias pop0.02 no-res,frequent,0.41769753866880854,0.640591412903011,0.6,0.2903225806451613
18,debias pop0.02 no-res,rare,,,,
18,debias pop0.02 no-res,middle,0.010767010767010768,0.0,0.0,0.0
18,debias pop0.02 no-res,frequent,0.4440749636992383,0.5795003533950693,0.4666666666666667,0.35
19,debias pop0.02 no-res,rare,0.002570694087403599,0.0,0.0,0.0
19,debias pop0.02 no-res,middle,,,,
19,debias pop0.02 no-res,frequent,0.5931656808483707,0.9305687780632229,0.8,0.48
20,debias pop0.02 no-res,rare,,,,
20,debias pop0.02 no-res,middle,0.08453944749621845,0.18154179253735267,0.06666666666666667,0.3333333333333333
20,debias pop0.02 no-res,frequent,0.2881186471314305,0.14465249243306438,0.26666666666666666,0.3333333333333333
21,debias pop0.02 no-res,rare,0.02896343429926567,0.0,0.0,0.0
21,debias pop0.02 no-res,middle,0.22024330408076329,0.2784805894273037,0.2,0.15789473684210525
21,debias pop0.02 no-res,frequent,0.7433873770573387,0.9337457765456111,0.8666666666666667,0.21666666666666667
22,debias pop0.02 no-res,rare,0.019188768344061913,0.0,0.0,0.0
22,debias pop0.02 no-res,middle,0.027694555323499424,0.0,0.0,0.0
22,debias pop0.02 no-res,frequent,0.2451249406541203,0.1951890007906611,0.3333333333333333,0.2
23,debias pop0.02 no-res,rare,0.023102545390135773,0.0,0.0,0.0
23,debias pop0.02 no-res,middle,0.08315336798742913,0.0,0.06666666666666667,0.06666666666666667
23,debias pop0.02 no-res,frequent,0.37715059072065477,0.4105719800676482,0.4,0.14285714285714285
24,debias pop0.02 no-res,rare,0.007714562345518944,0.0,0.0,0.0
24,debias pop0.02 no-res,middle,0.02826837774894886,0.0,0.0,0.0
24,debias pop0.02 no-res,frequent,0.3984402815029798,0.6083169141195839,0.4,0.3333333333333333
25,debias pop0.02 no-res,rare,0.007158832082375218,0.0,0.0,0.0
25,debias pop0.02 no-res,middle,0.08376518228625601,0.0,0.0,0.0
25,debias pop0.02 no-res,frequent,0.4825555628053341,0.6371130896657825,0.6666666666666666,0.19607843137254902
26,debias pop0.02 no-res,rare,0.06881782036515177,0.0,0.0,0.0
26,debias pop0.02 no-res,middle,0.4022877874001125,0.4283650469300963,0.4666666666666667,0.0707070707070707
26,debias pop0.02 no-res,frequent,0.8538288858018428,1.0,1.0,0.10344827586206896
